#SampleID,region,site,year,host_species,host_type,survey_type,dna_extraction_plate,dna_extraction_well,growth,meso_quadrat_id,meso_shoot_id,meso_shoot_length,meso_shoot_width,meso_number_of_blades,meso_total_dry_wt,meso_blade_dry_wt,meso_microepiphyte_wt,meso_macroepiphyte_wt,meso_smithora_wt,meso_bryozoans,meso_quadrat_density,meso_quadrat_biomass,broken,smithora,ocean_id,mean_depth,ctd_depth,conductivity,temperature,Pressure,par,fluorometry_chlorophyll,turbidity,dissolved_oxygen,salinity,speed_of_sound,dissolved_oxygen_concentration,time_point,treatment,transplant_platform_destination_moved_to,blade_id,grazer_group,sterilized,band_quality,amount_dna,idotea_group,snail_type,shrimp_colour,collection_depth,Description
ZosCSPE,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea1,G12,na,na,na,na,na,na,na,na,na,na,na,na,,,na,unknown,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,2,zostera_choked_sp
ZosCSPF,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea2,E10,na,na,na,na,na,na,na,na,na,na,na,na,,,na,unknown,sea_0,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,3,zostera_choked_sp
ZosCSPoldA,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea2,H2,old,0,0,na,na,na,na,na,na,na,na,na,,,na,unknown,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,4,zostera_choked_sp
ZosCSPoldB,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea2,H4,old,1,1,85.5,0.8,8,2.9,0.4,18.5,3,2.9,yes,,,na,yes,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,4,zostera_choked_sp
ZosCSPoldC,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea2,E3,old,2,2,77,1.1,5,2.8,0.6,13.4,4.2,4.1,yes,,,na,yes,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,4,zostera_choked_sp
ZosCSPoldD,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea2,B3,old,3,3,74.4,1.1,5,3.4,0.7,27.4,3.1,2.3,yes,,,na,yes,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,4,zostera_choked_sp
ZosCSPoldF,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea1,G5,old,na,na,na,na,na,na,na,na,na,na,na,,,na,unknown,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,4,zostera_choked_sp
ZosCSPoldG,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea1,G11,old,na,na,na,na,na,na,na,na,na,na,na,,,na,unknown,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,4,zostera_choked_sp
ZosCSPoldH,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea1,G7,old,na,na,na,na,na,na,na,na,na,na,na,,,na,unknown,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,4,zostera_choked_sp
ZosCSPoldL,choked,choked_south_pigu,2015,zostera,zostera,meso_quadrats ,sea1,G2,old ,na,na,na,na,na,na,na,na,na,na,na,,,na,unknown,sea_1,4,4.37,35.09,11.31,14.54,129.04,1.45,0.73,98.11,30.82,1489.66,8.83,na,na,na,na,na,na,na,na,na,na,na,4,zostera_choked_sp
