year,group,region,site,sample,ID,Actiniidae,Ampithoidae,Anisogammaridae,Anthuridae,Aoridae,Ascidiacea,Asteroidea,Balanidae,Buccinidae,Calliostomatidae,Cancridae,Capitellidae,Caprellidae,Cerithiidae,Chrysopetalidae,Columbellidae,Corophiidae,Enteropneusta,Epialtidae,Eusiridae,Gammaridean,Glyceridae,Halacaridae,Haliclystidae,Haminoeidae,Harpacticoida,Hesionidae,Hippolytidae,Hyalellidae,Hyalidae,Idoteidae,Isaeidae,Ischyroceridae,Littorinidae,Lottiidae,Lumbrineridae,Munnidae,Mytilidae,Nassariidae,Nematoda,Nereididae,Notarchidae,Nudibranchia,Ophiuroidea,Ostracoda,Paguridae,Pholoidae,Photidae,Phyllodocidae,Pleustidae,Podoceridae,Polynoidae,Pontogeneiidae,Pycnogonida,Rissoidae,Sphaeromatidae,Stenothoidae,Strongylocentrotidae,Syllidae,Tanaidae,Terebellidae,Trochidae,Veneridae
2014,year2014,choked,choked_inner,11,choked_inner_11,0,1,3,0,39,0,0,0,0,0,0,0,89,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,12,0,0,19,0,0,0,4,0,0,1,1,0,0,0,0,0,43,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0
2014,year2014,choked,choked_inner,11B,choked_inner_11B,1,3,2,0,98,0,0,0,0,0,0,0,335,0,0,0,0,0,0,101,0,0,0,0,0,30,0,0,0,0,9,0,0,182,0,0,0,34,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,66,0,0,4,0,0,0,0
2014,year2014,choked,choked_inner,4,choked_inner_4,3,2,0,0,200,0,0,0,0,0,0,0,48,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,40,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0
2014,year2014,choked,choked_inner,4A,choked_inner_4A,0,1,1,0,24,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,year2014,choked,choked_inner,6,choked_inner_6,0,0,5,0,46,0,0,0,0,0,0,0,60,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,11,0,0,154,0,0,0,3,0,0,4,1,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,choked,choked_inner,6A,choked_inner_6A,1,0,1,0,16,0,0,0,0,0,0,0,54,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,40,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,choked,choked_inner,8,choked_inner_8,6,1,11,0,244,0,0,0,0,1,0,0,331,0,0,0,27,0,0,62,0,0,0,0,0,0,0,0,0,0,96,0,0,350,0,0,0,9,0,0,6,2,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2014,year2014,choked,choked_sandspit,1,choked_sandspit_1,0,1,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,0,0,0,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
2014,year2014,choked,choked_sandspit,10,choked_sandspit_10,1,0,0,0,56,0,0,0,1,0,0,0,29,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,9,0,0,299,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,year2014,choked,choked_sandspit,11,choked_sandspit_11,1,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,7,0,0,130,0,0,0,13,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,62,0,0,0,3,0,1,0
