"","site","quadrat_id","quadrat_shoot_density","quadrat_macroalgae_g","quadrat_lai","quadrat_biomass_g","quadrat_microepiphyte_mg","year","quadrat_detritus_g"
"1","choked_sandspit",1,10,2.17,13.23008,13.82,182,"2015",NA
"2","choked_sandspit",2,4,2.15,6.2976,7.1,66,"2015",NA
"3","choked_sandspit",3,7,3.71,11.1174336,9.42,183.4,"2015",NA
"4","choked_sandspit",4,4,0.9,4.217088,4.78,63.2,"2015",NA
"5","choked_sandspit",5,6,3.2,18.27504,6.97,124.2,"2015",NA
"6","choked_sandspit",6,4,2.47,7.8496,5.29,55.2,"2015",NA
"7","choked_inner",2,9,21.35,11.6424,16.51,120.6,"2015",NA
"8","choked_inner",1,5,7.41,8.7552,12.38,92.5,"2015",NA
"9","choked_inner",3,4,3.67,4.99968,5.72,109.6,"2015",NA
"10","choked_inner",4,7,14.75,9.688,16.94,140.7,"2015",NA
"11","choked_inner",5,5,5.23,3.97664,NA,61,"2015",NA
"12","choked_inner",6,6,10.54,6.310656,NA,58.8,"2015",NA
"13","mcmullins_south",1,12,13.05,4.39488,17.32,432,"2015",NA
"14","mcmullins_south",2,6,10.41,4.3363584,11.85,102.6,"2015",NA
"15","mcmullins_south",3,10,8.23,22.4352,15.29,447,"2015",NA
"16","mcmullins_south",4,8,11.27,4.32128,11.32,283.2,"2015",NA
"17","mcmullins_south",5,12,14.11,6.500928,17.84,445.08,"2015",NA
"18","mcmullins_south",6,14,1.07,25.14848,12.03,499.8,"2015",NA
"19","mcmullins_north",1,15,15.04,10.1376,14.43,619.5,"2015",NA
"20","mcmullins_north",2,10,11.46,5.599776,10.56,436,"2015",NA
"21","mcmullins_north",3,9,0.133,2.8237248,12.86,356.4,"2015",NA
"22","mcmullins_north",4,9,0.28,3.5424,8.44,319.5,"2015",NA
"23","mcmullins_north",5,10,0.09,8.75136,NA,527,"2015",NA
"24","mcmullins_north",6,12,0,9.096192,8.7,523.2,"2015",NA
"25","goose_north",1,5,20.84,NA,6.53,NA,"2015",NA
"26","goose_north",2,3,3.61,NA,6.64,NA,"2015",NA
"27","goose_north",3,7,16.433,NA,4.86,NA,"2015",NA
"28","goose_north",4,4,14.42,NA,6.59,NA,"2015",NA
"29","goose_north",5,6,10.37,NA,8.03,NA,"2015",NA
"30","goose_north",6,7,31.43,NA,15.86,NA,"2015",NA
"31","pruth_bay",1,11,1.331,NA,1.89,NA,"2015",NA
"32","pruth_bay",2,18,4.83,NA,3.7,NA,"2015",NA
"33","pruth_bay",3,11,0,NA,1.3,NA,"2015",NA
"34","pruth_bay",4,17,0,NA,2.84,NA,"2015",NA
"35","pruth_bay",5,15,0,NA,0,NA,"2015",NA
"36","pruth_bay",6,7,0,NA,1.65,NA,"2015",NA
"37","pruth_pocket",1,6,3.05,NA,1.84,NA,"2015",NA
"38","pruth_pocket",2,11,6.15,NA,6.39,NA,"2015",NA
"39","pruth_pocket",3,11,1.33,NA,7.63,NA,"2015",NA
"40","pruth_pocket",4,16,0.46,NA,4.23,NA,"2015",NA
"41","pruth_pocket",5,9,6.05,NA,3.36,NA,"2015",NA
"42","pruth_pocket",6,11,5.86,NA,4.44,NA,"2015",NA
"43","triquet_south",1,7,1.98,7.924,8.65,203,"2015",NA
"44","triquet_south",2,4,4.56,2.171328,3.28,118.4,"2015",NA
"45","triquet_south",3,6,1.54,4.600512,8.12,177.6,"2015",NA
"46","triquet_south",4,7,2.4,5.47344,9.65,195.3,"2015",NA
"47","triquet_south",5,6,1.39,6.40464,3.73,104.4,"2015",NA
"48","triquet_south",6,8,3.73,12.04992,10.72,169.6,"2015",NA
"49","goose_south_west",1,24,0.16,18.144,21.22,732,"2015",NA
"50","goose_south_west",2,26,0.35,31.193344,4.39,748.8,"2015",NA
"51","goose_south_west",3,19,0.71,12.484368,7.88,324.9,"2015",NA
"52","goose_south_west",4,21,0,13.138272,21.02,449.4,"2015",NA
"53","goose_south_west",5,19,0,16.9928704,17.02,408.5,"2015",NA
"54","goose_south_west",6,7,0,6.633984,6.55,144.9,"2015",NA
"55","goose_south_east",1,9,0,7.29216,13.51,169.2,"2015",NA
"56","goose_south_east",2,11,0,6.68976,8.65,144.1,"2015",NA
"57","goose_south_east",3,8,0,9.0372352,11.25,96.8,"2015",NA
"58","goose_south_east",4,11,0,10.2888192,15.18,255.2,"2015",NA
"59","goose_south_east",5,11,0,8.703552,14.63,39.6,"2015",NA
"60","goose_south_east",6,11,0,7.2179712,8.26,173.8,"2015",NA
"61","triquet_north",1,2,0.26,0.86016,3.36,24,"2015",NA
"62","triquet_north",2,5,0.47,4.74624,3.46,138,"2015",NA
"63","triquet_north",3,5,4.87,2.0232,7.2,150.5,"2015",NA
"64","triquet_north",4,2,2.37,1.5872,1.24,77.6,"2015",NA
"65","triquet_north",5,4,2.52,1.662976,3.01,29.6,"2015",NA
"66","choked_wolf",1,7,1.48,NA,17.9,NA,"2015",NA
"67","choked_wolf",2,5,0.96,NA,8.81,NA,"2015",NA
"68","choked_wolf",3,6,1.2,NA,13.28,NA,"2015",NA
"69","choked_wolf",4,5,1.95,NA,14.47,NA,"2015",NA
"70","choked_wolf",5,4,0.44,NA,8.26,NA,"2015",NA
"71","choked_wolf",6,3,1.01,NA,7.69,NA,"2015",NA
"72","goose_south_east",1,6,1.37,6.624,7.01,165.599999999999,"2016",3.16
"73","goose_south_east",8,10,0,12.22144,10.69,228,"2016",2.72
"74","goose_south_east",9,13,0,12.849408,8.18,271.700000000001,"2016",1.52
"75","goose_south_east",5,9,0.36,5.46048,8.23,168.3,"2016",0.88
"76","goose_south_east",2,9,0.3,3.587328,3.76,113.399999999999,"2016",0.73
"77","goose_south_east",4,8,0.21,10.902528,3.48,213.6,"2016",3.06
"78","goose_south_east",6,5,0.11,3.77856,10.53,100,"2016",0.56
"79","goose_south_east",3,10,0.48,12.71808,5.26,249.000000000001,"2016",3.12
"80","goose_south_east",7,NA,0.59,NA,10.82,NA,"2016",3.07
"81","pruth_pocket",8,22,2.09,7.4976,5.41,99,"2016",1.54
"82","pruth_pocket",2,27,0.77,11.7504,5.22,461.700000000004,"2016",0.47
"83","pruth_pocket",5,26,0.23,6.6144,3.38,748.800000000005,"2016",0.15
"84","pruth_pocket",4,22,0.24,9.360384,4.43,420.200000000003,"2016",0.86
"85","pruth_pocket",6,36,0.35,7.907328,6.63,766.799999999998,"2016",0.3
"86","pruth_pocket",7,25,2.06,16.18,9.88,447.499999999997,"2016",1.03
"87","pruth_pocket",1,35,0.73,17.1696,4.56,1008.00000000001,"2016",0.51
"88","pruth_pocket",9,9,0,6.48,2.68,162.899999999999,"2016",0.34
"89","pruth_pocket",3,23,0.39,7.90464,5,315.099999999996,"2016",0.57
"90","choked_wolf",5,6,0.1,6.459264,8.83,139.199999999999,"2016",0.52
"91","choked_wolf",1,6,3.69,12.5856,4.49,169.8,"2016",0.23
"92","choked_wolf",2,9,1.71,15.691968,11.67,13.5,"2016",0.62
"93","choked_wolf",7,3,0.27,2.973696,4.92,63.6000000000001,"2016",0
"94","choked_wolf",4,3,1.04,5.32656,5.72,78,"2016",0.21
"95","choked_wolf",9,6,0.36,8.441856,9.85,44.4000000000005,"2016",2.15
"96","choked_wolf",6,2,1.13,2.9376,3.69,43.8000000000002,"2016",0.11
"97","choked_wolf",3,2,2.32,2.433024,3.72,30.4000000000001,"2016",0
"98","choked_wolf",8,7,0,9.35424,11.97,168,"2016",1.88
"99","choked_sandspit",1,5,3.08,3.14112,11.16,55.4999999999995,"2016",NA
