site,date,time,tide info (m),bottom depth (m),collector name,sampling_depth (m),temp (c),pressure (mmHg),conductivity (spc),salinity (ppt),pH,,,,,,,,,,,,,,
pruth bay,22 June 2018,9:31,,2.5,KD+BT,0,13.6,766.5,43902,28.32,8.2,,,,,,,,,,,,,,
pruth bay,22 June 2018,9:31,,2.5,KD+BT,1,13.5,766.5,43971,28.36,8.22,,,,,,,,,,,,,,
pruth bay,22 June 2018,9:31,,2.5,KD+BT,2,13.2,766.5,44793,28.88,8.22,,,,,,,,,,,,,,
pruth bay,22 June 2018,9:31,,2.5,KD+BT,2.5,12,766.5,45388,29.4,8.21,,,,,,,,,,,,,,
sandspit,23 June 2018,8:58,,4,KD+BT,0,12.1,766.8,47726,30.97,7.95,,,,,,,,,,,,,,
sandspit,23 June 2018,8:58,,4,KD+BT,1,12,766.8,47734,31.02,7.98,,,,,,,,,,,,,,
sandspit,23 June 2018,8:58,,4,KD+BT,2,12,766.9,47744,31.02,8.02,,,,,,,,,,,,,,
sandspit,23 June 2018,8:58,,4,KD+BT,3,12,766.9,47746,31.02,8.04,,,,,,,,,,,,,,
sandspit,23 June 2018,8:58,,4,KD+BT,4,12,766.9,47613,30.83,8.05,,,,,,,,,,,,,,
choked I5,27 June 2018,10:00,,5,KD+BT,0,11.3,765.3,48839,31.74,7.94,,,,,,,,,,,,,,
choked I5,27 June 2018,10:00,,5,KD+BT,1,11.5,765.3,48897,31.83,7.96,,,,,,,,,,,,,,
choked I5,27 June 2018,10:00,,5,KD+BT,2,11.3,765.3,48952,31.86,7.97,,,,,,,,,,,,,,
choked I5,27 June 2018,10:00,,5,KD+BT,3,11.3,765.3,48967,31.86,7.98,,,,,,,,,,,,,,
choked I5,27 June 2018,10:00,,5,KD+BT,4,11.3,765.3,48946,31.85,8,,,,,,,,,,,,,,
choked I5,27 June 2018,10:00,,5,KD+BT,5,11.3,765.3,48943,31.84,8.02,,,,,,,,,,,,,,
pruth pocket,28 June 2018,13:30,,4,Tanya+Keila,0,13.5,762.6,45280,29.3,8.17,,,,,,,,,,,,,,
pruth pocket,28 June 2018,13:30,,4,Tanya+Keila,1,13.5,762.6,45320,29.31,8.19,,,,,,,,,,,,,,
pruth pocket,28 June 2018,13:30,,4,Tanya+Keila,2,13.5,762.6,45575,29.51,8.19,,,,,,,,,,,,,,
pruth pocket,28 June 2018,13:30,,4,Tanya+Keila,3,13.5,762.6,45833,29.71,8.18,,,,,,,,,,,,,,
pruth pocket,28 June 2018,13:30,,4,Tanya+Keila,4,13.5,762.6,45965,29.8,8.15,,,,,,,,,,,,,,
triquet north,1 July 2018,10:00,,7,KD+BT,0,13.7,767.1,46954,30.5,8.13,,,,,,,,,,,,,,
triquet north,1 July 2018,10:00,,7,KD+BT,1,13.6,767.2,46962,30.51,8.14,,,,,,,,,,,,,,
triquet north,1 July 2018,10:00,,7,KD+BT,2,13.6,767.2,47063,30.58,8.15,,,,,,,,,,,,,,
triquet north,1 July 2018,10:00,,7,KD+BT,3,13.5,767.2,47134,30.63,8.15,,,,,,,,,,,,,,
triquet north,1 July 2018,10:00,,7,KD+BT,4,13.5,767.2,47163,30.65,8.15,,,,,,,,,,,,,,
triquet north,1 July 2018,10:00,,7,KD+BT,5,13.5,767.2,47236,30.7,8.15,,,,,,,,,,,,,,
triquet north,1 July 2018,10:00,,7,KD+BT,6,13.4,767.2,47312,30.76,8.14,,,,,,,,,,,,,,
triquet north,1 July 2018,10:00,,7,KD+BT,7,13.3,767.2,47343,30.78,8.14,,,,,,,,,,,,,,
triquet bay,1 July 2018,12:09,,2.2,KD+BT,0,13.7,767.6,46981,30.53,8.17,,,,,,,,,,,,,,
triquet bay,1 July 2018,12:09,,2.2,KD+BT,1,13.7,767.6,46974,30.53,8.18,,,,,,,,,,,,,,
triquet bay,1 July 2018,12:09,,2.2,KD+BT,2,13.7,767.6,46979,30.53,8.18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
