"event_pk";"event_pk_depth";"work_area";"site_id";"date";"survey";"line_out_depth";"ctd_depth";"specific_conductance_ysi";"orp_ysi";"dissolved_O2_ysi";"temp_ysi";"ph_ysi";"salinity_ysi";"lat";"long";"nuts_N";"x.no2_no3_um";"sd.no2_no3_um";"x.po4";"sd.po4";"x.sio2";"sd.sio2";"chloro_N";"x.chla";"sd.chla";"x.phaeo";"sd.phaeo";"pom_N";"x.ug_n";"sd.ug_n";"x.ug_c";"sd.ug_c";"x.c_n";"sd.c_n";"do13c_N";"x.c_doc_ppm";"sd.c_doc_ppm";"x.delta_13cvpdb_doc";"sd.delta_13cvpdb_doc";"filename";"ctd_model";"date_time";"ctd_N";"x.conductivity_mS.cm";"sd.conductivity_mS.cm";"x.temp_C";"sd.temp_C";"x.pressure_dbar";"sd.pressure_dbar";"x.PAR";"sd.PAR";"x.chlorophyll_ugL";"sd.chlorophyll_ugL";"x.turbidity_ftu";"sd.turbidity_ftu";"x.o2_mLL";"sd.o2_mLL";"x.salinity_psu";"sd.salinity_psu";"x.depth_m";"sd.depth_m";"site_name";"spatial_id";"seascape";"region";"habitat1";"habitat2";"ns_site_lat";"ns_site_long";"Date";"Year";"Month"
5867;"5867_0";"CALVERT";"KC15";2014-05-18;"SOMS";0;0;NA;NA;NA;NA;NA;NA;51.6569000000001;-128.0034;1;0.132469541674724;NA;0.058;NA;1.585;NA;NA;NA;NA;NA;NA;2;41.9351282590969;NA;354.533549825214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Kwakshua_15";"ocean_site";"Kwakshua";"Inner_Calvert";"rocky intertidal";NA;"51.6569";"-128.0034";2014-05-18;"2014";5
25323;"25323_0";"CALVERT";"KFPC01";2014-05-15;"MACRO_MGEO;OUTSHRS";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Gosling";"nearshore_site";"Goose";"Outer_Coast";"kelp";"reef";"51.900221";"-128.431937";2014-05-15;"2014";5
25324;"25324_0";"CALVERT";"KFPC06";2014-05-15;"QCSD;OUTSHRS";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Triquet_Bay";"ocean_site";"Triquet";"Outer_Coast";"seagrass";"reef";"51.81155393";"-128.2336829";2014-05-15;"2014";5
25325;"25325_0";"CALVERT";"KFPN03";2014-05-15;"QCSD;OUTSHRS";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"McMullin_SE";"ocean_site";"McMullin";"Outer_Coast";"macro";"reef";"52.05";"-128.4";2014-05-15;"2014";5
255187;"255187_0";"CALVERT";"KOEYE KR01";2017-04-01;"FGS_Y";0;0;11;224.2;14.22;3.4;5.47;NA;51.77597;-127.8086;1;2.68571036119807;NA;0.0313063784640514;NA;1.69669181502321;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-04-01;"2017";4
260766;"260766_0";"CALVERT";"KOEYE KR01";2017-04-24;"FGS_Y";0;0;NA;13.2;13.53;6;7.63;NA;51.77597;-127.8086;1;2.81908748074102;NA;0.035369006971878;NA;2.4001059466393;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-04-24;"2017";4
292966;"292966_0";"CALVERT";"KOEYE KR01";2017-05-11;"FGS_Y";0;0;NA;112.7;12.45;7.1;5.64;NA;51.77597;-127.8086;1;1.978;NA;0.021;NA;1.11165853767184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-05-11;"2017";5
293665;"293665_0";"CALVERT";"KOEYE KR01";2017-05-20;"FGS_Y";0;0;NA;303;11.82;11.2;6.15;NA;51.77597;-127.8086;1;1.381;NA;0.027;NA;1.27869128997557;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-05-20;"2017";5
306144;"306144_0";"CALVERT";"KOEYE KR01";2017-06-26;"FGS_Y";0;0;NA;249;10.91;14.1;6.36;NA;51.77597;-127.8086;1;0.879656092326517;NA;0.006934;NA;0.971728568685067;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-06-26;"2017";6
311649;"311649_0";"CALVERT";"KOEYE KR01";2017-07-14;"FGS_Y";0;0;NA;188.8;10.04;17.2;7.45;NA;51.77597;-127.8086;1;0.444814512348351;NA;0.0160679533026714;NA;1.22663602406456;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-07-14;"2017";7
