date,site,sample ID,drift algae species,drift algae foil wt.,drift algae wet wt.,drift algae dry wt. +bag wt.,,notes
02.07.2016,Triquet Bay,8,ulva,,,trace,,
02.06.2016,Triquet North,5,desmerestia,,,11.32,,
02.06.2016,Triquet North,3,desmerestia,6.95,96.81,13.58,,
02.06.2016,Triquet North,4,desmerestia,2.18,8.51,2.6,,
02.06.2016,Triquet North,4,macrocystis,,,trace,,
02.06.2016,Triquet North,4,branched brown,,,trace,,
02.06.2016,Triquet North,6,corallina,2.06,3.71,3.06,,
02.06.2016,Triquet North,1,desmerestia,,,trace,,
02.06.2016,Triquet North,7,desmerestia,0.99,,1.03,,
02.06.2016,Triquet North,8,saccharina,2.26,19.03,3,,
02.06.2016,Triquet North,8,desmerestia,,,trace,,
02.06.2016,Triquet North,8,branched brown,,,trace,,
02.06.2016,Triquet North,8,unknown red,1.9,,2.06,,
02.06.2016,Triquet North,9,unknown red,2.14,5.23,2.24,,
02.06.2016,Triquet North,9,desmerestia,1.91,46.38,4.49,,
02.06.2016,Triquet North,9,branched brown,,,trace,,
02.06.2016,Triquet North,2,desmerestia,6.91,48.39,9,,
02.06.2016,Triquet North,6,desmerestia,2.13,18.89,3.1,,
06.07.2016,pruth pocket,8,ulva,1.63,7.01,2.23,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,8,filamentous green,1.53,,3.02,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,2,ulva,1.33,6.81,1.9,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,2,filamentous green,1.23,3.7,1.43,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,5,filamentous green,1.22,3.97,1.45,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,4,filamentous green,1.68,4.63,1.92,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,4,branched brown,,,trace,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,4,ulva,,,trace,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,6,ulva,,,trace,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,6,branched brown,,,trace,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,6,filamentous green,1.33,6.58,1.68,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,7,branched brown,,,trace,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,7,fucus,1.22,3.77,1.7,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,7,filamentous green,1.26,6.02,1.74,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,7,ulva,1.82,10.54,2.92,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,1,ulva,1.77,7.45,2.5,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,9,ulva,,,trace,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,9,filamentous green,,,trace,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,3,mastocarpus,,,trace,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,3,ulva,1.12,3.13,1.28,,minimal covering of bryozoans on all blades
06.07.2016,pruth pocket,3,filamentous green,1.22,3.97,1.45,,minimal covering of bryozoans on all blades
28.06.2016,Flat Island,1,ulva,1.95,5.26,2.06,,
28.06.2016,Flat Island,2,ulva,2.07,7.73,2.58,,
28.06.2016,Flat Island,3,ulva,,,trace,,
28.06.2016,Flat Island,4,ulva,,,trace,,
28.06.2016,Flat Island,5,fucus,1.99,3.08,2.21,,
28.06.2016,Flat Island,3,branched brown,2.23,3.65,2.37,,
28.06.2016,Flat Island,4,branched brown,1.18,1.97,1.27,,
28.06.2016,Flat Island,8,ulva,,,trace,,
28.06.2016,Sandspit,2,ulva,2.47,3.77,2.67,,
28.06.2016,Sandspit,3,alaria,6.89,89.32,15.23,,
28.06.2016,Sandspit,8,alaria,6.99,17.95,8.01,,
28.06.2016,Sandspit,4,pyropia,1.06,7.73,1.42,,
28.06.2016,Sandspit,3,punctaria,2.24,3.29,2.26,,
30.06.2016,Goose South West,1,ulva,2.16,3.81,2.47,,
30.06.2016,Goose South West,6,ulva,,,trace,,
30.06.2016,Goose South West,5,ulva,3.02,5.29,3.19,,
30.06.2016,Goose South West,2,desmerestia,1.83,15.87,2.81,,
30.06.2016,Goose South West,7,ulva,2.57,4,2.65,,
30.06.2016,Goose South West,3,ulva,,,trace,,
30.06.2016,Goose South West,3,fucus,6.97,29.03,12.04,,
30.06.2016,Goose South West,9,ceramium,2.3,7.31,2.97,,
30.06.2016,goose south east,7,plocamium,,,trace,,
30.06.2016,goose south east,1,cryptopleura,2.44,9,3.81,,
30.06.2016,goose south east,8,cryptopleura,,,trace,,
30.06.2016,goose south east,9,cryptopleura,,,trace,,
30.06.2016,goose south east,5,plocamium,2.78,5.79,3.14,,
30.06.2016,goose south east,2,cryptopleura,2.6,4.11,2.9,,
30.06.2016,goose south east,4,cryptopleura,6.95,9.46,7.16,,
30.06.2016,goose south east,6,plocamium,,,trace,,
30.06.2016,goose south east,6,cryptopleura,2.46,3.58,2.57,,
30.06.2016,goose south east,3,cryptopleura,2.64,5.77,3.12,,
30.06.2016,goose south east,7,cryptopleura,2.18,5.81,2.77,,
30.06.2016,goose south east,7,branched brown,,,trace,,
06.07.2016,wolf choked pass,4,ulva,1.2,3.95,1.55,,
06.07.2016,wolf choked pass,3,ulva,,,trace,,
08.07.2016,Pruth Bay,1,branched brown,1.03,5.31,1.51,,
08.07.2016,Pruth Bay,2,branched brown,1.12,3.42,1.42,,
08.07.2016,Pruth Bay,4,branched brown,,,trace,,
08.07.2016,Pruth Bay,6,branched brown,1.25,1.84,1.35,,
