date,site,sample ID,mean sheath length,shoot length 1,shoot width (cm) 1,# blades shoot 1,shoot length 2,shoot width (cm) 2,# blades shoot 2
30.06.2016,goose south east,1,17.46,102.2,0.62,5,80.1,0.75,6
30.06.2016,goose south east,8,23.46,138.3,0.65,5,131.7,0.66,6
30.06.2016,goose south east,9,15.06,99.4,0.6,5,81.5,0.7,5
30.06.2016,goose south east,5,12.06,61.5,0.6,5,48,0.55,4
30.06.2016,goose south east,2,12.28,73.1,0.6,3,73.8,0.65,5
30.06.2016,goose south east,4,18.68,120.8,0.59,5,129.7,0.68,4
30.06.2016,goose south east,6,23.88,140.6,0.61,5,129.7,0.68,4
30.06.2016,goose south east,3,25.56,154.6,0.65,6,142.6,0.65,5
30.06.2016,goose south east,7,36.78,175.5,0.55,4,191.8,0.58,5
06.07.2016,pruth pocket,8,11.24,55,0.41,3,54.8,0.43,4
06.07.2016,pruth pocket,2,7.53,38.6,0.38,5,37.8,0.38,5
06.07.2016,pruth pocket,5,7.22,36.6,0.45,4,36.2,0.4,4
06.07.2016,pruth pocket,4,8.58,64.8,0.3,3,46.4,0.5,4
06.07.2016,pruth pocket,6,8.9,49.2,0.43,4,43.3,0.41,4
06.07.2016,pruth pocket,7,12.68,59.8,0.54,4,61.8,0.47,4
06.07.2016,pruth pocket,1,9.7,54.8,0.58,5,49.7,0.39,5
06.07.2016,pruth pocket,9,12.55,59.8,0.56,4,51.5,0.61,4
06.07.2016,pruth pocket,3,11.3,53.8,0.58,5,54.9,0.5,3
06.07.2016,wolf choked pass,5,18.45,131.8,0.75,5,131.6,0.86,5
06.07.2016,wolf choked pass,1,,122.5,0.98,5,118.7,0.94,4
06.07.2016,wolf choked pass,2,27,131.6,0.81,6,131.6,0.81,6
06.07.2016,wolf choked pass,7,18.4,132.8,0.92,5,108.3,0.79,5
06.07.2016,wolf choked pass,4,20.17,135.8,0.98,6,112.4,0.95,6
06.07.2016,wolf choked pass,9,21.5,151.5,0.92,4,131.8,0.8,4
06.07.2016,wolf choked pass,6,16.65,96.7,0.96,5,91.8,0.99,5
06.07.2016,wolf choked pass,3,22.8,92.4,0.85,5,108.2,0.86,4
06.07.2016,wolf choked pass,8,22.97,144.8,0.75,5,125.1,0.9,6
28.06.2016,Sandspit,1,28.58,145.3,0.89,6,185.7,0.98,6
28.06.2016,Sandspit,2,16.85,94.8,0.9,5,85,0.87,5
28.06.2016,Sandspit,3,22.68,105.5,0.97,5,102.8,0.83,5
28.06.2016,Sandspit,4,23.86,134.7,0.9,6,116.3,0.82,5
28.06.2016,Sandspit,5,22.4,98.6,0.95,6,88.5,0.78,5
28.06.2016,Sandspit,6,24.8,126.5,0.89,5,124.2,0.101,6
28.06.2016,Sandspit,7,23.8,104,0.75,5,98,0.8,5
28.06.2016,Sandspit,8,21.6,104.9,0.82,4,105,0.76,5
28.06.2016,Sandspit,9,17.37,87.8,0.7,4,81.3,0.75,5
28.06.2016,Flat Island,1,35.63,160,0.95,5,160.2,1,5
28.06.2016,Flat Island,2,28.6,149,1.15,9,123.5,0.98,5
28.06.2016,Flat Island,3,15.75,120,0.104,5,118,1.05,5
28.06.2016,Flat Island,4,31.6,199,1.05,5,139.4,1,6
28.06.2016,Flat Island,5,30.64,162.8,1,4,148.2,0.85,4
28.06.2016,Flat Island,6,24.4,156.5,0.92,5,138,0.9,5
28.06.2016,Flat Island,7,19.8,143,0.8,5,129,0.85,5
28.06.2016,Flat Island,8,30.14,185,0.92,5,152.5,0.93,4
28.06.2016,Flat Island,9,28.8,132,0.9,5,124,0.95,5
30.06.2016,Goose South West,1,19.12,98.9,0.65,5,93.6,0.6,5
30.06.2016,Goose South West,6,19.13,115.2,0.85,6,116.5,0.8,3
30.06.2016,Goose South West,5,16.68,106.5,1,6,90.7,0.8,7
30.06.2016,Goose South West,8,21.5,105,0.76,5,94.6,0.62,6
30.06.2016,Goose South West,4,15.42,77.5,0.75,5,68.1,0.89,6
30.06.2016,Goose South West,2,18.46,91.1,0.78,6,83.4,0.75,5
30.06.2016,Goose South West,7,17.9,94.1,0.85,5,89,0.78,5
30.06.2016,Goose South West,3,17.37,82.5,0.95,6,74.2,0.6,5
30.06.2016,Goose South West,9,18.7,93.2,0.95,4,0.865,0.81,7
02.06.2016,Triquet North,5,18.73,82.7,0.65,5,84.5,0.7,5
02.06.2016,Triquet North,3,23.09,120.42,0.7,5,99.7,0.65,5
02.06.2016,Triquet North,4,25.05,168.3,0.95,6,109.8,0.75,5
02.06.2016,Triquet North,6,18.28,107.6,0.11,6,84.7,0.8,6
02.06.2016,Triquet North,1,18.18,104.8,0.6,5,94.8,0.6,4
02.06.2016,Triquet North,7,17.05,98.3,0.8,6,83.7,0.92,4
02.06.2016,Triquet North,8,27.8,131.4,0.65,6,116.2,0.6,5
02.06.2016,Triquet North,2,31.8,160.5,0.95,6,135.2,0.8,5
02.06.2016,Triquet North,9,14.7,93,0.8,6,91.3,0.75,5
02.07.2016,Triquet Bay,1,12.8,49.2,0.61,4,42.2,0.7,5
02.07.2016,Triquet Bay,2,9.3,57.1,0.67,4,48.2,0.4,5
02.07.2016,Triquet Bay,3,11.12,55.3,0.45,5,45.4,0.6,4
02.07.2016,Triquet Bay,4,8.83,60.4,0.65,5,68.9,0.6,4
02.07.2016,Triquet Bay,5,11.83,51.2,0.6,3,48.5,0.7,5
02.07.2016,Triquet Bay,6,9.08,67.2,0.7,3,48.5,0.78,5
02.07.2016,Triquet Bay,7,13.4,68.1,0.85,6,63,0.9,5
02.07.2016,Triquet Bay,8,9.93,58.5,0.6,4,54.2,0.6,4
02.07.2016,Triquet Bay,9,13.66,64.8,0.6,5,61.2,0.59,4
08.07.2016,Pruth Bay,1,13.57,88.4,0.7,4,50,0.3,5
08.07.2016,Pruth Bay,2,17.18,143.5,0.8,5,42.5,0.4,3
08.07.2016,Pruth Bay,3,22.33,114,0.7,4,67.3,0.6,4
08.07.2016,Pruth Bay,4,18.4,134,0.7,4,49,0.4,4
08.07.2016,Pruth Bay,5,12.53,120.4,0.9,4,46.4,0.5,4
08.07.2016,Pruth Bay,6,8.86,69.2,0.5,4,40.3,0.4,3
08.07.2016,Pruth Bay,7,15.8,98.2,0.7,5,98.4,0.6,4
08.07.2016,Pruth Bay,8,13.98,103,0.8,5,51.2,0.6,4
08.07.2016,Pruth Bay,9,15.86,89.9,0.107,4,88.1,0.7,4
