site,sample ID,macrophyte ID,# of shoots in quadrat,foil weight,foil+ wet weight,foil+ dry weight,total dry weight,weight.#shoots,microepiphyte,macroepiphyte,drift seaweed,rooted seaweed,NOTES
sandspit,1,zostera,10,8.35,,22.17,13.82,1.382,0.13,2.17,,,added quadrat numbers for data manipulation in R
sandspit,2,zostera,4,10.1,69.94,17.2,7.1,1.775,,2.12,0.03,,added quadrat numbers for data manipulation in R
sandspit,3,zostera,7,8.22,78.44,17.64,9.42,1.345714286,,3.24,0.47,,added quadrat numbers for data manipulation in R
sandspit,4,zostera,4,8.09,43.31,12.87,4.78,1.195,0.1,0.9,,,added quadrat numbers for data manipulation in R
sandspit,5,zostera,6,3.52,57.48,10.49,6.97,1.161666667,,3.2,,,added quadrat numbers for data manipulation in R
sandspit,6,zostera,4,3.17,46.14,8.46,5.29,1.3225,0.05,2.4,0.07,,added quadrat numbers for data manipulation in R
fitz,1,zostera,5,8.8,67.37,14.64,5.84,1.168,,0.1,0.03,0.05,added quadrat numbers for data manipulation in R
fitz,2,zostera,11,8.48,62.21,14.51,6.03,0.548181818,,0.75,,0.228,added quadrat numbers for data manipulation in R
fitz,3,zostera,5,8.1,33.7,10.5,2.4,0.48,,,,0.63,added quadrat numbers for data manipulation in R
fitz,4,zostera,8,8.37,61.26,14.87,6.5,0.8125,,0.34,,3.51,added quadrat numbers for data manipulation in R
fitz,5,zostera,14,7.71,106.43,20.82,13.11,0.936428571,,0.42,0.7,0.93,added quadrat numbers for data manipulation in R
fitz,6,zostera,10,8.19,78.87,16.4,8.21,0.821,,0.05,,1.47,added quadrat numbers for data manipulation in R
simmons,1,zostera,27,8.38,58.77,14.52,6.14,0.227407407,,,,,added quadrat numbers for data manipulation in R
simmons,2,zostera,23,8.35,113.45,21.09,12.74,0.553913043,,,,,added quadrat numbers for data manipulation in R
simmons,3,zostera,20,8.03,102.34,19.86,11.83,0.5915,,,,0.00361,added quadrat numbers for data manipulation in R
simmons,4,zostera,32,9.54,48.49,14.32,4.78,0.149375,,,,,added quadrat numbers for data manipulation in R
simmons,5,zostera,15,8.2,43.36,12.06,3.86,0.257333333,,,,,added quadrat numbers for data manipulation in R
simmons,6,zostera,40,8.5,76.41,16.8,8.3,0.2075,,,,0.07,added quadrat numbers for data manipulation in R
spitfire,1,zostera,28,8.23,88.42,20.1,11.87,0.423928571,,,,,added quadrat numbers for data manipulation in R
spitfire,2,zostera,22,8.42,61.68,15.07,6.65,0.302272727,,,,1.05,added quadrat numbers for data manipulation in R
spitfire,3,zostera,11,8.8,44.6,13.63,4.83,0.439090909,,,,,added quadrat numbers for data manipulation in R
spitfire,4,zostera,8,7.9,49.09,14.65,6.75,0.84375,,,,0.34,added quadrat numbers for data manipulation in R
spitfire,5,zostera,18,7.64,50.68,14.58,6.94,0.385555556,,,,,added quadrat numbers for data manipulation in R
spitfire,6,zostera,16,8.39,,14.07,5.68,0.355,,0.38,0.12,0.97,added quadrat numbers for data manipulation in R
storey's beach,1,zostera,9,4.42,48.72,12.72,8.3,0.922222222,,,,,added quadrat numbers for data manipulation in R
storey's beach,2,zostera,14,5.04,85.16,17.98,12.94,0.924285714,,,,,added quadrat numbers for data manipulation in R
storey's beach,3,zostera,13,9.86,80.33,20.41,10.55,0.811538462,,,,,added quadrat numbers for data manipulation in R
storey's beach,4,zostera,13,9.76,88.16,23.1,13.34,1.026153846,,,,,added quadrat numbers for data manipulation in R
storey's beach,5,zostera,38,9.91,101.99,24.63,14.72,0.387368421,,,,,added quadrat numbers for data manipulation in R
storey's beach,6,zostera,17,9.98,90.17,21.71,11.73,0.69,,,,,added quadrat numbers for data manipulation in R
San Joseph Bay,1,zostera,19,3,70.13,10.725,7.725,0.406578947,,0.74,5.21,0.37,added quadrat numbers for data manipulation in R
San Joseph Bay,2,zostera,16,9.68,39.36,13.08,3.4,0.2125,,,,0.1,added quadrat numbers for data manipulation in R
San Joseph Bay,3,zostera,13,9.81,33.15,12.28,2.47,0.19,,,0.73,0.25,added quadrat numbers for data manipulation in R
San Joseph Bay,4,zostera,27,9.6,61.36,15.69,6.09,0.225555556,,,0.31,1.22,added quadrat numbers for data manipulation in R
San Joseph Bay,5,zostera,27,9.6,67.63,16.12,6.52,0.241481481,,,0.06,,added quadrat numbers for data manipulation in R
San Joseph Bay,6,zostera,22,9.67,69.72,15.96,6.29,0.285909091,,0.09,,0.09,added quadrat numbers for data manipulation in R
Comox,1,zostera,4,9.78,45.18,14.2,4.42,1.105,,,0.51,,added quadrat numbers for data manipulation in R
Comox,2,zostera,5,9.78,46.12,14.59,4.81,0.962,,,,,added quadrat numbers for data manipulation in R
Comox,3,zostera,9,9.76,128.25,26.51,16.75,1.861111111,,,,,added quadrat numbers for data manipulation in R
Comox,4,zostera,5,9.71,78.65,17.64,7.93,1.586,,,,,added quadrat numbers for data manipulation in R
Comox,5,zostera,8,9.64,117.6,23.4,13.76,1.72,,,12.98,,added quadrat numbers for data manipulation in R
Comox,6,zostera,9,9.73,108.1,22.19,12.46,1.384444444,,,,,added quadrat numbers for data manipulation in R
Parksville,1,zostera,15,9.73,87.72,20.33,10.6,0.706666667,0.96,,0.12,0.02,added quadrat numbers for data manipulation in R
Parksville,2,zostera,18,9.77,94.45,21.87,12.1,0.672222222,1.31,,,0.04,added quadrat numbers for data manipulation in R
Parksville,3,zostera,18,9.68,64.68,17.7,8.02,0.445555556,1.8749,,,0.26,added quadrat numbers for data manipulation in R
Parksville,4,zostera,20,9.68,74.65,18.88,9.2,0.46,2.287,,,,added quadrat numbers for data manipulation in R
Parksville,5,zostera,11,9.72,56.13,16.75,7.03,0.639090909,2.2243,,0.13,0.33,added quadrat numbers for data manipulation in R
Parksville,6,zostera,23,9.78,58,16.36,6.58,0.286086957,1.0799,,,,added quadrat numbers for data manipulation in R
Tahsis,1,zostera,25,9.68,139.86,19.63,9.95,0.398,,,,,added quadrat numbers for data manipulation in R
Tahsis,2,zostera,20,9.47,59.82,16,6.53,0.3265,,,,,added quadrat numbers for data manipulation in R
Tahsis,3,zostera,14,9.42,67.7,16.8,7.38,0.527142857,,,,,added quadrat numbers for data manipulation in R
Tahsis,4,zostera,15,9.6,42.47,13.41,3.81,0.254,,,,,added quadrat numbers for data manipulation in R
Tahsis,5,zostera,16,9.53,83.29,18.83,9.3,0.58125,,,,,added quadrat numbers for data manipulation in R
Tahsis,6,zostera,18,9.55,96.4,19.61,10.06,0.558888889,,,,0.03,added quadrat numbers for data manipulation in R
Robbers,1,zostera,3,9.2,32.66,11.47,2.27,0.756666667,,,,,added quadrat numbers for data manipulation in R
Robbers,2,zostera,9,10.15,49.32,14.74,4.59,0.51,,,,,added quadrat numbers for data manipulation in R
Robbers,3,zostera,3,9.18,35.48,12.7,3.52,1.173333333,,,,,added quadrat numbers for data manipulation in R
Robbers,4,zostera,6,9.21,56.32,15.5,6.29,1.048333333,,,,,added quadrat numbers for data manipulation in R
Robbers,5,zostera,10,9.57,49.93,13.67,4.1,0.41,,,,,added quadrat numbers for data manipulation in R
Robbers,6,zostera,8,9.17,55.21,14.34,5.17,0.64625,,,,,added quadrat numbers for data manipulation in R
Sarita,1,zostera,12,8.92,20.55,18,9.08,0.756666667,,,,2.96,added quadrat numbers for data manipulation in R
Sarita,2,zostera,3,8.28,29.71,11.23,2.95,0.983333333,,,,0.004,added quadrat numbers for data manipulation in R
Sarita,3,zostera,6,9.19,66.51,16.65,7.46,1.243333333,,,,3.09,added quadrat numbers for data manipulation in R
Sarita,4,zostera,7,9.16,37.06,13.1,3.94,0.562857143,,,,2.93,added quadrat numbers for data manipulation in R
Sarita,5,zostera,3,9.18,43.08,14.17,4.99,1.663333333,,,,2.89,added quadrat numbers for data manipulation in R
Sarita,6,zostera,5,9.34,45.8,14.36,5.02,1.004,,0.012,,1.08,added quadrat numbers for data manipulation in R
dodger,1,zostera,3,9.377,55.69,13.92,4.543,1.514333333,,,0.59,,added quadrat numbers for data manipulation in R
dodger,2,zostera,9,9.31,75.93,16.3,6.99,0.776666667,,,,,added quadrat numbers for data manipulation in R
dodger,3,zostera,10,7.93,94.87,17.72,9.79,0.979,,,0.18,2.34,added quadrat numbers for data manipulation in R
dodger,4,zostera,5,9.43,70.07,16.17,6.74,1.348,,,4.63,,added quadrat numbers for data manipulation in R
dodger,5,zostera,6,9.29,86.97,18.81,9.52,1.586666667,,,,,added quadrat numbers for data manipulation in R
dodger,6,zostera,8,9.73,100.9,18.62,8.89,1.11125,,,1.1,0.79,added quadrat numbers for data manipulation in R
choked_south_pigu,2,zostera,9,6.34,139.85,22.85,16.51,1.834444444,,21.35,,,added quadrat numbers for data manipulation in R
choked_south_pigu,1,zostera,5,6.27,95.26,18.65,12.38,2.476,,7.41,,,added quadrat numbers for data manipulation in R
choked_south_pigu,3,zostera,4,3.52,52.74,9.24,5.72,1.43,,3.67,,,added quadrat numbers for data manipulation in R
choked_south_pigu,4,zostera,7,6.92,156.12,23.86,16.94,2.42,,14.57,0.18,,added quadrat numbers for data manipulation in R
choked_south_pigu,5,zostera,5,,,,17.31,3.462,,5.23,,,added quadrat numbers for data manipulation in R
choked_south_pigu,6,zostera,6,,,,15.76,2.626666667,,10.54,,,added quadrat numbers for data manipulation in R
mcmullins_south,1,zostera,12,7.71,126.04,25.03,17.32,1.443333333,0.04,,13.05,,added quadrat numbers for data manipulation in R
mcmullins_south,2,zostera,6,2.24,78.77,14.09,11.85,1.975,,,10.41,,added quadrat numbers for data manipulation in R
mcmullins_south,3,zostera,10,7.71,126.04,23,15.29,1.529,,,8.23,,20191121-Whalen changed this to south from north
mcmullins_south,4,zostera,8,7.86,86.588,19.18,11.32,1.415,,,11.27,,added quadrat numbers for data manipulation in R
mcmullins_south,5,zostera,12,7.64,144.79,25.48,17.84,1.486666667,,,14.11,,added quadrat numbers for data manipulation in R
mcmullins_south,6,zostera,14,7.9,92.91,19.93,12.03,0.859285714,,0.07,1,,added quadrat numbers for data manipulation in R
