date,site,sample ID,macrophyte ID,# of shoots in quadrat,eelgrass foil weight,foil+ wet weight,foil+ dry weight,detritus foil weight,detritus wet weight,detritus foil+ dry weight,,epiphyte species,epiphyte bag wt.,epiphyte wet wt.,epiphyte bag+ dry wt.,,notes
30.06.2016,goose south east,1,Zostera marina,6,7.04,49.52,14.05,6.92,33.14,10.08,,,,,,,
30.06.2016,goose south east,8,Zostera marina,10,6.99,70.86,17.68,6.99,33.29,9.71,,,,,,,
30.06.2016,goose south east,9,Zostera marina,13,6.98,59.22,15.16,7.02,24.04,8.54,,,,,,,
30.06.2016,goose south east,5,Zostera marina,9,7.01,29.96,15.24,2.9,12.37,3.78,,,,,,,
30.06.2016,goose south east,2,Zostera marina,9,6.9,31.42,10.66,2.83,8.44,3.56,,,,,,,
30.06.2016,goose south east,4,Zostera marina,8,6.99,73.34,10.47,6.96,38.13,10.02,,,,,,,
30.06.2016,goose south east,6,Zostera marina,5,6.98,39.34,17.51,6.96,17.29,7.52,,,,,,,
30.06.2016,goose south east,3,Zostera marina,10,7.01,76.88,12.27,6.97,42.06,10.09,,,,,,,
30.06.2016,goose south east,7,Zostera marina,,6.97,120.39,17.79,6.97,38.82,10.04,,,,,,,
06.07.2016,pruth pocket,8,Zostera marina,22,6.94,44.59,12.35,1.56,17.56,3.1,,,,,,,
06.07.2016,pruth pocket,2,Zostera marina,27,6.88,49.95,12.1,1.39,6.69,1.86,,,,,,,
06.07.2016,pruth pocket,5,Zostera marina,26,6.9,28.72,10.28,1.35,3.09,1.5,,,,,,,
06.07.2016,pruth pocket,4,Zostera marina,22,6.93,37.6,11.36,1.59,10.71,2.45,,,,,,,
06.07.2016,pruth pocket,6,Zostera marina,36,6.91,55.01,13.54,1.14,5.37,1.44,,,,,,,
06.07.2016,pruth pocket,7,Zostera marina,25,6.88,51.23,16.76,1.93,14.2,2.96,,,,,,,
06.07.2016,pruth pocket,1,Zostera marina,35,6.84,37.82,11.4,1.87,8.14,2.38,,,,,,,
06.07.2016,pruth pocket,9,Zostera marina,9,6.89,24.52,9.57,1.61,4.51,1.95,,,,,,,
06.07.2016,pruth pocket,3,Zostera marina,23,6.87,43.26,11.87,1.54,7.06,2.11,,,,,,,
06.07.2016,wolf choked pass,5,Zostera marina,6,6.94,63.09,15.77,1.11,6.12,1.63,,smithora and some bryozoans,,,0.1,,
06.07.2016,wolf choked pass,1,Zostera marina,6,6.9,43.84,11.39,1.28,3.57,1.51,,smithora and and some bryozoans,1.2,19.55,4.89,,
06.07.2016,wolf choked pass,2,Zostera marina,9,6.89,98.38,18.56,1.73,10.56,2.35,,smithora ,3.2,33.57,4.91,,
06.07.2016,wolf choked pass,7,Zostera marina,3,6.88,38.9,11.8,1.2,2.43,1.2,,bryophytes,0.15,1.13,0.42,,
06.07.2016,wolf choked pass,4,Zostera marina,3,6.86,48.93,12.58,1.25,2.92,1.46,,smithora and some bryozoans,0.44,9.5,1.13,,
06.07.2016,wolf choked pass,9,Zostera marina,6,6.84,74.87,16.69,1.16,3.31,3.31,,bryophytes,0.17,2.24,0.53,,
06.07.2016,wolf choked pass,6,Zostera marina,2,6.88,33.22,10.57,1.73,3.12,1.84,,smithora and bryozoans,0.59,2.75,1.72,,
06.07.2016,wolf choked pass,3,Zostera marina,2,6.67,32.68,10.39,1.68,4.33,1.68,,smithora and bryozoans,0.58,17.42,2.9,,
06.07.2016,wolf choked pass,8,Zostera marina,7,6.69,,18.66,1.88,,3.76,,,,,0,,
28.06.2016,Sandspit,1,Zostera marina,5,6.99,91.59,18.15,2.11,8.47,,,smithora and some bryozoans,1.44,49.16,4.52,,
28.06.2016,Sandspit,2,Zostera marina,6,6.9,42.24,11.62,,,,,smithora and some bryozoans,2.2,27.32,4.57,,
28.06.2016,Sandspit,3,Zostera marina,7,6.86,60.91,12.79,,,,,smithora and some bryozoans,2.36,57.19,6.53,,
28.06.2016,Sandspit,4,Zostera marina,8,7.03,81.78,15.91,2.11,8.47,3.51,,smithora and some bryozoans,2.29,119.95,9.27,,
28.06.2016,Sandspit,5,Zostera marina,5,6.96,54.36,12.75,,,,,smithora and some bryozoans,2.74,126.14,9.3,,
28.06.2016,Sandspit,6,Zostera marina,8,6.95,79,16.46,,,,,smithora and some bryozoans,2.31,90.79,8.04,,
28.06.2016,Sandspit,7,Zostera marina,6,6.95,66.02,14.74,2.27,33.36,8.14,,smithora and some bryozoans,2.45,111.93,9.09,,
28.06.2016,Sandspit,8,Zostera marina,5,6.97,43.05,11.17,2.05,8.43,2.99,,smithora and some bryozoans,2.45,85.38,6.95,,
28.06.2016,Sandspit,9,Zostera marina,3,6.92,25.65,9.34,,,,,smithora and some bryozoans,3.14,62.78,7.08,,
28.06.2016,Flat Island,1,Zostera marina,4,6.98,62.66,12.97,,,0,,smithora and bryozoans,2.57,66.11,,,
28.06.2016,Flat Island,2,Zostera marina,5,6.95,70.4,15.72,,,0,,smithora and bryozoans,2.77,168.09,15.91,,
28.06.2016,Flat Island,3,Zostera marina,4,6.95,46.58,12.1,,,0,,smithora and bryozoans,2.97,135.57,14.1,,
28.06.2016,Flat Island,4,Zostera marina,4,6.94,83.72,16.41,,,0,,smithora and bryozoans,2.45,208.79,15.79,,
28.06.2016,Flat Island,5,Zostera marina,8,6.95,92.53,16.12,2.16,7.76,2.58,,smithora and bryozoans,2.9,121.31,11.74,,
28.06.2016,Flat Island,6,Zostera marina,5,6.95,82.39,16.07,,,0,,smithora and bryozoans,2.33,164.91,14.83,,2 opalescent nudibranchs in quadrat- add to grazer data
28.06.2016,Flat Island,7,Zostera marina,5,7.53,77.93,17.34,2.3,5.81,2.84,,smithora and bryozoans,2.75,101.39,13.77,,
28.06.2016,Flat Island,8,Zostera marina,5,7.48,75.3,15.31,,,0,,smithora and bryozoans,2.99,128.13,13.27,,
28.06.2016,Flat Island,9,Zostera marina,6,7.57,78.72,16.57,,,0,,smithora and bryozoans,2.78,124.23,11.06,,
30.06.2016,Goose South West,1,Zostera marina,10,6.99,75.85,16.47,2.28,7.82,2.94,,,,,,,
