"site_quadrat_id","SampleID","year","region","site","meso_quadrat_id","Bacillariophyceae","Thraustochytriaceae","Peronosporomycetes_uncultured","Prorocentrales","Fragilariales","Cercozoa_Novel_Clade_Gran-1","Monogononta","Vampyrellidae","Suctoria","Peritrichia","Salpingoecidae","Coscinodiscophytina","Craspedida","Labyrinthulaceae","Heterotrichea","Ulotrichales","Centrohelida_H15-6","Chytridiaceae","Pedinellales","Dactylopodida","Centrohelida_CV1-B1-93","Lobulomycetaceae","Chrysomerophyceae","Cercozoa_Incertae_Sedis","Cercozoa_Novel_Clade_Gran-3","Melosirids","Oligohymenophorea","Sarcinochrysidales","Cercozoa","Cyrtophoria","Olpidiopsis","Copepoda","Prymnesium","Gymnodiniphycidae"
"choked_sandspit_6","ZosCSSoldB",2015,"choked","choked_sandspit","6",119,0,0,0,12,0,0,0,89,0,0,487,24,236,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,12,0,0,0
"goose_south_east_4","ZosGSEoldA",2015,"goose","goose_south_east","4",16,0,12,177,9,47,0,141,65,91,11,0,19,0,0,0,0,0,0,0,1,0,0,0,0,17,8,9,0,0,0,33,0,178
"goose_south_east_6","ZosGSEoldB",2015,"goose","goose_south_east","6",45,19,13,119,23,12,98,0,20,2,0,0,0,4,3,46,1,0,1,0,2,3,0,0,0,36,0,115,0,0,0,22,0,184
"goose_south_east_5","ZosGSEoldC",2015,"goose","goose_south_east","5",19,16,24,290,8,23,191,41,2,2,1,0,0,5,1,17,0,0,4,0,0,0,0,0,0,24,0,5,0,0,0,8,0,203
"goose_south_east_3","ZosGSEoldD",2015,"goose","goose_south_east","3",49,8,9,397,18,19,67,25,0,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,16,0,160
"goose_south_east_1","ZosGSEoldE",2015,"goose","goose_south_east","1",25,33,5,430,17,20,104,4,0,108,0,0,2,2,0,80,1,0,4,0,0,0,0,0,0,8,0,6,0,0,0,10,0,84
"goose_south_east_2","ZosGSEoldF",2015,"goose","goose_south_east","2",18,2,26,338,0,11,229,42,0,22,6,0,0,0,9,43,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,98
"goose_south_west_1","ZosGSWoldA",2015,"goose","goose_south_west","1",18,1,31,452,2,41,0,37,8,0,7,0,0,0,0,1,0,3,1,6,0,0,0,0,0,0,0,0,2,0,0,7,0,302
"goose_south_west_3","ZosGSWoldB",2015,"goose","goose_south_west","3",77,9,31,258,18,40,18,28,13,7,27,0,7,2,0,36,0,0,0,23,4,1,0,0,0,1,34,20,0,0,0,10,0,209
"goose_south_west_4","ZosGSWoldC",2015,"goose","goose_south_west","4",20,14,8,300,3,31,0,13,1,1,0,0,0,0,0,2,0,5,2,0,0,4,1,0,0,2,0,1,0,0,0,0,0,298
