"site_quadrat_id","SampleID","year","region","site","meso_quadrat_id","Peronosporomycete_uncultured","Prorocentrum","Navicula","Aplanochytrium","Amphidinium","Cercozoa_Novel_Clade_Gran-1","Ploimida","Vampyrellidae_uncultured","Cothurnia","Fragilariales","Salpingoecidae_uncultured","Cylindrotheca","Labyrinthula","Ephelota","Eufolliculina","Salpingoecidae_uncultured_2","Halochlorococcum","Centrohelida_H15-6_uncultured","Chytridium","Licmophora","Salpingoeca","Grammonema","Cymbella","Ciliophrys","Parvamoeba","Centrohelida_CV1-B1-93","Labyrinthuloides","Rhoicosphenia","Acineta","Giraudyopsis","Harpacticoida","Olpidiopsis_sp._4439","Phaeodactylum","Phytomyxea_Novel_Clade_9","Metromonas"
"choked_sandspit_6","ZosCSSoldB",2015,"choked","choked_sandspit","6",0,0,119,0,0,0,0,0,0,487,24,0,236,89,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0
"goose_south_east_4","ZosGSEoldA",2015,"goose","goose_south_east","4",12,177,11,0,178,47,0,141,0,0,19,0,0,65,0,4,0,0,0,0,7,0,0,0,0,1,0,0,0,0,33,0,0,79,0
"goose_south_east_6","ZosGSEoldB",2015,"goose","goose_south_east","6",10,119,37,17,184,12,98,0,2,0,0,4,4,20,3,0,46,1,0,11,0,8,0,1,0,2,0,1,0,0,22,0,0,90,0
"goose_south_east_5","ZosGSEoldC",2015,"goose","goose_south_east","5",23,290,13,16,203,23,191,41,2,0,0,2,5,2,1,0,17,0,0,4,1,4,0,4,0,0,0,0,0,0,7,0,0,53,0
"goose_south_east_3","ZosGSEoldD",2015,"goose","goose_south_east","3",9,397,49,8,160,19,67,25,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,16,0,0,0,0
"goose_south_east_1","ZosGSEoldE",2015,"goose","goose_south_east","1",5,430,20,29,84,20,104,4,10,0,2,0,2,0,0,0,80,1,0,5,0,7,0,4,0,0,0,0,0,0,10,0,0,0,0
"goose_south_east_2","ZosGSEoldF",2015,"goose","goose_south_east","2",26,338,14,2,98,11,229,42,16,0,0,3,0,0,9,0,43,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,61,0
"goose_south_west_1","ZosGSWoldA",2015,"goose","goose_south_west","1",31,452,14,1,302,41,0,37,0,0,0,4,0,8,0,7,1,0,3,0,0,2,0,1,6,0,0,0,0,0,7,0,0,0,0
"goose_south_west_3","ZosGSWoldB",2015,"goose","goose_south_west","3",30,258,41,5,209,40,18,28,1,0,7,5,2,13,0,18,36,0,0,3,9,15,0,0,23,4,1,1,0,0,7,0,21,15,0
"goose_south_west_4","ZosGSWoldC",2015,"goose","goose_south_west","4",7,300,11,13,298,31,0,13,1,0,0,4,0,0,0,0,2,0,5,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0
