"Sample","year","region","site","host_type","sample_type","survey_type","meso_quadrat_id","ASV8","ASV17","ASV9","ASV24","ASV114","ASV96","ASV51","ASV139","ASV43","ASV20","ASV29","ASV70","ASV79","ASV59","ASV143","ASV197","ASV52","ASV171","ASV97","ASV34","ASV107","ASV27","ASV215","ASV145","ASV358","ASV85","ASV93","ASV151","ASV181","ASV204","ASV199","ASV94","ASV153","ASV118","ASV542","ASV213","ASV128","ASV117","ASV486","ASV351","ASV135","ASV258","ASV330","ASV189","ASV217","ASV617","ASV169","ASV674","ASV146","ASV45","ASV333","ASV773","ASV397","ASV126","ASV665","ASV368","ASV308","ASV653","ASV86","ASV561","ASV632","ASV385","ASV225","ASV818","ASV289","ASV317","ASV268","ASV319","ASV283","ASV384","ASV301","ASV963","ASV989","ASV798","ASV557","ASV1001","ASV778","ASV389","ASV313","ASV1347","ASV91","ASV315","ASV1451","ASV901","ASV1030","ASV442","ASV663","ASV591","ASV772","ASV267","ASV122","ASV1572","ASV98","ASV878","ASV1159","ASV196","ASV240","ASV448","ASV783","ASV1333","ASV192","ASV65","ASV1011","ASV1475","ASV1464","ASV845","ASV520","ASV631","ASV273","ASV419","ASV940","ASV232","ASV72","ASV951","ASV538","ASV1183","ASV1510","ASV1018","ASV770","ASV348","ASV1277","ASV89","ASV554","ASV1228","ASV422","ASV1481","ASV1576","ASV266","ASV1285","ASV282","ASV269","ASV306","ASV157","ASV121","ASV654","ASV1143","ASV167","ASV119","ASV890","ASV1300","ASV666","ASV787","ASV1218","ASV1235","ASV1563","ASV777","ASV124","ASV807","ASV1000","ASV1063","ASV1157","ASV33","ASV661","ASV291","ASV1448","ASV1190","ASV344","ASV1367","ASV141","ASV288","ASV30","ASV536","ASV707","ASV55","ASV687","ASV742","ASV1298","ASV1600","ASV455","ASV469","ASV1224","ASV729","ASV882","ASV1149","ASV625","ASV656","ASV991","ASV635","ASV198","ASV1258","ASV1432","ASV793","ASV1581","ASV1058","ASV1083","ASV1094","ASV998","ASV1286","ASV123","ASV551","ASV886","ASV1528","ASV1547","ASV501","ASV1084","ASV309","ASV366","ASV698","ASV759","ASV905","ASV102","ASV1295","ASV1346","ASV1518","ASV408"
"ZosMcSoldC",2015,"mcmullin","mcmullin_south","zostera","leaf_old","meso_quadrat","3",47984,0,0,0,0,0,0,0,9,2295,0,0,0,0,0,0,0,0,581,2221,0,0,0,384,0,0,0,134,0,0,0,0,0,0,0,0,0,489,0,1365,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"ZosCSPoldC",2015,"choked","choked_south_pigu","zostera","leaf_old","meso_quadrat","2",0,45615,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosTQNoldE",2015,"triquet","triquet_north","zostera","leaf_old","meso_quadrat","3",2264,41022,2630,170,0,0,0,0,0,396,0,0,0,0,0,5535,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosPBPoldB16",2016,"pruth","pruth_pocket","zostera","leaf_old","meso_quadrat","5",32,0,38442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosTQNoldF16",2016,"triquet","triquet_north","zostera","leaf_old","meso_quadrat","4",0,8670,154,34695,0,0,0,12310,0,0,29,0,0,23,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,68,0,0,0,64,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosGSWoldD16",2016,"goose","goose_southwest","zostera","leaf_old","meso_quadrat","6",66,0,201,21388,0,13613,1938,0,55,263,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,33,0,0,205,0,0,0,58,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,16,0,0,0,283,0,0,667,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosMcNoldB",2015,"mcmullin","mcmullin_north","zostera","leaf_old","meso_quadrat","2",2747,0,1933,17468,0,0,0,0,0,320,0,0,0,0,0,0,0,0,3905,133,0,0,0,2967,0,0,0,105,0,0,0,0,0,0,0,0,0,78,0,90,43,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,179,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,96,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosPBPoldE16",2016,"pruth","pruth_pocket","zostera","leaf_old","meso_quadrat","7",0,0,15073,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,2461,0,0,0,0,10,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosGSEoldB",2015,"goose","goose_southeast","zostera","leaf_old","meso_quadrat","6",11,0,711,0,14109,0,0,0,0,3541,0,0,0,0,0,0,0,0,0,1131,276,0,0,0,0,0,145,360,0,424,0,0,0,423,0,0,0,635,0,0,0,0,0,1218,0,0,0,0,0,86,0,0,0,0,0,0,328,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosTQNoldF",2015,"triquet","triquet_north","zostera","leaf_old","meso_quadrat","1",0,13780,175,0,0,0,0,0,827,2125,0,0,0,0,0,2544,0,0,0,974,0,0,0,0,0,19,0,0,0,0,0,0,458,794,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
