"","region","site","Aglaja.ocelligera","Alia","Alvania.compacta","Ampharetidae","Amphipoda","Ampithoe.lacertosa","Ampithoe.valida","Aoroides.intermedius","Arabella","Balanmorpha","Bivalvia.1","Bivalvia.2","Caprella.californica","Caprella.laeviuscula","Cardiidae","Caridea","Cheilostomatida","Cirripedia.Nauplii","Decapoda","Dorvilleidae","Egg.Bag","Egg.Balloon","Egg.Capsule","Egg.Donut","Egg.Dots","Egg.Goblet","Egg.Mass","Eulalia","Exogone","Foraminifera.1","Foraminifera.2","Foraminifera.3","Foraminifera.4","Halacaridae","Harmothoe.imbricata","Harpacticoida","Ischyrocerus.anguipes","Ischyrocerus.pelagops","Lacuna","Lasaeidae","Leptochelia","Lirularia.lirulata","Lumbrineridae","Metacarcinus.magister","Monocorophium","Monocorophium.insidiosum","Munnidae","Mytilus","Naticidae","Nematoda","Nemertea.1","Nemertea.2","Ophelia","Ostracoda.1","Ostracoda.2","Ostracoda.3","Ostracoda.4","Pagurus.quaylei","Paraonides","Pentidotea.montereyensis","Pentidotea.resecata","Photis.brevipes","Platynereis.bicanaliculata","Podon","Polynoidae","Pontogeneia.rostrata","Porcellidium","Pugettia.richii","Schistomeringos.longicornis","Serpulidae.1","Serpulidae.2","Thorlaksonius.subcarinatus","Unknown","V1","Actiniidae","Alia.carinata","Amphissa","Amphiuridae","Ampithoe.sectimanus","Ampithoidae","Aoridae","Aoroides","Aoroides.intermedia","Ascidiacea","Axiothella","Bivalvia","Caprella","Caprella.mutica","Cerithiidae","Chrysopetalidae","Corophiidae","Cumacea","eggs","Eusiroidea","Fluff","Foraminifera","Gammaridea","Gammaropsis","Gammaropsis.thomsoni","Gastropoda","Gymnolaemata","Haliclystidae","Hemipodia","Hesionidae","Heterophoxus","Hyalidae","Pentidotea","Isaeidae","Ischyroceridae","Ischyrocerus","larvae","Lirularia","Littorinimorpha","Lottidae","microfiber","Micronereis","Monocorophium.acherusicum","Mytilidae","Neogastropoda","Nereididae","Nudibranchia","Ostracoda","Pagurus","Photis","Phyllodoce","Phyllodocida","Phyllodocidae","Platynereis","Pleocyemata","Podarkeopsis.glabrus","Polychaeta","Pontogeneia","Pontogeneia.inermis","Protohyale","Rissoidae","Sessilia","Stalked.thing","Stenothoidae","Sthenelais","Syllidae","Terebellidae","Thorlaksonius","Urothoidae","Veneroida"
"1","hakai","pruth_bay1",0,3,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,1,0,61,0,0,10,1,4,0,0,0,1,1,0,5,1,109,0,0,0,1,2,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","hakai","pruth_bay2",0,1,4,0,0,0,0,0,4,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,36,0,0,15,1,9,0,0,0,2,0,0,2,0,54,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","hakai","pruth_bay3",0,0,11,0,0,0,0,0,5,0,0,0,1,0,2,1,0,0,0,0,0,6,2,2,1,0,8,0,0,0,0,0,0,4,1,25,0,0,21,2,15,0,0,0,0,0,0,3,0,74,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","hakai","pruth_bay4",0,0,1,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,11,0,8,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","hakai","pruth_bay5",0,0,16,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,5,1,2,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","hakai","pruth_bay6",0,0,13,0,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,0,0,7,1,2,0,0,35,0,3,0,0,0,0,1,0,58,0,0,19,0,9,0,0,0,0,0,0,1,0,229,0,1,0,0,1,0,3,0,0,0,0,0,2,0,4,0,0,0,0,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","hakai","pruth_pocket1",0,0,32,0,12,0,0,140,0,0,0,0,4,112,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,4,8,12,20,4,0,8,0,0,4,0,0,0,8,0,0,100,0,0,0,0,0,0,0,0,0,0,8,16,8,0,0,12,28,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","hakai","pruth_pocket7",4,12,260,0,4,4,12,80,0,8,0,4,0,68,84,0,0,4,0,0,4,0,0,0,8,24,4,4,0,0,28,0,4,32,0,80,36,4,48,16,4,8,0,0,0,4,24,4,0,264,0,0,0,16,40,4,0,4,0,0,4,0,4,0,0,0,8,0,4,0,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","hakai","pruth_pocket9",0,2,38,1,5,1,0,26,0,0,1,0,0,105,22,0,0,1,1,0,0,0,2,1,0,6,1,0,1,0,1,1,0,2,0,16,0,4,7,0,0,5,0,1,0,0,4,5,5,328,2,0,2,2,1,0,0,0,1,1,0,9,5,2,1,1,6,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","hakai","choked_sand_spit1",NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,49,0,NA,31,NA,119,NA,0,NA,NA,NA,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,164,3,NA,NA,NA,0,NA,0,0,0,2,0,0,9,67,0,0,0,0,2,1,0,1,0,0,0,0,1,0,2,250,0,0,0,0,0,0,0,0,0,5,23,0,0,0,4,1,0,0,0,0,18,0,5,0,19,0,11,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
