SampleID,choked_inner_2_2017,choked_inner_3_2017,choked_inner_5_2017,choked_inner_7_2017,choked_inner_8_2017,choked_inner_9_2017,choked_sandspit_1_2017,choked_sandspit_2_2017,choked_sandspit_5_2017,choked_sandspit_6_2017,choked_sandspit_8_2017,choked_sandspit_9_2017,pruth_pocket_2_2017,pruth_pocket_3_2017,pruth_pocket_4_2017,triquet_north_2_2017,triquet_north_1_2017,triquet_north_4_2017,triquet_north_5_2017,triquet_north_6_2017,triquet_north_8_2017,triquet_south_2_2017,triquet_south_3_2017,triquet_south_8_2017,triquet_south_9_2017
choked_inner_2_2017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_inner_3_2017,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_inner_5_2017,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_inner_7_2017,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_inner_8_2017,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_inner_9_2017,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_sandspit_1_2017,548,548,548,548,548,548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_sandspit_2_2017,548,548,548,548,548,548,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_sandspit_5_2017,548,548,548,548,548,548,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_sandspit_6_2017,548,548,548,548,548,548,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_sandspit_8_2017,548,548,548,548,548,548,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
choked_sandspit_9_2017,548,548,548,548,548,548,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pruth_pocket_2_2017,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pruth_pocket_3_2017,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pruth_pocket_4_2017,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
triquet_north_2_2017,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,25352,25352,25352,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
triquet_north_1_2017,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,25352,25352,25352,0,0,NA,NA,NA,NA,NA,NA,NA,NA
triquet_north_4_2017,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,25352,25352,25352,0,0,0,NA,NA,NA,NA,NA,NA,NA
triquet_north_5_2017,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,25352,25352,25352,0,0,0,0,NA,NA,NA,NA,NA,NA
triquet_north_6_2017,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,25352,25352,25352,0,0,0,0,0,NA,NA,NA,NA,NA
triquet_north_8_2017,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,25352,25352,25352,0,0,0,0,0,0,NA,NA,NA,NA
triquet_south_2_2017,18181,18181,18181,18181,18181,18181,18661,18661,18661,18661,18661,18661,24271,24271,24271,1182,1182,1182,1182,1182,1182,0,NA,NA,NA
triquet_south_3_2017,18181,18181,18181,18181,18181,18181,18661,18661,18661,18661,18661,18661,24271,24271,24271,1182,1182,1182,1182,1182,1182,0,0,NA,NA
triquet_south_8_2017,18181,18181,18181,18181,18181,18181,18661,18661,18661,18661,18661,18661,24271,24271,24271,1182,1182,1182,1182,1182,1182,0,0,0,NA
triquet_south_9_2017,18181,18181,18181,18181,18181,18181,18661,18661,18661,18661,18661,18661,24271,24271,24271,1182,1182,1182,1182,1182,1182,0,0,0,0
