finest,taxon2,taxon3,taxon4,taxon5
Actiniidae,Actiniidae,Actiniidae,Actiniidae,Cnidaria
Alia.carinata,Alia.carinata,Alia.carinata,Columbellidae,Buccinoidea
Alvania.compacta,Alvania.compacta,Alvania.compacta,Rissoidae,Rissoidae
Americorphium,Americorphium,Corophiidae,Corophiidae,Corophiidae
Amphipholis.pugetana,Amphipholis.pugetana,Ophiuroidea,Ophiuroidea,Ophiuroidea
Amphissa.columbiana,Amphissa.columbiana,Amphissa.columbiana,Columbellidae,Buccinoidea
Ampithoe.lacertosa,Ampithoe.lacertosa,Ampithoidae,Ampithoidae,Gammaridean
Ampithoe.sectimanus,Ampithoe.sectimanus,Ampithoidae,Ampithoidae,Gammaridean
Ampithoe.spp.,Ampithoe.spp.,Ampithoidae,Ampithoidae,Gammaridean
Ampithoidae,Ampithoidae,Ampithoidae,Ampithoidae,Gammaridean
Anoplodactylus,Anoplodactylus,Pycnogonida,Pycnogonida,Pycnogonida
Aoroides,Aoroides,Aoroides,Aoridae,Gammaridean
Ascidiacea,Ascidiacea,Ascidiacea,Ascidiacea,Ascidiacea
Asteroidea,Asteroidea,Asteroidea,Asteroidea,Asteroidea
Balanus,Balanus,Balanus,Balanidae,Balanidae
Bittium,Bittium,Cerithiidae,Cerithiidae,Cerithioidea
Bivalvia,Bivalvia,Bivalvia,Veneridae,Bivalvia
Calliostoma,Calliostoma,Calliostoma,Calliostomatidae,Trochoidea
Capitellidae,Capitellidae,Capitellidae,Capitellidae,Scolecida
Caprella,Caprella,Caprellidae,Caprellidae,Caprellidae
Caprella.californica,Caprella.californica,Caprellidae,Caprellidae,Caprellidae
Caprella.laeviuscula,Caprella.laeviuscula,Caprellidae,Caprellidae,Caprellidae
Cerithiidae,Cerithiidae,Cerithiidae,Cerithiidae,Cerithioidea
Colus,Colus,Colus,Buccinidae,Buccinoidea
Corophiidae,Corophiidae,Corophiidae,Corophiidae,Corophiidae
Decapoda,Decapoda,Decapoda,Epialtidae,Decapoda
Diadumene,Diadumene,Actiniidae,Actiniidae,Cnidaria
Echinoidea,Echinoidea,Echinoidea,Echinoidea,Echinoidea
Enteropneusta,Enteropneusta,Enteropneusta,Enteropneusta,Enteropneusta
Eogammarus.confervicolus,Eogammarus.confervicolus,Gammaropsis-like,Anisogammaridae,Gammaridean
Epiactis,Actiniidae,Actiniidae,Actiniidae,Cnidaria
Ericthonius,Ericthonius,Ericthonius,Ischyroceridae,Gammaridean
Eulalia,Eulalia,Phyllodocidae,Phyllodocidae,Phyllodocida
Gammaridean,Gammaridean,Gammaridean,Gammaridean,Gammaridean
Gammaropsis,Gammaropsis,Gammaropsis-like,Photidae,Gammaridean
Glyceridae,Glyceridae,Phyllodocidae,Phyllodocidae,Phyllodocida
Halacaridae,Halacaridae,Halacaridae,Halacaridae,Halacaridae
Haminoea,Haminoea,Haminoea,Haminoeidae,Haminoea
Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida
Heptacarpus,Heptacarpus,Heptacarpus,Hippolytidae,Decapoda
Hesionidae,Hesionidae,Hesionidae,Hesionidae,Phyllodocida
Hyalellidae,Hyalellidae,Hyaloidea,Hyalellidae,Gammaridean
Hyalidae,Hyalidae,Hyaloidea,Hyalidae,Gammaridean
Idoteidae,Pentidotea,Idoteidae,Idoteidae,Isopoda
Isaeidae,Isaeidae,Isaeidae,Isaeidae,Gammaridean
Ischyrocerus,Ischyrocerus,Ischyroceridae,Ischyroceridae,Gammaridean
Lacuna,Lacuna,Lacuna,Littorinidae,Littorinoidea
Lacuna.variegata,Lacuna.variegata,Lacuna,Littorinidae,Littorinoidea
Lacuna.vincta,Lacuna.vincta,Lacuna,Littorinidae,Littorinoidea
Lepasterias.hexactis,Lepasterias.hexactis,Asteroidea,Asteroidea,Asteroidea
Leptochelia,Leptochelia,Leptochelia,Tanaidae,Tanaidacea
Leptochelia.dubia,Leptochelia.dubia,Leptochelia,Tanaidae,Tanaidacea
Lirularia,Lirularia,Lirularia,Trochidae,Trochoidea
Lirularia.lirulata,Lirularia.lirulata,Lirularia,Trochidae,Trochoidea
Littorinidae,Littorinidae,Littorinidae,Littorinidae,Littorinoidea
Lottia.alveus,Lottia.alveus,Lottia.alveus,Lottiidae,Lottioidea
Lottidae,Lottidae,Lottia.alveus,Lottiidae,Lottioidea
Lumbrineridae,Lumbrineridae,Lumbrineridae,Lumbrineridae,Eunicida
Margarites,Margarites,Margarites,Trochidae,Trochoidea
Margarites.helicinus,Margarites.helicinus,Margarites,Trochidae,Trochoidea
Margarites.pupillus,Margarites.pupillus,Margarites,Trochidae,Trochoidea
Metacaprella.kennerlyi,Metacaprella.kennerlyi,Caprellidae,Caprellidae,Caprellidae
Metacarcinus.magister,Metacarcinus.magister,Metacarcinus.magister,Cancridae,Decapoda
Micronereis.nanaimoensis,Micronereis.nanaimoensis,Micronereis.nanaimoensis,Nereididae,Phyllodocida
Monocorophium,Monocorophium,Corophiidae,Corophiidae,Corophiidae
Munnidae,Munnidae,Munnidae,Munnidae,Isopoda
Mytilidae,Mytilidae,Mytilidae,Mytilidae,Bivalvia
Nassarius.mendicus,Nassarius.mendicus,Nassarius.mendicus,Nassariidae,Buccinoidea
Nematoda,Nematoda,Nematoda,Nematoda,Nematoda
Nereididae,Nereididae,Platynereis.bicanaliculata,Nereididae,Phyllodocida
Nudibranchia,Nudibranchia,Nudibranchia,Nudibranchia,Nudibranchia
Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea
Ostracoda,Ostracoda,Ostracoda,Ostracoda,Ostracoda
Paguridae,Paguridae,Paguridae,Paguridae,Decapoda
Pagurus,Pagurus,Paguridae,Paguridae,Decapoda
Paleanotus.bellis,Nereididae,Nereididae,Nereididae,Phyllodocida
Paranthura,Paranthura,Paranthura,Anthuridae,Isopoda
Pentidotea,Pentidotea,Idoteidae,Idoteidae,Isopoda
Pentidotea.wosnesenskii,Pentidotea.wosnesenskii,Idoteidae,Idoteidae,Isopoda
Pholoidae,Pholoidae,Pholoidae,Pholoidae,Phyllodocida
Photis,Photis,Photis,Photidae,Gammaridean
Phyllaplysia.taylori,Phyllaplysia.taylori,Phyllaplysia.taylori,Notarchidae,Phyllaplysia
Phyllodocidae,Phyllodocidae,Phyllodocidae,Phyllodocidae,Phyllodocida
Pilargidae,Pilargidae,Syllidae,Syllidae,Phyllodocida
Platynereis.bicanaliculata,Platynereis.bicanaliculata,Platynereis.bicanaliculata,Nereididae,Phyllodocida
Pleocyemata,Pleocyemata,Pleocyemata,Epialtidae,Decapoda
Pleustidae,Pleustidae,Pleustidae,Pleustidae,Gammaridean
Podoceridae,Podoceridae,Podoceridae,Podoceridae,Gammaridean
Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta
Polynoidae,Polynoidae,Polynoidae,Polynoidae,Phyllodocida
Pontogeneia,Pontogeneia,Pontogeneia,Eusiridae,Gammaridean
Pontogeneiidae,Pontogeneiidae,Pontogeneiidae,Pontogeneiidae,Gammaridean
Porcellidium,Porcellidium,Harpacticoida,Harpacticoida,Harpacticoida
Protohyale,Protohyale,Hyaloidea,Hyalidae,Gammaridean
Pugettia,Pugettia,Pugettia,Epialtidae,Decapoda
Pycnogonida,Pycnogonida,Pycnogonida,Pycnogonida,Pycnogonida
Solasteridae,Solasteridae,Asteroidea,Asteroidea,Asteroidea
Sphaeromatidae,Sphaeromatidae,Sphaeromatidae,Sphaeromatidae,Isopoda
