"","ASV3","ASV4","ASV5","ASV6","ASV9","ASV11","ASV13","ASV15","ASV17","ASV18","ASV19","ASV24","ASV27","ASV28","ASV31","ASV34","ASV39","ASV43","ASV44","ASV46","ASV57","ASV60","ASV62","ASV89","ASV93","ASV104","ASV105","ASV106","ASV107","ASV113","ASV117","ASV118","ASV119","ASV125","ASV131","ASV132","ASV133","ASV147","ASV165","ASV167","ASV185","ASV198","ASV209","ASV210","ASV222","ASV224","ASV226","ASV239","ASV251","ASV277","ASV279","ASV281","ASV283","ASV286","ASV289","ASV302","ASV330","ASV341","ASV342","ASV346","ASV351","ASV352","ASV358","ASV368","ASV369","ASV373","ASV383","ASV386","ASV392","ASV403","ASV408","ASV417","ASV420","ASV425","ASV431","ASV467","ASV470","ASV493","ASV495","ASV523","ASV530","ASV559","ASV570","ASV590","ASV619","ASV640","ASV656","ASV660","ASV661","ASV663","ASV668","ASV671","ASV674","ASV678","ASV679","ASV687","ASV720","ASV737","ASV750","ASV760","ASV775","ASV777","ASV837","ASV854","ASV858","ASV862","ASV881","ASV891","ASV909","ASV913","ASV930","ASV940","ASV945","ASV953","ASV959","ASV971","ASV989","ASV996","ASV1012","ASV1016","ASV1017","ASV1018","ASV1023","ASV1033","ASV1036","ASV1068","ASV1070","ASV1087","ASV1119","ASV1128","ASV1144","ASV1148","ASV1158","ASV1164","ASV1199","ASV1200","ASV1207","ASV1214","ASV1225","ASV1229","ASV1254","ASV1328","ASV1330","ASV1335","ASV1358","ASV1380","ASV1382","ASV1394","ASV1405","ASV1417","ASV1418","ASV1426","ASV1483","ASV1487","ASV1503","ASV1510","ASV1548","ASV1574","ASV1639","ASV1668","ASV1677","ASV1700","ASV1702","ASV1708","ASV1794","ASV1795","ASV1798","ASV1870","ASV1879","ASV1925","ASV1964","ASV1989","ASV2000","ASV2015","ASV2041","ASV2062","ASV2068","ASV2119","ASV2135","ASV2137","ASV2145","ASV2155","ASV2164","ASV2196","ASV2215","ASV2247","ASV2282","ASV2326","ASV2341","ASV2358","ASV2386","ASV2406","ASV2451","ASV2482","ASV2485","ASV2493","ASV2516","ASV2517","ASV2522","ASV2534","ASV2613","ASV2643","ASV2663","ASV2671","ASV2683","ASV2725","ASV2755","ASV2762","ASV2778","ASV2782","ASV2796","ASV2801","ASV2836","ASV2867","ASV2874","ASV2992","ASV3025","ASV3047","ASV3057","ASV3074","ASV3099","ASV3114","ASV3134","ASV3217","ASV3220","ASV3269","ASV3271","ASV3321","ASV3324","ASV3368","ASV3378","ASV3384","ASV3395","ASV3462","ASV3488","ASV3505","ASV3510","ASV3543","ASV3570","ASV3614","ASV3622","ASV3627","ASV3655","ASV3657","ASV3704","ASV3714","ASV3775","ASV3857","ASV3880","ASV3885","ASV3905","ASV3925","ASV3951","ASV3999","ASV4080","ASV4093","ASV4113","ASV4119","ASV4133","ASV4183","ASV4195","ASV1086","ASV1390","ASV1412","ASV2306","ASV2328","ASV2360"
"asuCPW10",0,0,5,0,0,0,0,0,0,368,90,1312,285,17,62,0,1,156,0,0,0,0,0,0,0,15,7,13,0,3,2,0,2,139,0,0,0,46,72,7,0,0,0,14,0,0,0,0,1,17,29,0,0,0,0,0,0,2,0,3,0,5,0,0,0,0,0,5,0,0,22,0,0,17,0,5,5,0,0,0,6,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,41,0,0,22,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPW2",0,1,0,0,0,6,1,0,0,238,231,732,58,50,73,0,0,262,0,0,0,0,0,0,0,72,12,19,0,55,0,0,6,231,1,0,0,36,56,35,0,0,0,26,0,0,0,0,0,38,42,1,0,0,0,0,0,9,0,1,0,22,0,0,0,18,0,12,0,0,10,0,0,26,0,9,3,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,64,0,0,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPW23",4,2,0,2,0,2,7,4,0,308,110,560,395,5,33,1,0,310,2,0,0,0,0,0,13,43,10,8,0,18,4,0,6,377,5,0,0,13,16,17,0,0,0,46,0,0,0,0,0,3,2,3,0,0,0,0,0,2,0,2,0,12,1,0,0,0,0,0,0,0,17,0,0,2,0,0,176,0,0,0,11,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,145,0,0,11,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPW30",4,0,0,2,0,1,5,0,0,420,122,439,267,36,28,0,16,300,5,0,0,0,0,0,32,48,13,0,0,116,2,0,68,296,15,0,0,9,9,142,0,0,0,15,0,0,0,0,0,2,10,2,0,0,0,0,0,12,0,0,0,12,1,0,0,9,0,4,0,0,19,0,0,10,0,7,83,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPW5",0,2,0,0,0,2,2,0,0,336,180,547,98,26,88,0,0,230,0,0,0,0,0,0,0,99,11,30,0,30,0,0,0,374,0,0,0,49,46,40,0,0,0,61,0,0,0,0,1,18,56,0,0,0,0,0,0,6,0,0,0,19,0,0,0,21,0,6,0,0,21,0,0,35,0,3,0,0,0,0,19,0,13,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,123,0,0,40,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPW67",2,0,0,0,0,5,3,0,0,376,145,661,40,13,24,0,16,238,0,0,0,0,0,0,19,71,1,6,0,146,0,0,12,259,0,0,0,9,25,165,0,0,0,17,0,0,0,0,0,8,15,0,0,0,0,0,0,16,1,1,0,3,0,0,0,5,0,4,0,0,6,0,0,6,0,9,127,0,0,0,14,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,2,50,0,0,4,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPW70",4,2,9,1,0,4,6,1,0,554,108,771,50,12,46,0,16,282,0,0,0,0,0,0,7,59,3,4,0,41,0,0,13,229,0,0,0,2,33,45,0,0,0,33,0,0,0,0,0,2,15,1,0,0,0,0,0,6,0,1,2,5,0,0,0,3,0,2,0,0,2,0,0,6,0,8,231,0,0,0,2,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,10,63,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPWedge",1,0,1,0,0,4,0,1,0,218,152,659,77,35,152,0,0,215,0,0,0,0,0,0,4,47,14,4,0,44,0,0,4,666,0,0,0,61,24,46,0,0,0,28,0,0,0,0,0,15,13,2,0,0,0,0,0,3,0,3,0,12,0,0,0,37,0,17,0,0,20,0,0,18,1,5,0,0,0,0,0,0,26,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,57,0,0,20,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asuCPWinner",0,0,1,2,0,4,1,2,0,600,366,333,273,61,37,3,0,135,0,30,0,7,0,0,4,62,16,29,0,6,0,0,12,160,50,0,0,101,10,6,0,0,0,36,5,0,0,0,0,11,79,9,1,0,0,0,0,1,0,0,0,4,1,0,0,8,0,4,0,0,62,0,0,20,0,1,10,2,0,0,5,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,144,0,0,22,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AugZosAmbtEdge1",6,5,0,2,0,4,41,42,0,112,273,509,44,110,24,0,5,79,1,5,0,13,0,0,40,22,5,144,0,83,1,0,5,279,3,0,3,32,15,94,0,0,0,0,0,0,0,0,0,37,23,18,0,3,0,44,0,16,0,0,0,12,5,0,0,19,0,275,0,0,10,0,0,0,0,27,0,0,0,1,0,0,9,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,27,0,36,0,0,0,0,0,0,0,0,0,1,16,0,0,13,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
