"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV3","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae",NA,NA,NA
"ASV4","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae",NA,NA,NA
"ASV5","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA,NA
"ASV6","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae",NA,NA,NA
"ASV9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,NA
"ASV11","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA,NA,NA
"ASV13","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",NA,NA,NA
"ASV15","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA,NA,NA
"ASV17","Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales","Actinomarinaceae",NA,NA,NA
"ASV18","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA,NA
"ASV19","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"ASV24","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"ASV27","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae",NA,NA,NA
"ASV28","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae",NA,NA,NA
"ASV31","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,NA
"ASV34","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,NA
"ASV39","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Marinomonadaceae",NA,NA,NA
"ASV43","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae",NA,NA,NA
"ASV44","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Thiovulaceae",NA,NA,NA
"ASV46","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA,NA
"ASV57","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","uncultured_gamma_proteobacterium",NA,NA,NA
"ASV60","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae",NA,NA,NA
"ASV62","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae",NA,NA,NA
"ASV89","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae",NA,NA,NA
"ASV93","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae",NA,NA,NA
"ASV104","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,NA
"ASV105","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA,NA,NA
"ASV106","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA,NA
