"site_quadrat_id","SampleID","year","region","site","quadrat_id","meso_shoot_id","Thiohalorhabdaceae","Microtrichaceae","Verrucomicrobiales_DEV007","Thiotrichaceae","Micavibrionales_uncultured","Cellvibrionaceae","Arenicellaceae","Bdellovibrionaceae","Chitinophagales_uncultured","Spirosomaceae","Gammaproteobacteria_KI89A_clade","Gracilibacteria_JGI_0000069-P22","Midichloriaceae","Phormidesmiaceae","Gracilibacteria_uncultured","Absconditabacteriales_(SR1)","Micavibrionaceae","Simkaniaceae","Chitinophagaceae","Rubinisphaeraceae","Trueperaceae","Schleiferiaceae","Methylophagaceae","ASV945","ASV1254","ASV470","ASV1018","ASV39","ASV1074","ASV1503","ASV108","ASV119","Methylophilaceae"
"choked_sandspit_6","ZosCSSoldB",2015,"choked","choked_sandspit","6","b",155,13,94,155,13,49,32,20,23,0,0,9,0,0,20,0,0,5,0,8,5,6,8,0,0,71,6,138,0,0,0,100,48
"choked_sandspit_5","ZosCSSoldE",2015,"choked","choked_sandspit","5","e",36,1,0,104,0,0,0,0,4,0,0,11,2,1,0,18,0,0,0,0,0,0,5,0,0,23,0,11,10,0,0,16,345
"choked_sandspit_4","ZosCSSoldD",2015,"choked","choked_sandspit","4","d",121,96,114,64,18,27,146,22,13,0,2,41,5,0,114,20,0,3,0,0,0,0,0,0,0,20,44,14,0,0,13,27,24
"choked_sandspit_3","ZosCSSoldF",2015,"choked","choked_sandspit","3","f",1,0,0,7,3,35,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,61,0,0,1088,0,469,64,0,0,0,197
"choked_sandspit_2","ZosCSSoldC",2015,"choked","choked_sandspit","2","c",375,74,48,106,14,21,12,0,0,0,0,23,4,0,64,13,0,4,1,0,3,0,3,0,0,8,16,51,0,0,22,19,27
"choked_sandspit_1","ZosCSSoldA",2015,"choked","choked_sandspit","1","a",33,10,7,31,8,18,5,8,2,6,0,120,6,0,0,4,0,0,0,1,0,0,8,0,0,332,0,93,34,0,0,18,695
"choked_inner_2","ZosCSPoldC",2015,"choked","choked_inner","2","2",70,55,119,962,26,8,5,13,1,0,6,16,1,4,35,4,6,0,0,4,13,2,0,0,0,0,11,9,0,0,96,15,226
"choked_inner_1","ZosCSPoldB",2015,"choked","choked_inner","1","1",305,16,92,410,33,16,21,27,17,0,5,57,1,0,29,112,7,5,0,0,2,4,0,0,0,0,19,10,17,0,39,30,119
"goose_south_east_6","ZosGSEoldB",2015,"goose","goose_south_east","6","quack",201,78,193,7,16,75,14,17,1,24,11,0,354,31,0,0,7,0,6,1,4,2,0,21,2,1,0,0,5,0,18,0,33
"goose_south_east_5","ZosGSEoldC",2015,"goose","goose_south_east","5","woof",387,178,210,29,6,39,28,6,9,30,43,0,27,21,4,0,1,0,10,0,9,3,0,7,4,0,0,0,0,0,24,0,23
