date,site,sample ID,macrophyte ID,shoot length,shoot width,blades,foil weight,foilwet weight,foildry weight,total dry weight,dry weightpernumber of blades,microepiphyte,macroepiphyte,smithora,NOTES
1/7/2015,goose_east,1,zostera,105.5,0.4,6,8.02,18.32,9.84,1.82,0.303333333,18.8,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_east,2,zostera,108.6,0.35,5,2.91,11.91,4.72,1.81,0.362,13.1,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_east,3,zostera,136.3,0.37,7,7.62,22.28,10.02,2.4,0.342857143,12.1,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_east,4,zostera,128.2,0.38,6,8.22,19.1,10.94,2.72,0.453333333,23.2,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_east,5,zostera,126.8,0.39,5,8.26,19.12,10.21,1.95,0.39,3.6,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_east,6,zostera,106.8,0.32,6,8.14,14.17,9.35,1.21,0.201666667,15.8,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_west,1,zostera,126,0.375,5,2.72,9.32,4.29,1.57,0.314,30.5,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_west,2,zostera,133.9,0.4,7,8.34,21.5,10.89,2.55,0.364285714,28.8,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_west,3,zostera,105.3,0.39,5,3.19,9.02,4.15,1.21,0.242,17.1,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_west,4,zostera,102.9,0.38,5,3.03,12.75,5.01,1.98,0.396,21.4,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_west,5,zostera,198.5,0.352,4,3.52,11.11,5.18,1.66,0.415,21.5,,,added quadrat numbers for data manipulation in R
1/7/2015,goose_west,6,zostera,123.4,0.4,6,8.23,20.77,10.12,1.89,0.315,20.7,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_north,1,zostera,88,0.4,6,7.99,13.46,8.95,0.96,0.16,41.3,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_north,2,zostera,64.1,0.39,7,7.92,11.78,8.38,0.75,0.107142857,43.6,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_north,3,zostera,41.9,0.39,6,7.83,10.49,8.19,0.69,0.115,39.6,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_north,4,zostera,61.5,0.5,4,3.17,21.32,4.13,0.96,0.24,35.5,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_north,5,zostera,106,0.43,6,6.7,15.95,8.34,1.64,0.273333333,52.7,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_north,6,zostera,98.7,0.4,6,6.7,16.66,8.56,1.86,0.31,43.6,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_south,1,zostera,54.5,0.42,5,1.68,6.1,2.9,1.22,0.244,36,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_south,2,zostera,63.8,0.59,6,8.03,,9.35,1.32,0.22,17.1,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_south,3,zostera,123,0.95,6,7.94,15.9,9.17,1.23,0.205,44.7,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_south,4,zostera,105.5,0.32,5,8.09,12,9.23,1.14,0.228,35.4,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_south,5,zostera,69.1,0.35,7,2.84,6.52,5.06,2.22,0.317142857,37.09,,,added quadrat numbers for data manipulation in R
27/06/2015,mcmullins_south,6,zostera,109,1.03,5,4.15,17.95,6.6,2.18,0.436,35.7,,,added quadrat numbers for data manipulation in R
25/06/2015,choked_south_pigu,1,zostera,85.5,0.8,8,3.69,22.97,6.56,2.87,0.35875,18.5,2.87,2.87,added quadrat numbers for data manipulation in R
25/06/2015,choked_south_pigu,2,zostera,77,1.05,5,3.15,,6.21,2.78,0.556,13.4,4.06,4.06,added quadrat numbers for data manipulation in R
25/06/2015,choked_south_pigu,3,zostera,74.4,1.05,5,7.53,,11.75,3.39,0.678,27.4,2.34,2.34,added quadrat numbers for data manipulation in R
25/06/2015,choked_south_pigu,4,zostera,86.5,1,5,7.13,22.66,10.38,3.25,0.65,20.1,2.18,2.18,added quadrat numbers for data manipulation in R
04/07/2015????,choked_south_pigu,5,zostera,115.6,0.43,5,1.86,,3.85,1.99,0.398,12.2,2.76,2.76,added quadrat numbers for data manipulation in R
04/07/2015????,choked_south_pigu,6,zostera,83,0.66,6,3.15,20.75,5.71,2.56,0.426666667,9.8,4.52,4.52,added quadrat numbers for data manipulation in R
10/7/2015,choked_sandspit,1,zostera,129.2,0.8,4,8.72,20.03,9.98,1.26,0.315,18.2,,0.4577,added quadrat numbers for data manipulation in R
10/7/2015,choked_sandspit,2,zostera,123,0.8,5,7.71,17.49,8.76,1.25,0.25,16.5,,,added quadrat numbers for data manipulation in R
10/7/2015,choked_sandspit,3,zostera,131.3,0.63,6,8.23,,10.86,2.63,0.438333333,26.2,,,added quadrat numbers for data manipulation in R
10/7/2015,choked_sandspit,4,zostera,115.6,0.57,5,7.83,24.04,9.9,2.07,0.414,15.8,,,added quadrat numbers for data manipulation in R
10/7/2015,choked_sandspit,5,zostera,129.5,1.05,7,7.47,,10.28,2.81,0.401428571,20.7,,,added quadrat numbers for data manipulation in R
10/7/2015,choked_sandspit,6,zostera,111.5,1.1,5,7.54,,8.95,1.41,0.282,13.8,,,added quadrat numbers for data manipulation in R
1/7/2015,triquet_north,1,zostera,96,0.35,4,2.74,12.71,4.13,1.39,0.3475,12,,,added quadrat numbers for data manipulation in R
1/7/2015,triquet_north,2,zostera,123.6,0.4,6,2.68,,4.43,1.75,0.291666667,27.6,,,added quadrat numbers for data manipulation in R
1/7/2015,triquet_north,3,zostera,84.3,0.3,5,2.87,7.56,3.4,0.53,0.106,30.1,,,added quadrat numbers for data manipulation in R
1/7/2015,triquet_north,4,zostera,124,0.4,5,3.9,15.9,5.69,1.79,0.358,38.8,,,added quadrat numbers for data manipulation in R
1/7/2015,triquet_north,5,zostera,89.6,0.29,5,3.12,8.65,3.96,0.84,0.168,7.4,,,added quadrat numbers for data manipulation in R
1/7/2015,triquet_south,1,zostera,141.5,0.5,5,1.76,3.55,3.91,1.08,0.216,29,,,added quadrat numbers for data manipulation in R
1/7/2015,triquet_south,2,zostera,78.9,0.43,5,2.66,9.04,3.59,0.93,0.186,29.6,,,added quadrat numbers for data manipulation in R
1/7/2015,triquet_south,3,zostera,97.8,0.49,5,1.72,7.6,2.72,1,0.2,29.6,,,added quadrat numbers for data manipulation in R
