"","site","quadrat_id","quadrat_shoot_density","quadrat_macroalgae_g","quadrat_lai","quadrat_biomass_g","quadrat_microepiphyte_mg","year","quadrat_detritus_g","quadrat_microepiphyte_g"
"1","choked_sandspit",1,10,2.17,13.23008,13.82,182,"2015",NA,NA
"2","choked_sandspit",2,4,2.15,6.2976,7.1,66,"2015",NA,NA
"3","choked_sandspit",3,7,3.71,11.1174336,9.42,183.4,"2015",NA,NA
"4","choked_sandspit",4,4,0.9,4.217088,4.78,63.2,"2015",NA,NA
"5","choked_sandspit",5,6,3.2,18.27504,6.97,124.2,"2015",NA,NA
"6","choked_sandspit",6,4,2.47,7.8496,5.29,55.2,"2015",NA,NA
"7","choked_inner",2,9,21.35,11.6424,16.51,120.6,"2015",NA,NA
"8","choked_inner",1,5,7.41,8.7552,12.38,92.5,"2015",NA,NA
"9","choked_inner",3,4,3.67,4.99968,5.72,109.6,"2015",NA,NA
"10","choked_inner",4,7,14.75,9.688,16.94,140.7,"2015",NA,NA
"11","choked_inner",5,5,5.23,3.97664,NA,61,"2015",NA,NA
"12","choked_inner",6,6,10.54,6.310656,NA,58.8,"2015",NA,NA
"13","mcmullins_south",1,12,13.05,4.39488,17.32,432,"2015",NA,NA
"14","mcmullins_south",2,6,10.41,4.3363584,11.85,102.6,"2015",NA,NA
"15","mcmullins_south",3,10,8.23,22.4352,15.29,447,"2015",NA,NA
"16","mcmullins_south",4,8,11.27,4.32128,11.32,283.2,"2015",NA,NA
"17","mcmullins_south",5,12,14.11,6.500928,17.84,445.08,"2015",NA,NA
"18","mcmullins_south",6,14,1.07,25.14848,12.03,499.8,"2015",NA,NA
"19","mcmullins_north",1,15,15.04,10.1376,14.43,619.5,"2015",NA,NA
"20","mcmullins_north",2,10,11.46,5.599776,10.56,436,"2015",NA,NA
"21","mcmullins_north",3,9,0.133,2.8237248,12.86,356.4,"2015",NA,NA
"22","mcmullins_north",4,9,0.28,3.5424,8.44,319.5,"2015",NA,NA
"23","mcmullins_north",5,10,0.09,8.75136,NA,527,"2015",NA,NA
"24","mcmullins_north",6,12,0,9.096192,8.7,523.2,"2015",NA,NA
"25","goose_north",1,5,20.84,NA,6.53,NA,"2015",NA,NA
"26","goose_north",2,3,3.61,NA,6.64,NA,"2015",NA,NA
"27","goose_north",3,7,16.433,NA,4.86,NA,"2015",NA,NA
"28","goose_north",4,4,14.42,NA,6.59,NA,"2015",NA,NA
"29","goose_north",5,6,10.37,NA,8.03,NA,"2015",NA,NA
"30","goose_north",6,7,31.43,NA,15.86,NA,"2015",NA,NA
"31","pruth_bay",1,11,1.331,NA,1.89,NA,"2015",NA,NA
"32","pruth_bay",2,18,4.83,NA,3.7,NA,"2015",NA,NA
"33","pruth_bay",3,11,0,NA,1.3,NA,"2015",NA,NA
"34","pruth_bay",4,17,0,NA,2.84,NA,"2015",NA,NA
"35","pruth_bay",5,15,0,NA,0,NA,"2015",NA,NA
"36","pruth_bay",6,7,0,NA,1.65,NA,"2015",NA,NA
"37","pruth_pocket",1,6,3.05,NA,1.84,NA,"2015",NA,NA
"38","pruth_pocket",2,11,6.15,NA,6.39,NA,"2015",NA,NA
"39","pruth_pocket",3,11,1.33,NA,7.63,NA,"2015",NA,NA
"40","pruth_pocket",4,16,0.46,NA,4.23,NA,"2015",NA,NA
"41","pruth_pocket",5,9,6.05,NA,3.36,NA,"2015",NA,NA
"42","pruth_pocket",6,11,5.86,NA,4.44,NA,"2015",NA,NA
"43","triquet_south",1,7,1.98,7.924,8.65,203,"2015",NA,NA
"44","triquet_south",2,4,4.56,2.171328,3.28,118.4,"2015",NA,NA
