year,site,sample
2016,choked_inner,1
2016,choked_inner,2
2016,choked_inner,4
2016,choked_inner,5
2016,choked_inner,6
2016,choked_inner,9
2016,choked_sandspit,1
2016,choked_sandspit,2
2016,choked_sandspit,3
2016,choked_sandspit,4
2016,choked_sandspit,5
2016,choked_sandspit,9
2016,goose_south_west,2
2016,goose_south_west,3
2016,goose_south_west,4
2016,goose_south_west,7
2016,goose_south_west,8
2016,goose_south_west,9
2016,pruth_pocket,1
2016,pruth_pocket,2
2016,pruth_pocket,5
2016,pruth_pocket,6
2016,pruth_pocket,9
2016,triquet_north,1
2016,triquet_north,2
2016,triquet_north,3
2016,triquet_north,5
2016,triquet_north,7
2016,triquet_north,8
2016,triquet_south,2
2016,triquet_south,3
2016,triquet_south,4
2016,triquet_south,5
2016,triquet_south,6
2016,triquet_south,8
