date,site,lat,long,depth,do,salinity,temperature,pressure,par,fluorometry_chlorophyll,turbidity,chl_a,phaeo,nitrate_nitrite_ugL,phosphate_ugL,silicate_ugL,bed_area_m2,site.depth,ph
6/25/2015,choked interior,51.6762,-128.1223,4,8.83,30.82,11.31,14.54,129.04,1.45,0.73,0.08,2.30,8.46,0.88,18.83,340000,NA,NA
7/10/2015,sandspit,51.6782,-128.1147,4,7.96,31.43,10.29,14.85,246.00,1.84,0.60,0.08,3.58,14.23,1.30,25.90,340000,NA,NA
7/1/2015,goose southeast,51.92652,-128.45317,6,10.34,31.46,14.81,12.95,319.94,0.43,0.94,0.01,0.64,0.55,0.40,4.44,569520,NA,NA
7/1/2015,goose southwest,51.92279,-128.46453,6,9.50,31.17,13.83,16.05,254.67,1.26,1.26,NA,NA,NA,NA,NA,191076,NA,NA
6/27/2015,mcmullin north,52.06178,-128.41239,7,10.91,31.25,15.25,14.45,259.93,0.92,1.47,0.10,3.03,0.42,0.33,5.95,18500,NA,NA
6/27/2015,mcmullin south,52.05302,-128.40364,4,11.24,31.24,15.93,14.25,540.83,0.48,1.27,NA,NA,NA,NA,NA,16900,NA,NA
7/1/2015,triquet north,51.80888,-128.24746,5,11.13,30.96,13.93,14.78,170.32,1.53,0.79,NA,NA,NA,NA,NA,7400,NA,NA
7/1/2015,triquet bay,51.80869,-128.23586,5,11.18,30.91,14.68,12.32,88.10,0.98,0.83,0.03,0.88,0.82,0.23,2.30,33600,NA,NA
7/12/2015,pruth pocket,51.64555,-128.095333,7,NA,30.90,11.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/2016,choked interior,51.67525,-128.121,4,12.25,25.90,11.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA
6/28/2016,sandspit,51.6791,-128.1159333,0,11.03,25.80,11.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
6/30/2016,goose kelp,51.92213333,-128.4617833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
6/30/2016,goose southeast,51.92481667,-128.4540833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA
6/30/2016,goose southwest,51.92433333,-128.4650167,2,12.00,26.10,14.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
7/2/2016,triquet bay,51.80945,-128.2355667,4,8.28,30.10,13.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA
7/2/2016,triquet kelp,51.80486667,-128.2481,4,8.42,30.30,13.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.75,NA
7/2/2016,triquet north,51.80944167,-128.2465583,4,8.27,30.20,13.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA
7/6/2016,choked starfish,51.679,-128.125525,4,8.69,30.55,12.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA
7/6/2016,pruth pocket,51.6591,-128.1158833,4,7.85,30.30,11.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.35,NA
7/6/2016,wolf,51.67205833,-128.1176417,4,8.08,30.60,12.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35,NA
7/8/2016,maye kelp,51.66433333,-128.0938167,4,8.84,27.10,14.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,NA
7/8/2016,pruth bay,51.64684167,-128.119475,4,8.46,26.10,14.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,NA
7/8/2016,west beach kelp,51.64939167,-128.1517167,4,8.28,30.10,13.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA
7/1/2017,sandspit,NA,NA,7,NA,30.53,11.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.23
7/1/2017,wolf,NA,NA,7,NA,30.72,11.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2
7/2/2017,pruth pocket,NA,NA,6,NA,29.97,10.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4
7/1/2017,pruth bay,NA,NA,3,NA,29.29,13.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.35
7/4/2017,choked interior,NA,NA,6,NA,30.53,11.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21
6/29/2017,triquet bay,NA,NA,2,NA,30.33,12.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22
6/29/2017,triquet north,NA,NA,6,NA,30.61,12.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2
6/22/2018,pruth bay,NA,NA,2.5,NA,29.40,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,8.21
6/23/2018,sandspit,NA,NA,4,NA,30.83,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.05
6/27/2018,choked interior,NA,NA,5,NA,31.84,11.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.02
6/28/2018,pruth pocket,NA,NA,4,NA,29.80,13.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.15
7/1/2018,triquet north,NA,NA,7,NA,30.78,13.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8.14
7/1/2018,triquet bay,NA,NA,2,NA,30.53,13.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA
