query,Class,Family,Genus,Infraclass,Infraorder,Kingdom,Order,Parvorder,Phylum,Section,Species,Subclass,Subfamily,Suborder,Subphylum,Subsection,Subterclass,Superclass,Superfamily,Superorder,Tribe
Actiniidae,Anthozoa,Actiniidae,NA,NA,NA,Animalia,Actiniaria,NA,Cnidaria,NA,NA,Hexacorallia,NA,Enthemonae,NA,NA,NA,NA,Actinioidea,NA,NA
Alia carinata,Gastropoda,Columbellidae,Alia,NA,NA,Animalia,Neogastropoda,NA,Mollusca,NA,Alia carinata,Caenogastropoda,NA,NA,NA,NA,NA,NA,Buccinoidea,NA,NA
Alvania compacta,Gastropoda,Rissoidae,Alvania,NA,NA,Animalia,Littorinimorpha,NA,Mollusca,NA,Alvania compacta,Caenogastropoda,NA,NA,NA,NA,NA,NA,Rissooidea,NA,NA
Amphipholis pugetana,Ophiuroidea,Amphiuridae,Amphipholis,Metophiurida,NA,Animalia,Amphilepidida,NA,Echinodermata,NA,Amphipholis pugetana,Myophiuroidea,NA,Gnathophiurina,Asterozoa,NA,NA,NA,Amphiuroidea,Ophintegrida,NA
Amphissa columbiana,Gastropoda,Columbellidae,Amphissa,NA,NA,Animalia,Neogastropoda,NA,Mollusca,NA,Amphissa columbiana,Caenogastropoda,NA,NA,NA,NA,NA,NA,Buccinoidea,NA,NA
Ampithoe lacertosa,Malacostraca,Ampithoidae,Ampithoe,NA,Corophiida,Animalia,Amphipoda,Corophiidira,Arthropoda,NA,Ampithoe lacertosa,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Corophioidea,Peracarida,NA
Ampithoe p,Malacostraca,Ampithoidae,Ampithoe,NA,Corophiida,Animalia,Amphipoda,Corophiidira,Arthropoda,NA,Ampithoe plumulosa,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Corophioidea,Peracarida,NA
Ampithoidae,Malacostraca,Ampithoidae,NA,NA,Corophiida,Animalia,Amphipoda,Corophiidira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Corophioidea,Peracarida,NA
Aoroides,Malacostraca,Aoridae,Aoroides,NA,Corophiida,Animalia,Amphipoda,Corophiidira,Arthropoda,NA,Aoroides inermis,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Aoroidea,Peracarida,NA
Ascidiacea,Ascidiacea,NA,NA,NA,NA,Animalia,NA,NA,Chordata,NA,NA,NA,NA,NA,Tunicata,NA,NA,NA,NA,NA,NA
Asteroidea,Asteroidea,NA,NA,NA,NA,Animalia,NA,NA,Echinodermata,NA,NA,NA,NA,NA,Asterozoa,NA,NA,NA,NA,NA,NA
Balanus,Hexanauplia,Balanidae,Balanus,Cirripedia,NA,Animalia,Sessilia,NA,Arthropoda,NA,NA,Thecostraca,Balaninae,Balanomorpha,Crustacea,NA,NA,Multicrustacea,Balanoidea,Thoracica,NA
Bittium,Gastropoda,Cerithiidae,Bittium,NA,NA,Animalia,[unassigned] Caenogastropoda,NA,Mollusca,NA,NA,Caenogastropoda,Bittiinae,NA,NA,NA,NA,NA,Cerithioidea,NA,NA
Bivalvia,Bivalvia,NA,NA,NA,NA,Animalia,NA,NA,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calliostoma,Gastropoda,Calliostomatidae,Calliostoma,NA,NA,Animalia,Trochida,NA,Mollusca,NA,NA,Vetigastropoda,Calliostomatinae,NA,NA,NA,NA,NA,Trochoidea,NA,NA
Capitellidae,Polychaeta,Capitellidae,NA,Scolecida,NA,Animalia,NA,NA,Annelida,NA,NA,Sedentaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caprella,Malacostraca,Caprellidae,Caprella,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,Caprellinae,Senticaudata,Crustacea,NA,NA,Multicrustacea,Caprelloidea,Peracarida,NA
Caprella californica,Malacostraca,Caprellidae,Caprella,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,Caprella californica,Eumalacostraca,Caprellinae,Senticaudata,Crustacea,NA,NA,Multicrustacea,Caprelloidea,Peracarida,NA
Caprella laeviuscula,Malacostraca,Caprellidae,Caprella,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,Caprella laeviuscula,Eumalacostraca,Caprellinae,Senticaudata,Crustacea,NA,NA,Multicrustacea,Caprelloidea,Peracarida,NA
Cerithiidae,Gastropoda,Cerithiidae,NA,NA,NA,Animalia,[unassigned] Caenogastropoda,NA,Mollusca,NA,NA,Caenogastropoda,NA,NA,NA,NA,NA,NA,Cerithioidea,NA,NA
Colus,Gastropoda,Buccinidae,Colus,NA,NA,Animalia,Neogastropoda,NA,Mollusca,NA,NA,Caenogastropoda,NA,NA,NA,NA,NA,NA,Buccinoidea,NA,NA
Corophiidae,Malacostraca,Corophiidae,NA,NA,Corophiida,Animalia,Amphipoda,Corophiidira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Corophioidea,Peracarida,NA
Decapoda,Malacostraca,NA,NA,NA,NA,Animalia,Decapoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,NA,Crustacea,NA,NA,Multicrustacea,NA,Eucarida,NA
Diadumene,Anthozoa,Diadumenidae,Diadumene,NA,NA,Animalia,Actiniaria,NA,Cnidaria,NA,NA,Hexacorallia,NA,Enthemonae,NA,NA,NA,NA,Metridioidea,NA,NA
Echinoidea,Echinoidea,NA,NA,NA,NA,Animalia,NA,NA,Echinodermata,NA,NA,NA,NA,NA,Echinozoa,NA,NA,NA,NA,NA,NA
Enteropneusta,Enteropneusta,NA,NA,NA,NA,Animalia,NA,NA,Hemichordata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eogammarus confervicolus,Malacostraca,Anisogammaridae,Eogammarus,NA,Gammarida,Animalia,Amphipoda,Gammaridira,Arthropoda,NA,Eogammarus confervicolus,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Gammaroidea,Peracarida,NA
Epiactis,Anthozoa,Actiniidae,Epiactis,NA,NA,Animalia,Actiniaria,NA,Cnidaria,NA,NA,Hexacorallia,NA,Enthemonae,NA,NA,NA,NA,Actinioidea,NA,NA
Ericthonius,Malacostraca,Ischyroceridae,Ericthonius,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,Ischyrocerinae,Senticaudata,Crustacea,NA,NA,Multicrustacea,Photoidea,Peracarida,Ericthonini
Eulalia,Polychaeta,Phyllodocidae,Eulalia,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,Eteoninae,Phyllodociformia,NA,NA,NA,NA,NA,NA,NA
Gammaropsis,Malacostraca,Photidae,Gammaropsis,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Photoidea,Peracarida,NA
Glyceridae,Polychaeta,Glyceridae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Glyceriformia,NA,NA,NA,NA,NA,NA,NA
Halacaridae,Arachnida,Halacaridae,NA,NA,NA,Animalia,Trombidiformes,NA,Arthropoda,NA,NA,Acari,NA,Prostigmata,Chelicerata,NA,NA,NA,Halacaroidea,Acariformes,NA
Haminoea,Gastropoda,Haminoeidae,Haminoea,Euthyneura,NA,Animalia,Cephalaspidea,NA,Mollusca,NA,NA,Heterobranchia,NA,NA,NA,NA,Tectipleura,NA,Haminoeoidea,NA,NA
Harpacticoida,Hexanauplia,NA,NA,Neocopepoda,NA,Animalia,Harpacticoida,NA,Arthropoda,NA,NA,Copepoda,NA,NA,Crustacea,NA,NA,Multicrustacea,NA,Podoplea,NA
Heptacarpus,Malacostraca,Thoridae,Heptacarpus,NA,Caridea,Animalia,Decapoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Pleocyemata,Crustacea,NA,NA,Multicrustacea,Alpheoidea,Eucarida,NA
Hesionidae,Polychaeta,Hesionidae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA
Hyalidae,Malacostraca,Hyalidae,NA,NA,Talitrida,Animalia,Amphipoda,Talitridira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Hyaloidea,Peracarida,NA
Idoteidae,Malacostraca,Idoteidae,NA,NA,NA,Animalia,Isopoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Valvifera,Crustacea,NA,NA,Multicrustacea,NA,Peracarida,NA
