taxon,taxon2,taxon3,taxon4,notes,sessile,flag,remove
Actiniidae,Actiniidae,Actiniidae,Cnidaria,anemone catch-all,1,,
Alia.carinata,Alia.carinata,Alia.carinata,Buccinoidea,,,,
Alvania.compacta,Alvania.compacta,Alvania.compacta,Rissoidae,,,,
Americorphium,Americorphium,Corophiidae,Corophiidae,,,,
Amphipholis.pugetana,Amphipholis.pugetana,Ophiuroidea,Ophiuroidea,,,,
Amphissa,Amphissa.columbiana,Amphissa.columbiana,Buccinoidea,,,,
Amphissa.columbiana,Amphissa.columbiana,Amphissa.columbiana,Buccinoidea,,,,
Amphitoidae,Ampithoidae,Ampithoidae,Gammaridean,,,,
Amphiuridae,Ophiuroidea,Ophiuroidea,Ophiuroidea,brittle star catch-all,,,
Ampithoe.lacertosa,Ampithoe.lacertosa,Ampithoidae,Gammaridean,,,,
Ampithoe.sectimanus,Ampithoe.sectimanus,Ampithoidae,Gammaridean,,,,
Ampithoe.spp.,Ampithoe.spp.,Ampithoidae,Gammaridean,,,,
Ampithoidae,Ampithoidae,Ampithoidae,Gammaridean,,,,
Anoplodactylus,Pycnogonida,Asteroidea,Asteroidea,,,,
Anthuridae,Paranthura,Paranthura,Isopoda,,,,
Aoridae,Aoroides,Aoroides,Gammaridean,,,,
Aoroides,Aoroides,Aoroides,Gammaridean,,,,
Aoroides.intermedia,Aoroides,Aoroides,Gammaridean,,,,
Aoroides.spp.,Aoroides,Aoroides,Gammaridean,,,,
Ascidiacea,Ascidiacea,Ascidiacea,Ascidiacea,tunicate catch-all,1,,
Axiothella,Maldanidae,Maldanidae,Scolecida,likely to be infauna,,,1
Balanus.crenatus,Balanus,Balanus,Balanidae,,1,,
Balanus.sp.,Balanus,Balanus,Balanidae,,1,,
Bittium.eschrichtii,Bittium,Cerithiidae,Cerithioidea,,,,
Bivalvia,Bivalvia,Bivalvia,Bivalvia,very coarse,,,
Calliostoma.sp.,Calliostoma,Calliostoma,Trochoidea,,,,
Capitella.capitata,Capitellidae,Capitellidae,Scolecida,,,,
Caprella,Caprella,Caprellidae,Caprellidae,,,,
Caprella.californica,Caprella.californica,Caprellidae,Caprellidae,,,,
Caprella.laeviuscula,Caprella.laeviuscula,Caprellidae,Caprellidae,,,,
Caprella.mutica,Metacaprella.kennerlyi,Caprellidae,Caprellidae,revisted by Felipe and Whalen on 20190725,,,
Cerithiidae,Cerithiidae,Cerithiidae,Cerithioidea,,,,
Chrysopetalidae,Paleanotus.bellis,Paleanotus.bellis,Phyllodocida,just one species as far as we know,,,
Cirolana.harfordi,Sphaeromatidae,Sphaeromatidae,Isopoda,probably wrong,,1,
Colus.sp.,Colus,Colus,Buccinoidea,,,,
Corophiidae,Corophiidae,Corophiidae,Corophiidae,catch-all,,,
Cumacea,Cumacea,Cumacea,Cumacea,likely to be infauna,,,1
Cymadusa.uncinata,Ampithoidae,Ampithoidae,Gammaridean,"likely wrong, although seen in Puget Sound",,,
Decapoda,Decapoda,Decapoda,Decapoda,probably a small crab,,1,
Dinophilidae,,,,"doubtful, ignore",,,1
eggs,,,,,,,1
Empty.polychaete.tubes,,,,,,,1
Enteropneusta,Enteropneusta,Enteropneusta,Enteropneusta,doubtful ID,,,
Eogammarus.confervicolus,Eogammarus.confervicolus,Gammaropsis-like,Gammaridean,"could be but also could be Gammaropsis, pretty easy to confuse",,,
Epitoniidae,Epitoniidae,Epitoniidae,,doubtful,,,1
Ericthonius,Ericthonius,Ericthonius,Gammaridean,,,,
Ericthonius.rubricornis,Ericthonius,Ericthonius,Gammaridean,,,,
Eulalia,Eulalia,Phyllodocidae,Phyllodocida,,,,
Eusiroidea,Pontogeneia,Pontogeneia,Gammaridean,"hard to tell many of these apart, but likely to be this genus",,,
Exogone,Syllidae,Syllidae,Phyllodocida,difficult genus,,,
Exogone.sp.,Syllidae,Syllidae,Phyllodocida,difficult genus,,,
Fluff,,,,,,,1
foil,,,,,,,1
Foraminifera,,,,,,,1
Gammaidean.Amphipod...1mm.,Gammaridean,Gammaridean,Gammaridean,"too coarse, but this is THE level from 2015",,1,
Gammaridea,Gammaridean,Gammaridean,Gammaridean,"too coarse, but this is THE level from 2016,2017",,1,
Gammaropsis,Gammaropsis,Gammaropsis-like,Gammaridean,,,,
Gammaropsis.barnardi,Gammaropsis,Gammaropsis-like,Gammaridean,,,,
Gammaropsis.thomsoni,Gammaropsis,Gammaropsis-like,Gammaridean,,,,
Gastropoda,Gastropoda,Gastropoda,Gastropoda,"very coarse, revisit this",,,1
Gymnolaemata,Bryozoa,Bryozoa,Bryozoa,"sessile, ignore",1,,1
Halacaridae,Halacaridae,Halacaridae,Halacaridae,mite,,,
Haliclystidae,Stauromedusae,Stauromedusae,Cnidaria,"stalked jelly, should be treated same as actiniids",1,,
Haminoaea.sp.,Haminoea,Haminoea,Haminoea,,,,
Harpacticoid.copepod..multiple.species.,Harpacticoida,Harpacticoida,Harpacticoida,,,,
Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida,,,,
Hemipodia,Glyceridae,Glyceridae,Phyllodocida,,,,
Heptacarpus.sp.,Heptacarpus,Heptacarpus,Decapoda,,,,
Hesionidae,Hesionidae,Hesionidae,Phyllodocida,,,,
Hesionura.coineaui.difficilis,Phyllodocidae,Phyllodocidae,Phyllodocida,,,,
Heterophoxus,Heterophoxus,Lysianassoidea,Gammaridean,could be lyssianasid,,,1
Hyalellidae,Hyalellidae,Hyaloidea,Gammaridean,hard to distinguish Hyalellidae from Hyalidae,,,
Hyalidae,Hyalidae,Hyaloidea,Gammaridean,hard to distinguish Hyalellidae from Hyalidae,,,
Idotea,Pentidotea,Idoteidae,Isopoda,not clear we can tell these apart reliably,,,
Idotea.montereynensis,Pentidotea,Idoteidae,Isopoda,,,,
Idotea.resecata,Pentidotea,Idoteidae,Isopoda,,,,
Idoteidae,Idoteidae,Idoteidae,Isopoda,,,,
Isaeidae,Isaeidae,Isaeidae,Gammaridean,,,,
Ischyroceridae,Ischyrocerus,Ischyroceridae,Gammaridean,,,,
Ischyrocerus,Ischyrocerus,Ischyroceridae,Gammaridean,,,,
Ischyrocerus.anguipes,Ischyrocerus,Ischyroceridae,Gammaridean,,,,
Isopoda,Isopoda,Isopoda,Isopoda,"very coarse, revisit this",,1,
Janua.pagastecheri,Spirorbinae,Spirorbinae,Sabellida,potentially multiple species; sessile,1,,1
Lacuna,Lacuna,Lacuna,Littorinoidea,,,,
Lacuna.spp..Eggs,,,,,,,1
Lacuna.variegata,Lacuna.variegata,Lacuna,Littorinoidea,,,,
Lacuna.vincta,Lacuna.vincta,Lacuna,Littorinoidea,,,,
larvae,,,,unclear what this refers to,,,1
Lepasterias.hexactis,Lepasterias.hexactis,Asteroidea,Asteroidea,"seems doubtful, but okay",,,
Lepidepecreum.sp.,Lepidepecreum,Lysianassoidea,Gammaridean,,,,1
Leptochelia,Leptochelia,Leptochelia,Tanaidacea,few species if more than one,,,
Leptochelia.dubia,Leptochelia.dubia,Leptochelia,Tanaidacea,few species if more than one,,,
