region,site,lat,long,depth..m..chart.datum.,bed_area_m2,date,year,depth,salinity,temperature,ph,X,quadrat_id,quadrat_shoot_density,quadrat_macroalgae_g,quadrat_lai,quadrat_biomass_g,quadrat_microepiphyte_mg,quadrat_detritus_g,quadrat,quadrat_year
choked,choked_inner,51.675,-128.119,4.6,354580,2015-06-25,2015,4,30.82,11.31,NA,7,2,9,21.35,11.6424,16.51,120.6,NA,choked_inner_2,choked_inner_2_2015
choked,choked_inner,51.675,-128.119,4.6,354580,2015-06-25,2015,4,30.82,11.31,NA,8,1,5,7.41,8.7552,12.38,92.5,NA,choked_inner_1,choked_inner_1_2015
choked,choked_inner,51.675,-128.119,4.6,354580,2015-06-25,2015,4,30.82,11.31,NA,9,3,4,3.67,4.99968,5.72,109.6,NA,choked_inner_3,choked_inner_3_2015
choked,choked_inner,51.675,-128.119,4.6,354580,2015-06-25,2015,4,30.82,11.31,NA,10,4,7,14.75,9.688,16.94,140.7,NA,choked_inner_4,choked_inner_4_2015
choked,choked_inner,51.675,-128.119,4.6,354580,2015-06-25,2015,4,30.82,11.31,NA,11,5,5,5.23,3.97664,NA,61,NA,choked_inner_5,choked_inner_5_2015
choked,choked_inner,51.675,-128.119,4.6,354580,2015-06-25,2015,4,30.82,11.31,NA,12,6,6,10.54,6.310656,NA,58.8,NA,choked_inner_6,choked_inner_6_2015
choked,choked_sandspit,51.678,-128.115,1.06,354580,2015-07-10,2015,4,31.43,10.29,NA,1,1,10,2.17,13.23008,13.82,182,NA,choked_sandspit_1,choked_sandspit_1_2015
choked,choked_sandspit,51.678,-128.115,1.06,354580,2015-07-10,2015,4,31.43,10.29,NA,2,2,4,2.15,6.2976,7.1,66,NA,choked_sandspit_2,choked_sandspit_2_2015
choked,choked_sandspit,51.678,-128.115,1.06,354580,2015-07-10,2015,4,31.43,10.29,NA,3,3,7,3.71,11.1174336,9.42,183.4,NA,choked_sandspit_3,choked_sandspit_3_2015
choked,choked_sandspit,51.678,-128.115,1.06,354580,2015-07-10,2015,4,31.43,10.29,NA,4,4,4,0.9,4.217088,4.78,63.2,NA,choked_sandspit_4,choked_sandspit_4_2015
choked,choked_sandspit,51.678,-128.115,1.06,354580,2015-07-10,2015,4,31.43,10.29,NA,5,5,6,3.2,18.27504,6.97,124.2,NA,choked_sandspit_5,choked_sandspit_5_2015
choked,choked_sandspit,51.678,-128.115,1.06,354580,2015-07-10,2015,4,31.43,10.29,NA,6,6,4,2.47,7.8496,5.29,55.2,NA,choked_sandspit_6,choked_sandspit_6_2015
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2015,NA,NA,NA,NA,66,1,7,1.48,NA,17.9,NA,NA,choked_wolf_1,choked_wolf_1_2015
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2015,NA,NA,NA,NA,67,2,5,0.96,NA,8.81,NA,NA,choked_wolf_2,choked_wolf_2_2015
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2015,NA,NA,NA,NA,68,3,6,1.2,NA,13.28,NA,NA,choked_wolf_3,choked_wolf_3_2015
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2015,NA,NA,NA,NA,69,4,5,1.95,NA,14.47,NA,NA,choked_wolf_4,choked_wolf_4_2015
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2015,NA,NA,NA,NA,70,5,4,0.44,NA,8.26,NA,NA,choked_wolf_5,choked_wolf_5_2015
choked,choked_wolf,51.668,-128.119,2.58,354580,NA,2015,NA,NA,NA,NA,71,6,3,1.01,NA,7.69,NA,NA,choked_wolf_6,choked_wolf_6_2015
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2015-07-01,2015,5,30.96,13.93,NA,61,1,2,0.26,0.86016,3.36,24,NA,triquet_north_1,triquet_north_1_2015
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2015-07-01,2015,5,30.96,13.93,NA,62,2,5,0.47,4.74624,3.46,138,NA,triquet_north_2,triquet_north_2_2015
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2015-07-01,2015,5,30.96,13.93,NA,63,3,5,4.87,2.0232,7.2,150.5,NA,triquet_north_3,triquet_north_3_2015
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2015-07-01,2015,5,30.96,13.93,NA,64,4,2,2.37,1.5872,1.24,77.6,NA,triquet_north_4,triquet_north_4_2015
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2015-07-01,2015,5,30.96,13.93,NA,65,5,4,2.52,1.662976,3.01,29.6,NA,triquet_north_5,triquet_north_5_2015
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2015-07-01,2015,5,30.91,14.68,NA,43,1,7,1.98,7.924,8.65,203,NA,triquet_south_1,triquet_south_1_2015
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2015-07-01,2015,5,30.91,14.68,NA,44,2,4,4.56,2.171328,3.28,118.4,NA,triquet_south_2,triquet_south_2_2015
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2015-07-01,2015,5,30.91,14.68,NA,45,3,6,1.54,4.600512,8.12,177.6,NA,triquet_south_3,triquet_south_3_2015
