Original,Modified,Notes,flag,remove
,,,,1
Actiniidae,Actiniidae,sea anemone catch-all,,
Alia carinata,Alia carinata,,,
Alvania compacta,Alvania compacta,,,
Americorphium,Americorphium,,,
Amphipholis pugetana,Ophiuroidea,,,
Amphissa,Amphissa columbiana,,,
Amphissa columbiana,Amphissa columbiana,,,
Amphitoidae,Amphitoidae,,,
Amphiuridae,Amphiuridae,brittle star catch-all,,
Ampithoe lacertosa,Amphitoidae,,,
Ampithoe sectimanus,Amphitoidae,,,
Ampithoe spp,Amphitoidae,,,
Ampithoidae,Amphitoidae,,,
Anoplodactylus,Pycnogonida,,,
Anthuridae,Anthuridae,,,
Aoridae,Aoroides,,,
Aoroides,Aoroides,,,
Aoroides intermedia,Aoroides,,,
Aoroides spp,Aoroides,,,
Ascidiacea,Ascidiacea,tunicate catch-all,,
Axiothella,Maldanidae,,,
Balanus crenatus,Balanus,,,
Balanus sp,Balanus,,,
Bittium eschrichtii,Cerithiidae,,1,
Bivalvia,Bivalvia,very coarse resolution,1,
Calliostoma sp,Callistoma,,,
Capitella capitata,Capitellidae,,1,
Caprella,Caprella,,,
Caprella californica,Caprella californica,,,
Caprella laeviuscula,Caprella laeviuscula,,,
Caprella mutica,Caprella ?mutica,are we sure this is mutica? Could be Caprella kennerlyi,1,
Cerithiidae,Cerithiidae,,,
Chrysopetalidae,Paleonotus bellis,pretty sure just one species,,
Cirolana harfordi,Cirolana harfordi,likely wrong family,1,
Colus sp,Colus,,,
Corophiidae,Corophiidae,"catch-all....likely Monocorophium, but Americorophium also present",,
Cumacea,Cumacea,,,
Cymadusa uncinata,Ampithoidae,some evidence of this species from Puget Sound,,
Decapoda,Decapoda,probably a small crab,1,
Dinophilidae,Polychaeta,"doubtful, could be anything",1,
eggs,,,,1
Empty polychaete tubes,,,,1
Enteropneusta,Enteropneusta,,,
Eogammarus confervicolus,Eogammarus confervicolus,Gammaropsis?,1,
Epitoniidae,Epitoniidae,,,
Ericthonius,Ericthonius,,,
Ericthonius rubricornis,Ericthonius,,,
Eulalia,Eulalia,,,
Eusiroidea,Pontogeneia,could be Pontegeneia,,
Exogone,Syllidae,difficult genus,,
Exogone sp,Syllidae,difficult genus,,
Fluff,,,,1
foil,,,,1
Foraminifera,,,,1
Gammaidean Amphipod  1mm,Gammaridean,"too coarse, but this is THE level from 2015",1,
Gammaridea,Gammaridean,"too coarse, but this is THE level from 2016,2017",1,
Gammaropsis,Gammaropsis,,,
Gammaropsis barnardi,Gammaropsis,,,
Gammaropsis thomsoni,Gammaropsis,,,
Gastropoda,Gastropoda,very coarse resolution,1,
Gymnolaemata,Gymnolaemata,,,
Halacaridae,Halacaridae,,,
Haliclystidae,Stauromedusae,,,
Haminoaea sp,Haminoaea,,,
Harpacticoid copepod multiple species,Harpacticoida,,,
Harpacticoida,Harpacticoida,,,
Hemipodia,Glyceridae,,,
Heptacarpus sp,Heptacarpus,,,
Hesionidae,Hesionidae,,,
Hesionura coineaui difficilis,Phyllodocidae,,,
Heterophoxus,Heterophoxus,could be Lyssianasidae,,
Hyalellidae,Hyalellidae,,,
Hyalidae,Hyalidae,,,
Idotea,Idoteidae,,,
Idotea montereynensis,Idoteidae,,,
Idotea resecata,Idoteidae,,,
Idoteidae,Idoteidae,,,
Isaeidae,Isaeidae,,,
Ischyroceridae,Ischyroceridae,,,
Ischyrocerus,Ischyroceridae,,,
Ischyrocerus anguipes,Ischyroceridae,,,
Isopoda,Isopoda,,,
Janua pagastecheri,Spirorbinae,"Could be accurate, but easy to misapply",1,
Lacuna,Lacuna,,,
Lacuna spp Eggs,,,,1
Lacuna variegata,Lacuna,,,
Lacuna vincta,Lacuna,,,
larvae,,,,1
Lepasterias hexactis,Lepasterias hexactis,doubtful,1,
Lepidepecreum sp,Lepidepecreum,,,
Leptochelia,Leptochelia,,,
Leptochelia dubia,Leptochelia,,,
Lirularia,Lirularia,,,
Lirularia lirulata,Lirularia,,,
Littorinidae,Littorinidae,,,
Littorinimorpha,Littorinidae,this is a huge group,1,
Lottia alveus,Lottia alveus,,,
Lottia alveus paralella,Lottia alveus,,,
Lottidae,Lottidae,,,
Lumbrineridae,Lumbrineridae,,,
Margarites helicinus,Margarites helicinus,could be confused with Lirularia,,
Margarites pupillus,Margarites pupillus,could be confused with Lirularia,,
Metacarcinus magister,Metacarcinus magister,,,
microfiber,,,,1
Micronereis,Micronereis nanaimoensis,,,
microplastic,,,,1
Monocorophium,Monocorophium,,,
Monocorophium acherusicum,Monocorophium,,,
Munnidae,Munnidae,,,
Mytilidae,Mytilus,,1,
Mytilus trossulus,Mytilus,,1,
Nassarius mendicus,Nassarius mendicus,could be confused with Amphissa columbiana,1,
Nematoda,Nematoda,,,
Nematode,Nematoda,,,
Neogastropoda,Gastropoda,very coarse resolution,1,
Nereididae,Platynereis bicanaliculata,probably Platynerereis,1,
Nereis sp,Platynereis bicanaliculata,probably Platynerereis,,
Nudibranchia,Nudibranchia,,,
Nutricola sp,Veneridae,,,
Ophiuroidea,Ophiuroidea,brittle star catch-all,,
Ostracoda,Ostracoda,,,
Paguridae,Paguridae,,,
Pagurus,Paguridae,,,
Pagurus quaylei,Paguridae,,,
Paracerceis cordata,Sphaeromatidae,prob not this species,1,
Paramoera,Pontogeneiidae,,,
Pectinidae,Pectinidae,,,
Pentidotea,Idoteidae,,,
Pentidotea wosnesenskii,Idoteidae,how common is this?,1,
Peramphithoe,Ampithoidae,,,
Pholoe tuberculata,Pholoidae,could be Chrysopatelidae,,
Pholoidae,Pholoidae,could be Chrysopatelidae,,
Photis,Photis,,,
Photis brevipes,Photis,,,
Phyllaplysia taylori,Phyllaplysia taylori,,,
Phyllodoce,Phyllodocidae,,,
Phyllodocida,Phyllodocidae,,,
Phyllodocidae,Phyllodocidae,,,
Pilargidae,Pilargidae,could be Syllidae,,
Platynereis,Platynereis bicanaliculata,,,
Platynereis bicanaliculata,Platynereis bicanaliculata,,,
Pleocyemata,,likely a shrimp of some kind,1,
Pleustidae,Pleustidae,,,
Podarkeopsis glabrus,Hesionidae,,,
Podoceridae,Podocerus,,,
