year,sample
2016,choked_inner_1
2016,choked_inner_2
2016,choked_inner_4
2016,choked_inner_5
2016,choked_inner_6
2016,choked_inner_9
2016,choked_sandspit_1
2016,choked_sandspit_2
2016,choked_sandspit_3
2016,choked_sandspit_4
2016,choked_sandspit_5
2016,choked_sandspit_9
2016,goose_south_west_2
2016,goose_south_west_3
2016,goose_south_west_4
2016,goose_south_west_7
2016,goose_south_west_8
2016,goose_south_west_9
2016,pruth_pocket_1
2016,pruth_pocket_2
2016,pruth_pocket_5
2016,pruth_pocket_6
2016,pruth_pocket_9
2016,triquet_north_1
2016,triquet_north_2
2016,triquet_north_3
2016,triquet_north_5
2016,triquet_north_7
2016,triquet_north_8
2016,triquet_south_2
2016,triquet_south_3
2016,triquet_south_4
2016,triquet_south_5
2016,triquet_south_6
2016,triquet_south_8
