chkd___4,chkd___7,chkd_s_6,chkd_s_1,chkd_s_3,chkd_s_2,chkd_s_9,chkd_s_7,gs_sth_s_4,gs_sth_s_3,gs_sth_s_2,gs_sth_s_1,gs_sth_s_5,gs_st__8,gs_sth_s_9,gs_sth_s_7,gs_sth_w_5,gs_sth_w_4,gs_sth_w_7,gs_st__6,gs_sth_w_3,gs_sth_w_1,gs_sth_w_2,gs_sth_w_9,prth_b_1,prth_b_2,prth_b_3,prth_b_4,prth_b_8,prth_b_6,prth_b_5,prth_b_7,prth_p_5,prth_p_9,prth_p_3,prth_p_7,prth_p_1,prth_p_4,prth_p_2,trqt_n_2,trqt_n_8,trqt_n_9,trqt_n_6,trqt_n_1,trqt_n_4,trqt_n_5,trqt_n_3,trqt_s_2,trqt_s_4,trqt_s_8,trqt_s_9,trqt_s_5,trqt_s_6,trqt_s_1,trqt_s_3
0,0.183,0.592,0.602,0.535,0.723,0.921,0.327,0.909,0.834,0.922,0.953,0.947,0.952,0.947,0.935,0.961,0.955,0.94,0.953,0.96,0.955,0.952,0.922,0.876,0.962,0.709,0.707,0.811,0.768,0.793,0.821,0.908,0.802,0.801,0.954,0.785,0.867,0.883,0.962,0.894,0.92,0.966,0.965,0.965,0.974,0.81,0.956,0.963,0.953,0.955,0.964,0.99,0.964,0.978
0.183,0,0.59,0.653,0.533,0.736,0.933,0.308,0.876,0.806,0.909,0.92,0.919,0.912,0.915,0.905,0.927,0.926,0.914,0.963,0.927,0.926,0.918,0.883,0.833,0.959,0.678,0.679,0.749,0.724,0.747,0.786,0.917,0.817,0.839,0.957,0.818,0.874,0.888,0.96,0.868,0.899,0.966,0.925,0.934,0.974,0.781,0.916,0.925,0.921,0.956,0.925,0.99,0.942,0.978
0.592,0.59,0,0.681,0.464,0.515,0.54,0.5,0.936,0.913,0.941,0.979,0.972,0.969,0.968,0.959,0.98,0.979,0.965,0.977,0.978,0.978,0.972,0.938,0.906,0.965,0.857,0.846,0.895,0.886,0.864,0.878,0.916,0.853,0.869,0.957,0.852,0.886,0.91,0.977,0.905,0.934,0.969,0.979,0.98,0.98,0.834,0.97,0.978,0.968,0.98,0.979,0.99,0.979,0.979
0.602,0.653,0.681,0,0.718,0.747,0.907,0.646,0.957,0.943,0.952,0.985,0.983,0.982,0.982,0.971,0.994,0.993,0.969,0.991,0.987,0.992,0.978,0.943,0.95,0.969,0.933,0.922,0.933,0.939,0.921,0.935,0.932,0.925,0.925,0.956,0.932,0.932,0.944,0.99,0.924,0.956,0.983,0.994,0.994,0.991,0.847,0.986,0.992,0.982,0.994,0.993,0.994,0.993,0.993
0.535,0.533,0.464,0.718,0,0.534,0.655,0.475,0.903,0.918,0.951,0.961,0.959,0.949,0.951,0.942,0.962,0.962,0.955,0.963,0.96,0.963,0.961,0.942,0.911,0.965,0.916,0.909,0.91,0.903,0.89,0.905,0.942,0.929,0.912,0.962,0.914,0.932,0.945,0.966,0.899,0.924,0.969,0.962,0.963,0.974,0.829,0.953,0.959,0.948,0.962,0.96,0.99,0.96,0.978
0.723,0.736,0.515,0.747,0.534,0,0.581,0.641,0.939,0.943,0.95,0.96,0.955,0.948,0.95,0.945,0.962,0.961,0.953,0.959,0.96,0.961,0.957,0.947,0.944,0.952,0.94,0.941,0.946,0.941,0.944,0.962,0.952,0.956,0.943,0.951,0.954,0.96,0.97,0.959,0.893,0.926,0.951,0.962,0.962,0.962,0.843,0.954,0.96,0.95,0.961,0.961,0.971,0.961,0.961
0.921,0.933,0.54,0.907,0.655,0.581,0,0.847,0.987,0.987,0.987,0.992,0.992,0.992,0.992,0.989,0.992,0.99,0.985,0.992,0.987,0.991,0.985,0.973,0.991,0.988,0.989,0.976,0.987,0.982,0.987,0.973,0.992,0.987,0.99,0.99,0.99,0.992,0.991,0.978,0.992,0.958,0.992,0.992,0.992,0.967,0.991,0.992,0.992,0.977,0.984,0.992,0.967,0.992,0.986
0.327,0.308,0.5,0.646,0.475,0.641,0.847,0,0.942,0.913,0.934,0.974,0.972,0.97,0.971,0.959,0.982,0.983,0.964,0.98,0.982,0.98,0.973,0.941,0.921,0.965,0.885,0.877,0.895,0.899,0.878,0.901,0.914,0.879,0.888,0.957,0.879,0.896,0.918,0.98,0.909,0.943,0.972,0.983,0.983,0.98,0.835,0.973,0.981,0.971,0.983,0.982,0.99,0.982,0.982
0.909,0.876,0.936,0.957,0.903,0.939,0.987,0.942,0,0.527,0.809,0.479,0.631,0.488,0.702,0.439,0.725,0.641,0.573,0.877,0.763,0.781,0.708,0.61,0.799,0.94,0.789,0.704,0.81,0.834,0.697,0.675,0.88,0.914,0.891,0.912,0.898,0.935,0.955,0.922,0.876,0.855,0.936,0.773,0.866,0.93,0.635,0.78,0.772,0.859,0.779,0.747,0.93,0.878,0.921
0.834,0.806,0.913,0.943,0.918,0.943,0.987,0.913,0.527,0,0.853,0.585,0.593,0.487,0.613,0.465,0.71,0.707,0.563,0.888,0.773,0.753,0.707,0.609,0.705,0.926,0.706,0.626,0.729,0.736,0.636,0.667,0.873,0.888,0.888,0.916,0.88,0.895,0.901,0.862,0.835,0.856,0.907,0.733,0.875,0.864,0.352,0.736,0.746,0.818,0.837,0.742,0.891,0.813,0.857
0.922,0.909,0.941,0.952,0.951,0.95,0.987,0.934,0.809,0.853,0,0.754,0.656,0.775,0.709,0.75,0.711,0.637,0.719,0.696,0.66,0.686,0.706,0.734,0.767,0.842,0.874,0.806,0.889,0.876,0.779,0.882,0.86,0.931,0.905,0.903,0.926,0.945,0.966,0.618,0.795,0.792,0.76,0.713,0.801,0.832,0.798,0.691,0.685,0.706,0.725,0.734,0.798,0.74,0.797
0.953,0.92,0.979,0.985,0.961,0.96,0.992,0.974,0.479,0.585,0.754,0,0.594,0.426,0.651,0.439,0.633,0.585,0.543,0.803,0.679,0.699,0.617,0.566,0.799,0.906,0.818,0.695,0.855,0.898,0.707,0.769,0.878,0.966,0.931,0.924,0.95,0.973,0.988,0.837,0.833,0.801,0.865,0.687,0.769,0.832,0.616,0.701,0.682,0.773,0.647,0.655,0.848,0.785,0.855
0.947,0.919,0.972,0.983,0.959,0.955,0.992,0.972,0.631,0.593,0.656,0.594,0,0.468,0.223,0.577,0.364,0.342,0.446,0.499,0.429,0.429,0.36,0.441,0.528,0.775,0.815,0.663,0.849,0.859,0.67,0.753,0.839,0.955,0.927,0.91,0.949,0.962,0.984,0.509,0.573,0.6,0.546,0.55,0.626,0.595,0.693,0.369,0.36,0.47,0.5,0.377,0.601,0.461,0.531
0.952,0.912,0.969,0.982,0.949,0.948,0.992,0.97,0.488,0.487,0.775,0.426,0.468,0,0.461,0.364,0.621,0.597,0.497,0.798,0.701,0.691,0.585,0.523,0.745,0.871,0.813,0.657,0.85,0.88,0.683,0.756,0.854,0.963,0.928,0.905,0.942,0.962,0.982,0.803,0.79,0.773,0.828,0.682,0.786,0.826,0.564,0.663,0.651,0.757,0.639,0.625,0.828,0.762,0.82
0.947,0.915,0.968,0.982,0.951,0.95,0.992,0.971,0.702,0.613,0.709,0.651,0.223,0.461,0,0.652,0.359,0.428,0.479,0.525,0.469,0.434,0.408,0.439,0.518,0.787,0.814,0.705,0.859,0.852,0.693,0.751,0.857,0.961,0.926,0.911,0.946,0.963,0.98,0.52,0.584,0.634,0.559,0.494,0.622,0.515,0.709,0.393,0.399,0.475,0.571,0.419,0.625,0.433,0.447
0.935,0.905,0.959,0.971,0.942,0.945,0.989,0.959,0.439,0.465,0.75,0.439,0.577,0.364,0.652,0,0.577,0.475,0.441,0.772,0.62,0.652,0.589,0.475,0.774,0.889,0.802,0.693,0.832,0.856,0.725,0.718,0.839,0.945,0.912,0.89,0.936,0.949,0.972,0.858,0.831,0.808,0.879,0.682,0.8,0.845,0.55,0.701,0.707,0.797,0.642,0.662,0.876,0.801,0.833
0.961,0.927,0.98,0.994,0.962,0.962,0.992,0.982,0.725,0.71,0.711,0.633,0.364,0.621,0.359,0.577,0,0.256,0.335,0.359,0.325,0.362,0.279,0.26,0.544,0.762,0.824,0.721,0.872,0.876,0.709,0.747,0.827,0.976,0.94,0.915,0.956,0.974,0.991,0.404,0.439,0.506,0.45,0.498,0.463,0.485,0.706,0.281,0.317,0.432,0.432,0.287,0.522,0.367,0.395
0.955,0.926,0.979,0.993,0.962,0.961,0.99,0.983,0.641,0.707,0.637,0.585,0.342,0.597,0.428,0.475,0.256,0,0.401,0.481,0.252,0.361,0.306,0.362,0.572,0.742,0.824,0.678,0.863,0.874,0.683,0.745,0.802,0.957,0.931,0.909,0.95,0.972,0.989,0.53,0.576,0.592,0.589,0.52,0.582,0.599,0.697,0.378,0.388,0.519,0.48,0.355,0.613,0.501,0.556
0.94,0.914,0.965,0.969,0.955,0.953,0.985,0.964,0.573,0.563,0.719,0.543,0.446,0.497,0.479,0.441,0.335,0.401,0,0.52,0.547,0.532,0.371,0.217,0.579,0.781,0.808,0.698,0.845,0.88,0.677,0.73,0.85,0.947,0.915,0.903,0.935,0.96,0.975,0.543,0.512,0.501,0.553,0.667,0.491,0.535,0.529,0.428,0.45,0.586,0.451,0.393,0.562,0.526,0.535
