chkd_n_3,chkd_s_4,chkd_s_5,prth_b_4,prth_p_1,prth_p_5,prth_p_5.1,trqt_n_2,trqt_n_3,trqt_n_5,trqt_s_1,trqt_s_3,trqt_s_5
0,0.962,0.954,0.992,0.986,0.953,0.992,0.963,0.968,0.963,0.992,0.966,0.972
0.962,0,0.522,0.853,0.875,0.75,0.777,0.614,0.762,0.73,0.747,0.707,0.712
0.954,0.522,0,0.995,0.946,0.819,0.961,0.905,0.974,0.928,0.948,0.913,0.906
0.992,0.853,0.995,0,0.888,0.914,0.808,0.627,0.713,0.685,0.684,0.625,0.598
0.986,0.875,0.946,0.888,0,0.848,0.792,0.857,0.92,0.87,0.827,0.876,0.838
0.953,0.75,0.819,0.914,0.848,0,0.833,0.796,0.955,0.882,0.804,0.862,0.704
0.992,0.777,0.961,0.808,0.792,0.833,0,0.749,0.828,0.77,0.717,0.775,0.709
0.963,0.614,0.905,0.627,0.857,0.796,0.749,0,0.422,0.348,0.422,0.344,0.397
0.968,0.762,0.974,0.713,0.92,0.955,0.828,0.422,0,0.326,0.423,0.547,0.673
0.963,0.73,0.928,0.685,0.87,0.882,0.77,0.348,0.326,0,0.417,0.486,0.606
0.992,0.747,0.948,0.684,0.827,0.804,0.717,0.422,0.423,0.417,0,0.457,0.488
0.966,0.707,0.913,0.625,0.876,0.862,0.775,0.344,0.547,0.486,0.457,0,0.402
0.972,0.712,0.906,0.598,0.838,0.704,0.709,0.397,0.673,0.606,0.488,0.402,0
