"","chkd_n_6","chkd_n_4","chkd_n_3","chkd_n_2","chkd_n_1","chkd_s_6","chkd_s_5","chkd_s_4","chkd_s_3","chkd_s_2","chkd_s_1","prth_b_6","prth_b_5","prth_b_3","prth_b_2","prth_b_1","prth_p_6","prth_p_5","prth_p_4","prth_p_3","prth_p_2","prth_p_1","trqt_n_6","trqt_n_5","trqt_n_4","trqt_n_3","trqt_n_2","trqt_n_1","trqt_s_6","trqt_s_5","trqt_s_4","trqt_s_3","trqt_s_2","trqt_s_1"
"chkd_n_6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_4","0.379333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_3","0.609333333333333","0.584666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_2","0.536666666666667","0.419","0.427333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_1","0.383","0.359333333333333","0.606","0.516","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_6","0.499333333333333","0.559666666666667","0.602333333333333","0.598","0.530333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_5","0.429","0.549","0.605666666666667","0.591333333333333","0.529666666666667","0.326666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_4","0.578666666666667","0.663666666666667","0.537333333333333","0.573666666666667","0.639666666666667","0.398333333333333","0.269333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_3","0.338","0.332666666666667","0.642","0.560666666666667","0.327666666666667","0.453333333333333","0.472333333333333","0.593333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_2","0.645666666666667","0.734","0.624333333333333","0.662","0.699","0.332","0.408","0.411","0.648666666666667","0","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_1","0.518","0.636666666666667","0.576666666666667","0.55","0.616","0.399333333333333","0.203333333333333","0.217333333333333","0.552333333333333","0.447666666666667","0","","","","","","","","","","","","","","","","","","","","","","",""
"prth_b_6","0.814","0.817333333333333","0.778","0.756666666666667","0.804","0.602333333333333","0.706666666666667","0.730666666666667","0.717666666666667","0.641666666666667","0.747","0","","","","","","","","","","","","","","","","","","","","","",""
"prth_b_5","0.851333333333333","0.594333333333333","0.692333333333333","0.650666666666667","0.754","0.702333333333333","0.751333333333333","0.791666666666667","0.7","0.745666666666667","0.784666666666667","0.460666666666667","0","","","","","","","","","","","","","","","","","","","","",""
"prth_b_3","0.696666666666667","0.614","0.616666666666667","0.555333333333333","0.634","0.605","0.650666666666667","0.663","0.556333333333333","0.674","0.665666666666667","0.461333333333333","0.496","0","","","","","","","","","","","","","","","","","","","",""
"prth_b_2","0.807","0.692666666666667","0.669333333333333","0.653333333333333","0.705333333333333","0.611333333333333","0.704333333333333","0.738","0.655","0.654666666666667","0.736","0.250333333333333","0.348666666666667","0.346","0","","","","","","","","","","","","","","","","","","",""
"prth_b_1","0.691333333333333","0.618666666666667","0.589333333333333","0.569","0.61","0.437333333333333","0.565333333333333","0.602333333333333","0.558","0.448","0.6","0.368666666666667","0.494","0.366666666666667","0.268666666666667","0","","","","","","","","","","","","","","","","","",""
"prth_p_6","0.563","0.62","0.622","0.576666666666667","0.601","0.329333333333333","0.418","0.434333333333333","0.523","0.472333333333333","0.394333333333333","0.541","0.706666666666667","0.584333333333333","0.575333333333333","0.417333333333333","0","","","","","","","","","","","","","","","","",""
"prth_p_5","0.704","0.650666666666667","0.544666666666667","0.557","0.593","0.483666666666667","0.61","0.582666666666667","0.536333333333333","0.556666666666667","0.609","0.474333333333333","0.626666666666667","0.340666666666667","0.403","0.285333333333333","0.402333333333333","0","","","","","","","","","","","","","","","",""
"prth_p_4","0.850333333333333","0.784666666666667","0.693333333333333","0.746666666666667","0.789","0.8","0.835","0.789666666666667","0.763333333333333","0.861333333333333","0.814","0.760666666666667","0.771","0.698666666666667","0.758666666666667","0.755","0.755333333333333","0.626666666666667","0","","","","","","","","","","","","","","",""
"prth_p_3","0.872666666666667","0.913333333333333","0.827","0.82","0.896666666666667","0.633666666666667","0.726666666666667","0.745333333333333","0.824","0.636333333333333","0.733666666666667","0.618666666666667","0.73","0.741666666666667","0.656666666666667","0.603666666666667","0.588","0.624","0.797666666666667","0","","","","","","","","","","","","","",""
"prth_p_2","0.792333333333333","0.856666666666667","0.682666666666667","0.715","0.826333333333333","0.590333333333333","0.573","0.52","0.741333333333333","0.592666666666667","0.533666666666667","0.532666666666667","0.67","0.632333333333333","0.546666666666667","0.543","0.42","0.531666666666667","0.753666666666667","0.581333333333333","0","","","","","","","","","","","","",""
"prth_p_1","0.704333333333333","0.769666666666667","0.566666666666667","0.624","0.75","0.588666666666667","0.583333333333333","0.500666666666667","0.658","0.614666666666667","0.502666666666667","0.579333333333333","0.747666666666667","0.447","0.558333333333333","0.466333333333333","0.412333333333333","0.365666666666667","0.697333333333333","0.668","0.378666666666667","0","","","","","","","","","","","",""
"trqt_n_6","0.569666666666667","0.551","0.350666666666667","0.545333333333333","0.543666666666667","0.446666666666667","0.471","0.484666666666667","0.48","0.633333333333333","0.49","0.702333333333333","0.719666666666667","0.606","0.662333333333333","0.548333333333333","0.430666666666667","0.493666666666667","0.656666666666667","0.758333333333333","0.656333333333333","0.567","0","","","","","","","","","","",""
"trqt_n_5","0.661666666666667","0.723333333333333","0.518666666666667","0.616","0.704","0.587333333333333","0.554333333333333","0.487","0.633","0.624","0.501666666666667","0.668666666666667","0.799333333333333","0.448666666666667","0.642666666666667","0.514666666666667","0.468","0.449333333333333","0.695333333333333","0.783333333333333","0.571","0.356666666666667","0.477","0","","","","","","","","","",""
"trqt_n_4","0.492","0.539333333333333","0.484333333333333","0.541666666666667","0.55","0.513666666666667","0.416666666666667","0.442333333333333","0.514","0.614","0.423666666666667","0.794333333333333","0.851","0.711666666666667","0.784333333333333","0.670333333333333","0.424","0.641666666666667","0.733666666666667","0.811666666666667","0.625666666666667","0.529","0.378","0.407333333333333","0","","","","","","","","",""
"trqt_n_3","0.722333333333333","0.453666666666667","0.376666666666667","0.473333333333333","0.606","0.667666666666667","0.713666666666667","0.67","0.606333333333333","0.739666666666667","0.688","0.732666666666667","0.480333333333333","0.545666666666667","0.616666666666667","0.532333333333333","0.611333333333333","0.47","0.605","0.827333333333333","0.713","0.573666666666667","0.410333333333333","0.508666666666667","0.569333333333333","0","","","","","","","",""
"trqt_n_2","0.609","0.689333333333333","0.632","0.603","0.672333333333333","0.442333333333333","0.412333333333333","0.445666666666667","0.589666666666667","0.464","0.457666666666667","0.630333333333333","0.714666666666667","0.630666666666667","0.635333333333333","0.525666666666667","0.458333333333333","0.581666666666667","0.826333333333333","0.716","0.488666666666667","0.541333333333333","0.542666666666667","0.510333333333333","0.529","0.693333333333333","0","","","","","","",""
"trqt_n_1","0.395333333333333","0.373666666666667","0.624666666666667","0.581","0.440666666666667","0.295666666666667","0.412333333333333","0.535333333333333","0.316333333333333","0.47","0.515","0.619","0.697","0.611333333333333","0.586","0.449666666666667","0.382","0.495666666666667","0.819","0.699666666666667","0.664666666666667","0.667333333333333","0.432333333333333","0.643333333333333","0.439666666666667","0.643","0.481","0","","","","","",""
"trqt_s_6","0.778333333333333","0.835333333333333","0.726","0.780333333333333","0.813333333333333","0.525333333333333","0.577666666666667","0.611333333333333","0.751","0.491333333333333","0.617666666666667","0.602666666666667","0.742333333333333","0.718","0.636666666666667","0.529333333333333","0.54","0.601","0.841666666666667","0.448333333333333","0.538666666666667","0.659","0.7","0.681666666666667","0.71","0.784333333333333","0.394666666666667","0.585333333333333","0","","","","",""
"trqt_s_5","0.783333333333333","0.846","0.717666666666667","0.774666666666667","0.827333333333333","0.491","0.568","0.588666666666667","0.742","0.480333333333333","0.620666666666667","0.535","0.687","0.694666666666667","0.579","0.489333333333333","0.510666666666667","0.574333333333333","0.814333333333333","0.569","0.473333333333333","0.615333333333333","0.695333333333333","0.665","0.705666666666667","0.767333333333333","0.358333333333333","0.588","0.243","0","","","",""
"trqt_s_4","0.607","0.478","0.530333333333333","0.51","0.520333333333333","0.512","0.552","0.527333333333333","0.505","0.687333333333333","0.549","0.666666666666667","0.736333333333333","0.404666666666667","0.559333333333333","0.464","0.468","0.338333333333333","0.615","0.838","0.679","0.455","0.433666666666667","0.376666666666667","0.46","0.453333333333333","0.609","0.501333333333333","0.761666666666667","0.714333333333333","0","","",""
"trqt_s_3","0.764333333333333","0.804333333333333","0.69","0.727333333333333","0.759333333333333","0.59","0.536666666666667","0.544333333333333","0.678666666666667","0.540333333333333","0.573","0.603666666666667","0.690333333333333","0.639333333333333","0.609","0.552","0.553666666666667","0.562","0.801","0.718","0.489","0.571666666666667","0.650333333333333","0.600333333333333","0.642","0.693333333333333","0.433","0.663666666666667","0.475333333333333","0.382666666666667","0.629333333333333","0","",""
"trqt_s_2","0.728","0.773","0.669","0.714666666666667","0.744666666666667","0.456333333333333","0.511","0.564","0.673333333333333","0.423666666666667","0.561333333333333","0.588666666666667","0.712","0.650666666666667","0.610333333333333","0.460666666666667","0.501333333333333","0.525","0.818666666666667","0.525","0.545333333333333","0.607666666666667","0.636666666666667","0.634333333333333","0.644","0.712333333333333","0.358333333333333","0.534","0.206666666666667","0.236666666666667","0.676666666666667","0.363666666666667","0",""
"trqt_s_1","0.734","0.795","0.682","0.728","0.767","0.488666666666667","0.529","0.546","0.682666666666667","0.460666666666667","0.582","0.515666666666667","0.699333333333333","0.669","0.561","0.509333333333333","0.506333333333333","0.544333333333333","0.827333333333333","0.636","0.481","0.602666666666667","0.662","0.634333333333333","0.644666666666667","0.741666666666667","0.343","0.557333333333333","0.347666666666667","0.265","0.671","0.273666666666667","0.266333333333333","0"
