chkd_n_3,prth_b_4,prth_p_5,prth_p_5.1,trqt_n_5,trqt_n_3,trqt_n_2,trqt_s_1,trqt_s_5,trqt_s_3
0,1,1,1,1,1,1,1,1,1
1,0,1,0.6,1,1,1,1,1,1
1,1,0,0.8709677419354839,1,1,1,0.9411764705882353,0.8,1
1,0.6,0.8709677419354839,0,1,1,1,0.8181818181818182,0.42857142857142855,1
1,1,1,1,0,0,0.3333333333333333,0.4,1,0.5
1,1,1,1,0,0,0.3333333333333333,0.4,1,0.5
1,1,1,1,0.3333333333333333,0.3333333333333333,0,0.6,1,0.5
1,1,0.9411764705882353,0.8181818181818182,0.4,0.4,0.6,0,0.8,0.6666666666666666
1,1,0.8,0.42857142857142855,1,1,1,0.8,0,1
1,1,1,1,0.5,0.5,0.5,0.6666666666666666,1,0
