year,sample,richness,shannon,lat,long
2016,goose_south_west_2,8,1.6387300485476204,51.922786,-128.464532
2016,goose_south_west_3,10,1.4630489291351816,51.922786,-128.464532
2016,goose_south_west_4,7,1.3731742094092778,51.922786,-128.464532
2016,goose_south_west_7,7,1.3463616257270123,51.922786,-128.464532
2016,goose_south_west_8,5,1.311089301886882,51.922786,-128.464532
2016,goose_south_west_9,9,1.6976248208515803,51.922786,-128.464532
2016,choked_inner_1,10,1.7778450745507823,51.676,-128.122
2016,choked_inner_2,13,1.5456997222440134,51.676,-128.122
2016,choked_inner_4,11,1.2006339334662706,51.676,-128.122
2016,choked_inner_5,10,1.7013699039161854,51.676,-128.122
2016,choked_inner_6,6,1.4929564577413683,51.676,-128.122
2016,choked_inner_9,10,1.5802322247818996,51.676,-128.122
2016,pruth_pocket_1,14,1.3977165388463983,51.645766,-128.118668
2016,pruth_pocket_2,14,1.9326271454654471,51.645766,-128.118668
2016,pruth_pocket_5,13,1.9105161551262133,51.645766,-128.118668
2016,pruth_pocket_6,13,1.829585776254352,51.645766,-128.118668
2016,pruth_pocket_9,10,1.5821774547878054,51.645766,-128.118668
2016,choked_sandspit_1,14,1.7617262837296788,51.678,-128.115
2016,choked_sandspit_2,15,1.8515501322454555,51.678,-128.115
2016,choked_sandspit_3,15,1.9618243963878046,51.678,-128.115
2016,choked_sandspit_4,14,1.6007116409443143,51.678,-128.115
2016,choked_sandspit_5,15,1.5386327677346388,51.678,-128.115
2016,choked_sandspit_9,6,1.3781348585119986,51.678,-128.115
2016,triquet_north_1,7,1.462677942490739,51.808875,-128.247457
2016,triquet_north_2,10,1.8140788759353694,51.808875,-128.247457
2016,triquet_north_3,7,1.0878334164503292,51.808875,-128.247457
2016,triquet_north_5,8,0.6468124140438564,51.808875,-128.247457
2016,triquet_north_7,11,1.7348218663433799,51.808875,-128.247457
2016,triquet_north_8,13,1.2218959373220573,51.808875,-128.247457
2016,triquet_south_2,11,1.3190592212381587,51.80869,-128.235858
2016,triquet_south_3,9,1.3381977679234585,51.80869,-128.235858
2016,triquet_south_4,11,1.6948153188938446,51.80869,-128.235858
2016,triquet_south_5,9,0.9785729709089002,51.80869,-128.235858
2016,triquet_south_6,10,1.6659346958617773,51.80869,-128.235858
2016,triquet_south_8,10,1.5154052705665066,51.80869,-128.235858
