SampleID,swab_id,barcode_plate,barcode_well,year,region,site,host_species,host_type,sample_type,survey_type,quadrat_id,meso_shoot_id,ASV4,ASV5,ASV6,ASV11,ASV13,ASV15,ASV17,ASV18,ASV19,ASV24,ASV27,ASV28,ASV39,ASV43,ASV46,ASV47,ASV57,ASV60,ASV71,ASV89,ASV93,ASV104,ASV105,ASV106,ASV107,ASV108,ASV117,ASV118,ASV119,ASV121,ASV122,ASV125,ASV131,ASV132,ASV133,ASV147,ASV153,ASV165,ASV185,ASV188,ASV198,ASV210,ASV217,ASV222,ASV224,ASV239,ASV251,ASV279,ASV281,ASV286,ASV289,ASV302,ASV330,ASV341,ASV342,ASV346,ASV351,ASV352,ASV358,ASV368,ASV373,ASV379,ASV383,ASV386,ASV392,ASV403,ASV408,ASV414,ASV417,ASV420,ASV425,ASV431,ASV467,ASV470,ASV493,ASV495,ASV530,ASV541,ASV559,ASV570,ASV590,ASV640,ASV656,ASV660,ASV661,ASV663,ASV668,ASV671,ASV674,ASV678,ASV683,ASV687,ASV720,ASV737,ASV750,ASV760,ASV775,ASV777,ASV858,ASV881,ASV891,ASV909,ASV930,ASV940,ASV945,ASV953,ASV959,ASV971,ASV989,ASV996,ASV1012,ASV1016,ASV1017,ASV1018,ASV1025,ASV1033,ASV1036,ASV1068,ASV1070,ASV1074,ASV1087,ASV1119,ASV1127,ASV1128,ASV1144,ASV1152,ASV1158,ASV1164,ASV1199,ASV1207,ASV1214,ASV1225,ASV1254,ASV1328,ASV1330,ASV1335,ASV1358,ASV1372,ASV1378,ASV1380,ASV1394,ASV1405,ASV1418,ASV1438,ASV1483,ASV1487,ASV1503,ASV1510,ASV1548,ASV1574,ASV1639,ASV1668,ASV1673,ASV1677,ASV1700,ASV1702,ASV1708,ASV1735,ASV1794,ASV1798,ASV1870,ASV1879,ASV1925,ASV1964,ASV1989,ASV2000,ASV2015,ASV2041,ASV2068,ASV2119,ASV2135,ASV2137,ASV2155,ASV2164,ASV2196,ASV2215,ASV2247,ASV2306,ASV2326,ASV2341,ASV2358,ASV2386,ASV2406,ASV2417,ASV2423,ASV2451,ASV2493,ASV2509,ASV2516,ASV2522,ASV2534,ASV2613,ASV2643,ASV2663,ASV2671,ASV2673,ASV2683,ASV2725,ASV2755,ASV2762,ASV2778,ASV2801,ASV2820,ASV2836,ASV2867,ASV2874,ASV2992,ASV3047,ASV3057,ASV3074,ASV3099,ASV3114,ASV3134,ASV3153,ASV3217,ASV3220,ASV3269,ASV3271,ASV3324,ASV3378,ASV3384,ASV3395,ASV3462,ASV3488,ASV3505,ASV3510,ASV3543,ASV3614,ASV3655,ASV3704,ASV3714,ASV3735,ASV3741,ASV3775,ASV3857,ASV3880,ASV3885,ASV3887,ASV3905,ASV3925,ASV3951,ASV3994,ASV3999,ASV4080,ASV4119,ASV4133,ASV4183,ASV4195,ASV1390,ASV1412,ASV2328,ASV2360
subshellCFIa16,3010,5,H11,2016,choked,choked_flat_island,shell_horseclam,substrate,substrate,meso_quadrat,na,na,0,0,88,0,33,0,0,972,337,373,140,91,0,179,0,0,0,0,0,0,0,239,65,187,0,0,0,0,35,0,0,386,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,115,0,0,0,59,0,0,0,0,0,0,0,0,0,0,16,0,0,0,32,0,0,0,0,12,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subshellCFIb16,3098,5,A12,2016,choked,choked_flat_island,shell_horseclam,substrate,substrate,meso_quadrat,na,na,25,0,0,0,0,0,0,991,301,488,180,217,0,167,25,0,0,0,0,0,0,79,31,807,0,0,0,0,0,0,0,554,0,0,0,159,0,0,0,0,0,16,0,0,0,0,0,9,34,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,129,0,0,0,14,0,0,0,0,0,36,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,58,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subshellCFIc16,3002,5,B12,2016,choked,choked_flat_island,shell_moonsnail,substrate,substrate,meso_quadrat,na,na,0,0,25,10,0,0,0,1204,741,930,1151,47,0,16,0,0,0,0,80,0,14,32,38,171,14,0,0,0,67,0,1319,432,11,0,0,19,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,6,0,17,0,0,93,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,50,10,0,0,0,0,0,0,6,0,0,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subshellCFIe16,3017,5,D12,2016,choked,choked_flat_island,moonsnail_eggcasing,substrate,substrate,meso_quadrat,na,na,69,0,0,6,0,0,0,112,168,240,0,1807,0,175,0,0,0,0,0,0,0,0,0,43,0,24,0,0,1042,0,0,561,12,0,0,83,0,0,0,6,0,0,0,0,0,0,0,6323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZosCFInewF16,3009,5,F1,2016,choked,choked_flat_island,zostera_marina,zostera,leaf_new,meso_quadrat,9,na,706,0,1135,0,13,0,0,236,465,455,275,63,97,92,27,0,0,0,19,0,0,427,243,38,0,40,0,0,62,0,0,1215,27,0,0,17,0,0,34,0,0,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,21,0,0,113,0,0,132,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,12,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZosCFInewE16,3022,5,E1,2016,choked,choked_flat_island,zostera_marina,zostera,leaf_new,meso_quadrat,8,na,407,0,0,0,0,0,0,124,244,286,0,2271,65,214,0,0,0,0,0,0,0,0,0,82,0,35,0,0,1307,0,18,828,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,8831,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,53,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZosCFInewG16,3023,5,G1,2016,choked,choked_flat_island,zostera_marina,zostera,leaf_new,meso_quadrat,7,na,20,0,326,6,12,0,0,2886,1697,2075,2340,90,45,99,76,0,6,0,163,0,6,90,52,389,0,28,20,0,179,0,2736,960,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,0,0,0,0,69,18,0,0,8,0,0,12,8,90,0,0,176,28,0,0,0,39,0,0,10,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,7,0,7,818,0,0,121,18,0,0,0,0,0,0,0,40,0,28,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZosCFInewD16,3011,5,C4,2016,choked,choked_flat_island,zostera_marina,zostera,leaf_new,meso_quadrat,6,na,67,0,116,0,92,0,0,10,36,21,0,18,38,4,0,0,0,0,526,0,0,0,0,73,32,90,0,0,33,369,257,60,0,0,0,0,0,0,203,0,0,0,0,0,0,79,0,0,0,0,87,0,0,0,0,0,0,0,239,19,78,24,0,0,0,0,10,0,0,0,0,0,0,414,0,335,0,17,0,0,0,0,62,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,51,0,0,0,0,281,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZosCFInewH16,3076,5,H1,2016,choked,choked_flat_island,zostera_marina,zostera,leaf_new,meso_quadrat,5,na,571,0,0,8,0,0,0,4932,1909,2905,828,1141,110,1025,124,0,0,0,0,7,0,271,185,4729,0,0,35,0,0,0,10,3932,0,0,0,972,0,0,10,0,0,56,0,0,0,0,0,39,143,0,0,0,0,0,0,0,0,67,0,0,47,0,0,29,0,0,480,0,0,0,36,0,27,0,0,0,173,0,0,0,0,14,0,0,0,165,0,0,0,0,24,0,0,0,0,453,64,0,0,178,5,0,0,0,0,0,0,6,370,0,14,41,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZosCFIrzmH16,3031,5,A10,2016,choked,choked_flat_island,zostera_marina,zostera,rhizome,meso_quadrat,5,na,0,29,195,0,48,10,0,28,45,95,34,151,0,21,0,0,0,11,0,0,0,10,12,10,0,43,0,0,0,0,0,162,0,0,0,0,0,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,81,14,0,0,0,524,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
