year,site,sample
2017,inner choked,2
2017,inner choked,3
2017,inner choked,5
2017,inner choked,7
2017,inner choked,8
2017,inner choked,9
2017,pruth pocket,2
2017,pruth pocket,3
2017,pruth pocket,4
2017,sandspit,1
2017,sandspit,2
2017,sandspit,5
2017,sandspit,6
2017,sandspit,8
2017,sandspit,9
2017,triquet north,1
2017,triquet north,2
2017,triquet north,4
2017,triquet north,5
2017,triquet north,6
2017,triquet north,8
2017,triquet south,2
2017,triquet south,3
2017,triquet south,4
2017,triquet south,5
2017,triquet south,8
2017,triquet south,9
