"year","date","site","sample","size","taxon"
2014,"7/9/2014","sandspit","1",4,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","1",2.8,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","5",0.5,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","11",0.5,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","13",2,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","13",1,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","6A",4,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","6A",2.8,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","6A",2,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","6A",1.4,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","6A",0.71,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","6A",0.5,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","7B",8,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","7B",4,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","7B",1.4,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","8A",0.5,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","8A",0.5,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","8B",1,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","8B",0.71,"Platynereis.bicanaliculata"
2014,"7/9/2014","sandspit","8B",0.5,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","3",4,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","3",4,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","3",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","3",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","3",2,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","4",8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","4",8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","4",8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","4",4,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","4",2,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","4",0.71,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","4",0.71,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","4",0.71,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","4",0.5,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",4,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",2,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",1.4,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",1.4,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",1,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",1,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",0.71,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","6",0.71,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","7",4,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","7",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","10",4,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","10",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","10",2.8,"Platynereis.bicanaliculata"
2014,"8/11/2014","goose south west","10",2.8,"Platynereis.bicanaliculata"
