taxon,taxon2,taxon3,taxon4,taxon5,notes,sessile,flag,remove
Ascidiacea,Ascidiacea,Ascidiacea,Ascidiacea,Ascidiacea,tunicate catch-all,1,,
Anoplodactylus,Anoplodactylus,Pycnogonida,Pycnogonida,Pycnogonida,,,,
Lepasterias.hexactis,Lepasterias.hexactis,Asteroidea,Asteroidea,Asteroidea,"seems doubtful, but okay",,,
Solasteridae,Solasteridae,Asteroidea,Asteroidea,Asteroidea,cool,,,
Unknown.sea.star..I.think.only.1.sp.,Asteroidea,Asteroidea,Asteroidea,Asteroidea,,,,
Balanus.crenatus,Balanus,Balanus,Balanidae,Balanidae,,1,,
Balanus.sp.,Balanus,Balanus,Balanidae,Balanidae,,1,,
Sessilia,Balanus,Balanus,Balanidae,Balanidae,,1,,
Bivalvia,Bivalvia,Bivalvia,Veneridae,Bivalvia,"very coarse; guess that many of these are clams, because mussels should be obvious",,,
Mytilidae,Mytilidae,Mytilidae,Mytilidae,Bivalvia,,,,
Mytilus.trossulus,Mytilidae,Mytilidae,Mytilidae,Bivalvia,hard to distinguish from M. californianus when very small,,,
Nutricola.sp.,Veneroida,Veneroida,Veneridae,Bivalvia,"likely infaunal, incidental catch along with Lysianassidea",1,,1
Pectinidae,Pectinidae,Pectinidae,Pectinidae,Bivalvia,"okay, not really sessile, but probably pretty rare",1,,1
Veneroida,Veneroida,Veneroida,Veneridae,Bivalvia,,,,1
Gymnolaemata,Bryozoa,Bryozoa,Gymnolaemata,Bryozoa,"sessile, ignore",1,,1
Alia.carinata,Alia.carinata,Alia.carinata,Columbellidae,Buccinoidea,,,,
Amphissa,Amphissa.columbiana,Amphissa.columbiana,Columbellidae,Buccinoidea,,,,
Amphissa.columbiana,Amphissa.columbiana,Amphissa.columbiana,Columbellidae,Buccinoidea,,,,
Colus.sp.,Colus,Colus,Buccinidae,Buccinoidea,,,,
Nassarius.mendicus,Nassarius.mendicus,Nassarius.mendicus,Nassariidae,Buccinoidea,?could be confused with Amphissa columbiana,,,
Caprella,Caprella,Caprellidae,Caprellidae,Caprellidae,,,,
Caprella.californica,Caprella.californica,Caprellidae,Caprellidae,Caprellidae,,,,
Caprella.laeviuscula,Caprella.laeviuscula,Caprellidae,Caprellidae,Caprellidae,,,,
Caprella.mutica,Metacaprella.kennerlyi,Caprellidae,Caprellidae,Caprellidae,revisted by Felipe and Whalen on 20190725,,,
Bittium.eschrichtii,Bittium,Cerithiidae,Cerithiidae,Cerithioidea,,,,
Cerithiidae,Cerithiidae,Cerithiidae,Cerithiidae,Cerithioidea,,,,
Actiniidae,Actiniidae,Actiniidae,Actiniidae,Cnidaria,anemone catch-all,1,,
Haliclystidae,Stauromedusae,Stauromedusae,Haliclystidae,Cnidaria,"stalked jelly, should be treated same as actiniids",1,,
Sea.anemone..maybe.Diadumene.lineata.but.difficult.to.ID.,Diadumene,Actiniidae,Actiniidae,Cnidaria,,1,,
Sea.anemone..perhaps.Epiactis.prolifera..difficult.to.ID.,Epiactis,Actiniidae,Actiniidae,Cnidaria,,1,,
Americorphium,Americorphium,Corophiidae,Corophiidae,Corophiidae,,,,
Corophiidae,Corophiidae,Corophiidae,Corophiidae,Corophiidae,catch-all,,,
Monocorophium,Monocorophium,Corophiidae,Corophiidae,Corophiidae,,,,
Monocorophium.acherusicum,Monocorophium,Corophiidae,Corophiidae,Corophiidae,,,,
Protomedeia,Corophiidae,Corophiidae,Corophiidae,Corophiidae,,,,
Cumacea,Cumacea,Cumacea,Cumacea,Cumacea,likely to be infauna,,,1
Decapoda,Decapoda,Decapoda,Epialtidae,Decapoda,probably a small crab; assuming this is a kelp crab,,1,
Heptacarpus.sp.,Heptacarpus,Heptacarpus,Hippolytidae,Decapoda,,,,
Metacarcinus.magister,Metacarcinus.magister,Metacarcinus.magister,Cancridae,Decapoda,,,,
Paguridae,Paguridae,Paguridae,Paguridae,Decapoda,,,,
Pagurus,Pagurus,Paguridae,Paguridae,Decapoda,,,,
Pagurus.quaylei,Pagurus,Paguridae,Paguridae,Decapoda,,,,
Pleocyemata,Pleocyemata,,Epialtidae,Decapoda,"incredibly coarse, revisit this; probably a brachyuran (asuming Epialtidae for now)",,1,
Pugettia.richii,Pugettia,Pugettia,Epialtidae,Decapoda,,,,
Pugettia.sp.,Pugettia,Pugettia,Epialtidae,Decapoda,,,,
Strongylocentrotus.sp..,Echinoidea,Echinoidea,Strongylocentrotidae,Echinoidea,,,,
Enteropneusta,Enteropneusta,Enteropneusta,Enteropneusta,Enteropneusta,doubtful ID,,,
Lumbrineridae,Lumbrineridae,Lumbrineridae,Lumbrineridae,Eunicida,,,,
Amphitoidae,Ampithoidae,Ampithoidae,Ampithoidae,Gammaridean,,,,
Ampithoe.lacertosa,Ampithoe.lacertosa,Ampithoidae,Ampithoidae,Gammaridean,,,,
Ampithoe.sectimanus,Ampithoe.sectimanus,Ampithoidae,Ampithoidae,Gammaridean,,,,
Ampithoe.spp.,Ampithoe.spp.,Ampithoidae,Ampithoidae,Gammaridean,,,,
Ampithoidae,Ampithoidae,Ampithoidae,Ampithoidae,Gammaridean,,,,
Aoridae,Aoroides,Aoroides,Aoridae,Gammaridean,,,,
Aoroides,Aoroides,Aoroides,Aoridae,Gammaridean,,,,
Aoroides.intermedia,Aoroides,Aoroides,Aoridae,Gammaridean,,,,
Aoroides.spp.,Aoroides,Aoroides,Aoridae,Gammaridean,,,,
Cymadusa.uncinata,Ampithoidae,Ampithoidae,Aoridae,Gammaridean,"likely wrong, although seen in Puget Sound",,,
Eogammarus.confervicolus,Eogammarus.confervicolus,Gammaropsis-like,Anisogammaridae,Gammaridean,"could be but also could be Gammaropsis, pretty easy to confuse",,,
Ericthonius,Ericthonius,Ericthonius,Ischyroceridae,Gammaridean,,,,
Ericthonius.rubricornis,Ericthonius,Ericthonius,Ischyroceridae,Gammaridean,,,,
Eusiroidea,Pontogeneia,Pontogeneia,Eusiridae,Gammaridean,"hard to tell many of these apart, but likely to be this genus",,,
Gammaidean.Amphipod...1mm.,Gammaridean,Gammaridean,Gammaridean,Gammaridean,"too coarse, but this is THE level from 2015",,1,
Gammaridea,Gammaridean,Gammaridean,Gammaridean,Gammaridean,"too coarse, but this is THE level from 2016,2017",,1,
Gammaropsis,Gammaropsis,Gammaropsis-like,Photidae,Gammaridean,,,,
Gammaropsis.barnardi,Gammaropsis,Gammaropsis-like,Photidae,Gammaridean,,,,
Gammaropsis.thomsoni,Gammaropsis,Gammaropsis-like,Photidae,Gammaridean,,,,
Heterophoxus,Heterophoxus,Lysianassoidea,Lysianassidae,Gammaridean,could be lyssianasid,,,1
Hyalellidae,Hyalellidae,Hyaloidea,Hyalellidae,Gammaridean,hard to distinguish Hyalellidae from Hyalidae,,,
Hyalidae,Hyalidae,Hyaloidea,Hyalidae,Gammaridean,hard to distinguish Hyalellidae from Hyalidae,,,
Isaeidae,Isaeidae,Isaeidae,Isaeidae,Gammaridean,,,,
Ischyroceridae,Ischyrocerus,Ischyroceridae,Ischyroceridae,Gammaridean,,,,
Ischyrocerus,Ischyrocerus,Ischyroceridae,Ischyroceridae,Gammaridean,,,,
Ischyrocerus.anguipes,Ischyrocerus,Ischyroceridae,Ischyroceridae,Gammaridean,,,,
Lepidepecreum.sp.,Lepidepecreum,Lysianassoidea,Lysianassidae,Gammaridean,,,,1
Paramoera,Pontogeneiidae,Pontogeneiidae,Pontogeneiidae,Gammaridean,,,1,
Peramphithoe,Ampithoidae,Ampithoidae,Ampithoidae,Gammaridean,,,,
Photis,Photis,Photis,Photidae,Gammaridean,,,,
Photis.brevipes,Photis,Photis,Photidae,Gammaridean,,,,
Pleustidae,Pleustidae,Pleustidae,Pleustidae,Gammaridean,,,,
Podoceridae,Podoceridae,Podoceridae,Podoceridae,Gammaridean,,,,
Pontogeneia,Pontogeneia,Pontogeneia,Eusiridae,Gammaridean,,,,
Pontogeneia.inermis,Pontogeneia,Pontogeneia,Eusiridae,Gammaridean,,,,
Pontogeneia.intermedia,Pontogeneia,Pontogeneia,Eusiridae,Gammaridean,,,,
Pontogeneia.rostrata,Pontogeneia,Pontogeneia,Eusiridae,Gammaridean,,,,
Protohyale,Protohyale,Hyaloidea,Hyalidae,Gammaridean,,,,
Protohyale.intermedia,Protohyale,Hyaloidea,Hyalidae,Gammaridean,,,,
Stenothoidae,Stenothoidae,Stenothoidae,Stenothoidae,Gammaridean,,,,
Talitridae,Lysianassoidea,Lysianassoidea,Talitridae,Gammaridean,"dubious, not found in revisit by Felipe and Whalen 20190725",,,1
Thorlaksonius,Thorlaksonius,Pleustidae,Pleustidae,Gammaridean,,,,
