"year","level","key","value"
2015,"alpha","observed",0.810565732842338
2015,"beta_sample","observed",0.170340478521152
2015,"beta_site","observed",0.0152208704299323
2015,"beta_region","observed",0.00387291820657776
2016,"alpha","observed",0.61241546737781
2016,"beta_sample","observed",0.198711113154628
2016,"beta_site","observed",0.0814010759115362
2016,"beta_region","observed",0.107472343556026
2017,"alpha","observed",0.715987393089074
2017,"beta_sample","observed",0.191703203832908
2017,"beta_site","observed",0.0784303633382897
2017,"beta_region","observed",0.0138790397397283
2018,"alpha","observed",0.660363328952159
2018,"beta_sample","observed",0.232697137426955
2018,"beta_site","observed",0.0580857352659867
2018,"beta_region","observed",0.0488537983548998
2015,"alpha","null",0.999905596508869
2015,"beta_sample","null",9.44034911312286e-05
2015,"beta_site","null",0
2015,"beta_region","null",0
2016,"alpha","null",0.995688206354315
2016,"beta_sample","null",0.00431179364568483
2016,"beta_site","null",0
2016,"beta_region","null",0
2017,"alpha","null",0.984458106167474
2017,"beta_sample","null",0.0154385730806868
2017,"beta_site","null",0.000103320751839564
2017,"beta_region","null",0
2018,"alpha","null",0.988466712329612
2018,"beta_sample","null",0.0115332876703876
2018,"beta_site","null",0
2018,"beta_region","null",0
