year,level,key,value
2014,alpha,observed,0.2669896137149018
2014,beta_sample,observed,0.31732956641992416
2014,beta_site,observed,0.11648554037880898
2014,beta_region,observed,0.29919527948636504
2015,alpha,observed,0.26390338104063166
2015,beta_sample,observed,0.21016907798767603
2015,beta_site,observed,0.1460315729911283
2015,beta_region,observed,0.379895967980564
2016,alpha,observed,0.34557989030885605
2016,beta_sample,observed,0.17152569929423933
2016,beta_site,observed,0.06438284215138224
2016,beta_region,observed,0.4185115682455224
2017,alpha,observed,0.3931157609954056
2017,beta_sample,observed,0.22953069207989568
2017,beta_site,observed,0.1490232399429665
2017,beta_region,observed,0.22833030698173218
2014,alpha,null,0.4999449602292234
2014,beta_sample,null,0.25075664664491226
2014,beta_site,null,0.0634574176749738
2014,beta_region,null,0.18584097545089054
2015,alpha,null,0.48122057227993126
2015,beta_sample,null,0.23022260464198763
2015,beta_site,null,0.10321688651477164
2015,beta_region,null,0.1853399365633095
2016,alpha,null,0.5087068506817426
2016,beta_sample,null,0.22034883684102177
2016,beta_site,null,0.06507242492385493
2016,beta_region,null,0.2058718875533807
2017,alpha,null,0.5774011455451699
2017,beta_sample,null,0.2417178765979746
2017,beta_site,null,0.07926424436672068
2017,beta_region,null,0.10161673349013489
