year,site,sample,Actiniidae,Ampithoidae,Anisogammaridae,Anthuridae,Aoridae,Ascidiacea,Asteroidea,Balanidae,Buccinidae,Calliostomatidae,Cancridae,Capitellidae,Caprellidae,Cerithiidae,Chrysopetalidae,Columbellidae,Corophiidae,Cumacea,Enteropneusta,Epialtidae,Eusiridae,Gammaridean,Glyceridae,Gymnolaemata,Halacaridae,Haliclystidae,Haminoeidae,Harpacticoida,Hesionidae,Hippolytidae,Hyalellidae,Hyalidae,Idoteidae,Isaeidae,Ischyroceridae,Littorinidae,Lottiidae,Lumbrineridae,Lysianassidae,Maldanidae,Munnidae,Mytilidae,Nassariidae,Nematoda,Nereididae,Notarchidae,Nudibranchia,Ophiuroidea,Ostracoda,Paguridae,Pectinidae,Pholoidae,Photidae,Phyllodocidae,Pleustidae,Podoceridae,Polynoidae,Pontogeneiidae,Pycnogonida,Rissoidae,Serpulidae,Sphaeromatidae,Stenothoidae,Strongylocentrotidae,Syllidae,Talitridae,Tanaidae,Terebellidae,Trochidae,Urothoidae,Veneridae,<NA>
2014,choked_inner,11,0,1,3,0,39,0,0,0,0,0,0,0,89,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,12,0,0,19,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0
2014,choked_inner,11B,1,3,2,0,98,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,101,0,0,0,0,0,0,30,0,0,0,0,9,0,0,182,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,66,0,0,4,0,0,0,0,0,0,0
2014,choked_inner,4,3,2,0,0,200,0,0,0,0,0,0,0,48,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,40,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
2014,choked_inner,4A,0,1,1,0,24,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,choked_inner,6,0,0,5,0,46,0,0,0,0,0,0,0,60,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,11,0,0,154,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,choked_inner,6A,1,0,1,0,16,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,40,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,choked_inner,8,6,1,11,0,244,0,0,0,0,1,0,0,331,0,0,0,27,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,96,0,0,350,0,0,4,0,0,9,0,0,6,2,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2014,choked_sandspit,1,0,1,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
2014,choked_sandspit,10,1,0,0,0,56,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,9,0,0,299,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,choked_sandspit,11,1,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,7,0,0,130,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,62,0,0,0,0,3,0,1,0,0,0
2014,choked_sandspit,13,0,0,0,0,88,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,8,0,0,146,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,choked_sandspit,5,0,0,0,0,87,0,1,0,0,0,0,0,54,0,0,0,0,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0,27,0,0,117,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0
2014,choked_sandspit,6A,1,0,0,0,23,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,51,0,0,0,0,0,0,5,0,0,0,0,8,0,0,119,0,0,0,0,0,9,0,0,6,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
2014,choked_sandspit,6B,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,choked_sandspit,7A,0,2,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,choked_sandspit,7B,0,0,0,0,37,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,10,0,0,0,0,13,0,0,0,0,0
2014,choked_sandspit,8A,0,0,0,0,29,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,7,0,0,37,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,choked_sandspit,8B,0,0,0,0,8,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,7,0,0,64,0,0,0,0,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,choked_sandspit,9,0,1,0,0,22,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,goose_south_east,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0
2014,goose_south_east,10,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1
2014,goose_south_east,11,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,594,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,2,0
2014,goose_south_east,12,0,1,0,0,4,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1042,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,2,0,173,0,2,0
2014,goose_south_east,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0
2014,goose_south_east,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,goose_south_east,7,0,0,0,0,0,0,0,0,0,0,0,1,78,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,108,0,1,1
2014,goose_south_east,8,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,7,0,80,0,5,0
2014,goose_south_east,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2014,goose_south_west,10,0,0,0,0,1,0,0,0,2,0,0,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,310,0,0,0,0,0,0,0,3,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,3,0
2014,goose_south_west,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,goose_south_west,13,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
2014,goose_south_west,2,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,goose_south_west,3,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,goose_south_west,4,0,0,0,0,2,0,0,0,2,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0,0,0,0,0,0,15,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,4,0,4,0
