host,component,proportion_explained
prokaryotes,pure_env,0.15442
prokaryotes,pure_spa,0.12115
prokaryotes,shared_env_spa,0.04754
prokaryotes,pure_year,0.02381
prokaryotes,shared_env_year,0.04117
prokaryotes,shared_spa_year,0
prokaryotes,shared_env_spa_year,0.00612
prokaryotes,residuals,0.60579
microeukaryotes,pure_env,0.20733
microeukaryotes,pure_spa,0.09437
microeukaryotes,shared_env_spa,0.15312
microeukaryotes,pure_year,0.01277
microeukaryotes,shared_env_year,0.00135
microeukaryotes,shared_spa_year,0.00206
microeukaryotes,shared_env_spa_year,0
microeukaryotes,residuals,0.529
macroeukaryotes,pure_env,0.09282
macroeukaryotes,pure_spa,0.10163
macroeukaryotes,shared_env_spa,0.23447
macroeukaryotes,pure_year,0.01319
macroeukaryotes,shared_env_year,0.02152
macroeukaryotes,shared_spa_year,0.01896
macroeukaryotes,shared_env_spa_year,0
macroeukaryotes,residuals,0.51741
