Cast PK,Cruise,Station,Station Longitude,Station Latitude,Latitude,Longitude,Distance from station,Location Flag,Bottom depth (m),Raw Data PK,Data PK,Cast Direction Flag,Measurement time,Depth (m),Depth flag,Drop speed (m/s),Conductivity (mS/cm),Conductivity flag,Temperature (deg C),Temperature flag,Pressure (dbar),Pressure flag,Uncorrected Pressure (dbar),PAR (umol m-2 s-1),PAR flag,Fluorometry Chlorophyll (ug/L),Fluorometry Chlorophyll flag,CDOM (ppb),CDOM flag,Turbidity (FTU),Turbidity flag,pH,pH flag,Backscatter (Beta),Backscatter flag,Dissolved O2 (mL/L),Dissolved O2 (mL/L) flag,Dissolved O2 (%),Dissolved O2 (%) flag,Dissolved O2 (umol/L),Dissolved O2 (umol/L) flag,SB RINKO Dissolved O2 (mL/L),SB RINKO Dissolved O2 flag,Salinity (PSU),Salinity flag,Specific conductivity,Specific conductivity flag,Speed of sound (m/s),Speed of sound flag,C Star (volts),C Star (volts) flag,C Star (counts),C Star (counts) flag,Beam Attenuation 650nm (1/m),Beam Attenuation flag,SB RINKO DO (volts),SB RINKO temp (volts),Backscatter (counts),Fluorometry Chlorophyll (counts),CDOM (counts),Bin Statistics for Static Casts
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803523,d,2015-03-15 12:38:44.667,0.995,,1.253,33.16712,,9.2759,,1,,,70.421,,1.3264,,,,68.468,,,,,,7.8486,,,,,,,,30.6215,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803524,d,2015-03-15 12:38:45.416,2.008,,1.279,33.17109,,9.2789,,2,,,66.118,,0.806,,,,3.408,,,,,,7.635,,,,,,,,30.6226,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803525,d,2015-03-15 12:38:46.250,2.971,,1.09,33.17383,,9.282,,3,,,88.24,,0.8475,,,,1.555,,,,,,7.591,,,,,,,,30.6222,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803526,d,2015-03-15 12:38:47.250,3.983,,0.959,33.17689,,9.2814,,4,,,203.886,,1.0261,,,,0.934,,,,,,7.5889,,,,,,,,30.6254,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803527,d,2015-03-15 12:38:48.250,4.967,,1.004,33.17228,,9.2751,,5,,,239.512,,1.1873,,,,0.579,,,,,,7.5872,,,,,,,,30.6258,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803528,d,2015-03-15 12:38:49.250,5.968,,1,33.17084,,9.2743,,6,,,230.907,,1.1234,,,,0.585,,,,,,7.5852,,,,,,,,30.6245,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803529,d,2015-03-15 12:38:50.166,6.968,,1.258,33.17359,,9.2761,,7,,,179.466,,1.1389,,,,0.575,,,,,,7.5822,,,,,,,,30.6253,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803530,d,2015-03-15 12:38:50.916,7.954,,1.3,33.17422,,9.2771,,8,,,158.28,,1.1775,,,,0.538,,,,,,7.5788,,,,,,,,30.6247,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803531,d,2015-03-15 12:38:51.667,8.891,,1.212,33.17481,,9.2764,,9,,,106.991,,1.4745,,,,0.565,,,,,,7.5749,,,,,,,,30.6256,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803532,d,2015-03-15 12:38:52.583,9.951,,1.093,33.17733,,9.2763,,10,,,87.683,,1.4434,,,,0.58,,,,,,7.5704,,,,,,,,30.6278,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803533,d,2015-03-15 12:38:53.500,10.904,,1.01,33.18006,,9.2757,,11,,,65.811,,1.3852,,,,0.548,,,,,,7.5667,,,,,,,,30.6306,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803534,d,2015-03-15 12:38:54.416,11.835,,1.031,33.18142,,9.2763,,12,,,56.982,,1.4614,,,,0.579,,,,,,7.5638,,,,,,,,30.6311,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803535,d,2015-03-15 12:38:55.416,12.888,,1.062,33.18107,,9.2762,,13,,,44.264,,1.3701,,,,0.586,,,,,,7.5614,,,,,,,,30.6304,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803536,d,2015-03-15 12:38:56.333,13.864,,1.069,33.18038,,9.276,,14,,,36.956,,1.4359,,,,0.547,,,,,,7.5597,,,,,,,,30.6294,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803537,d,2015-03-15 12:38:57.250,14.857,,1.111,33.18105,,9.2758,,15,,,29.853,,1.8159,,,,0.568,,,,,,7.5578,,,,,,,,30.6299,,,,,,,,,,,,,,,,,
3929,QCSD2015,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,16.10829185,,9803538,d,2015-03-15 12:38:58.416,15.956,,1.149,33.18101,,9.2756,,16,,,25.424,,2.162,,,,0.566,,,,,,7.5565,,,,,,,,30.6298,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803495,d,2015-03-15 13:19:29.167,0.918,,0.902,33.11106,,9.2966,,1,,,1143.486,,0.7312,,,,16.619,,,,,,7.9425,,,,,,,,30.5465,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803496,d,2015-03-15 13:19:30.084,1.942,,1.275,33.10608,,9.292,,2,,,990.888,,0.6557,,,,19.214,,,,,,7.6917,,,,,,,,30.5449,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803497,d,2015-03-15 13:19:30.834,2.914,,1.29,33.10334,,9.2867,,3,,,630.611,,0.6674,,,,1.469,,,,,,7.6691,,,,,,,,30.5462,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803498,d,2015-03-15 13:19:31.667,3.917,,1.113,33.10364,,9.2865,,4,,,400.009,,0.7813,,,,0.708,,,,,,7.667,,,,,,,,30.5463,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803499,d,2015-03-15 13:19:32.501,4.887,,1.219,33.10473,,9.2876,,5,,,353.076,,0.9521,,,,0.591,,,,,,7.6569,,,,,,,,30.546,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803500,d,2015-03-15 13:19:33.334,5.871,,1.159,33.10837,,9.2883,,6,,,272.679,,0.97,,,,0.584,,,,,,7.639,,,,,,,,30.5487,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803501,d,2015-03-15 13:19:34.167,6.86,,1.203,33.12877,,9.2933,,7,,,199.071,,1.247,,,,0.584,,,,,,7.6167,,,,,,,,30.5648,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803502,d,2015-03-15 13:19:35.000,7.859,,1.199,33.16081,,9.3014,,8,,,146.157,,1.3748,,,,0.573,,,,,,7.5946,,,,,,,,30.5903,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803503,d,2015-03-15 13:19:35.917,8.924,,1.13,33.21594,,9.3154,,9,,,107.159,,1.1965,,,,0.551,,,,,,7.5743,,,,,,,,30.6342,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803504,d,2015-03-15 13:19:36.834,9.977,,1.18,33.21435,,9.3159,,10,,,86.82,,1.5876,,,,0.574,,,,,,7.5574,,,,,,,,30.6316,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803505,d,2015-03-15 13:19:37.667,10.955,,1.129,33.21389,,9.3158,,11,,,65.615,,1.4506,,,,0.561,,,,,,7.5378,,,,,,,,30.6308,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803506,d,2015-03-15 13:19:38.750,12.04,,1.046,33.22154,,9.3165,,12,,,55.935,,1.356,,,,0.524,,,,,,7.5123,,,,,,,,30.6378,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803507,d,2015-03-15 13:19:40.251,12.802,,0.672,33.41919,,9.389,,13,,,44.029,,1.1584,,,,0.531,,,,,,7.3738,,,,,,,,30.7769,,,,,,,,,,,,,,,,,
3930,QCSD2015,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,13.94472433,,9803508,d,2015-03-15 13:19:41.584,13.76,,0.694,33.53075,,9.4334,,14,,,39.399,,1.3776,,,,0.483,,,,,,7.3094,,,,,,,,30.8522,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788915,d,2015-03-22 12:06:17.583,0.977,,1.165,33.1162,,9.1663,,1,,,154.946,,0.8634,,,,37.136,,,,,,7.6953,,,,,,,,30.6634,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788916,d,2015-03-22 12:06:18.417,2.025,,1.271,33.10707,,9.1582,,2,,,114.531,,1.0068,,,,10.237,,,,,,7.4379,,,,,,,,30.6606,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788917,d,2015-03-22 12:06:19.167,2.959,,1.264,33.11472,,9.1574,,3,,,117.811,,0.9912,,,,0.773,,,,,,7.3859,,,,,,,,30.6687,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788918,d,2015-03-22 12:06:20.000,4.006,,1.207,33.14668,,9.1627,,4,,,134.151,,1.3813,,,,0.601,,,,,,7.3791,,,,,,,,30.6965,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788919,d,2015-03-22 12:06:20.917,5.024,,1.031,33.14646,,9.1615,,5,,,128.723,,1.2405,,,,0.592,,,,,,7.3737,,,,,,,,30.6968,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788920,d,2015-03-22 12:06:21.834,5.947,,1.027,33.14386,,9.1615,,6,,,109.761,,1.3633,,,,0.572,,,,,,7.3708,,,,,,,,30.6938,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788921,d,2015-03-22 12:06:22.750,6.94,,1.123,33.14239,,9.1617,,7,,,91.363,,1.2175,,,,0.56,,,,,,7.3697,,,,,,,,30.6916,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788922,d,2015-03-22 12:06:23.667,7.958,,1.075,33.14064,,9.1617,,8,,,73.987,,1.5347,,,,0.613,,,,,,7.3686,,,,,,,,30.6894,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788923,d,2015-03-22 12:06:24.583,8.934,,1.065,33.14326,,9.162,,9,,,59.279,,1.5201,,,,0.708,,,,,,7.3677,,,,,,,,30.6915,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788924,d,2015-03-22 12:06:25.584,9.984,,1.034,33.14348,,9.162,,10,,,47.267,,1.5477,,,,0.648,,,,,,7.3675,,,,,,,,30.6913,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788925,d,2015-03-22 12:06:26.500,10.939,,1.045,33.14258,,9.162,,11,,,38.948,,1.5201,,,,0.551,,,,,,7.3679,,,,,,,,30.6899,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788926,d,2015-03-22 12:06:27.417,11.888,,1.038,33.14323,,9.1625,,12,,,32.472,,1.5668,,,,0.575,,,,,,7.3684,,,,,,,,30.6897,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788927,d,2015-03-22 12:06:28.333,12.856,,1.076,33.14192,,9.1629,,13,,,27.253,,1.8601,,,,0.554,,,,,,7.3682,,,,,,,,30.6876,,,,,,,,,,,,,,,,,
3980,QCSD,KFPS08,-128.1243,51.6803,51.6803333,-128.1243167,3.88026232,,13.80532027,,9788928,d,2015-03-22 12:06:29.167,13.669,,1.081,33.14353,,9.1629,,14,,,24.908,,1.3678,,,,0.568,,,,,,7.3679,,,,,,,,30.689,,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788887,d,2015-03-22 12:11:09.167,0.85,,0.763,33.25572,SVC: conductivity_manual_qc_flag,9.1908,SVC: temperature_manual_qc_flag,1,SVC: pressure_manual_qc_flag,,211.062,,0.8393,,,,13.212,,,,,,7.491,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.7854,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788888,d,2015-03-22 12:11:10.167,1.909,,1.207,33.30222,SVC: conductivity_manual_qc_flag,9.1968,SVC: temperature_manual_qc_flag,2,SVC: pressure_manual_qc_flag,,214.127,,0.9225,,,,33.91,,,,,,7.2571,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.8276,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788889,d,2015-03-22 12:11:11.000,2.923,,1.222,33.32396,SVC: conductivity_manual_qc_flag,9.1985,SVC: temperature_manual_qc_flag,3,SVC: pressure_manual_qc_flag,,192.635,,0.7761,,,,10.576,,,,,,7.2486,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.848,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788890,d,2015-03-22 12:11:11.833,3.926,,1.183,33.34492,SVC: conductivity_manual_qc_flag,9.2,SVC: temperature_manual_qc_flag,4,SVC: pressure_manual_qc_flag,,157.932,,0.8846,,,,0.77,,,,,,7.2568,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.8677,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788891,d,2015-03-22 12:11:12.750,4.981,,1.109,33.34632,SVC: conductivity_manual_qc_flag,9.1974,SVC: temperature_manual_qc_flag,5,SVC: pressure_manual_qc_flag,,134.183,,1.0085,,,,0.644,,,,,,7.2465,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.8709,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788892,d,2015-03-22 12:11:13.667,5.954,,1.022,33.3449,SVC: conductivity_manual_qc_flag,9.1951,SVC: temperature_manual_qc_flag,6,SVC: pressure_manual_qc_flag,,113.859,,1.2789,,,,0.639,,,,,,7.2129,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.871,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788893,d,2015-03-22 12:11:14.584,6.878,,1,33.34085,SVC: conductivity_manual_qc_flag,9.1933,SVC: temperature_manual_qc_flag,7,SVC: pressure_manual_qc_flag,,94.036,,1.2922,,,,0.626,,,,,,7.1867,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.868,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788894,d,2015-03-22 12:11:15.583,7.867,,0.976,33.34094,SVC: conductivity_manual_qc_flag,9.1943,SVC: temperature_manual_qc_flag,8,SVC: pressure_manual_qc_flag,,77.701,,1.1756,,,,0.577,,,,,,7.1805,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.8669,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788895,d,2015-03-22 12:11:16.583,8.85,,0.996,33.34517,SVC: conductivity_manual_qc_flag,9.195,SVC: temperature_manual_qc_flag,9,SVC: pressure_manual_qc_flag,,62.308,,1.2844,,,,0.59,,,,,,7.1788,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.8702,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788896,d,2015-03-22 12:11:17.584,9.847,,1,33.34243,SVC: conductivity_manual_qc_flag,9.1921,SVC: temperature_manual_qc_flag,10,SVC: pressure_manual_qc_flag,,51.18,,1.4042,,,,0.59,,,,,,7.1786,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.8694,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
3981,QCSD,KFPS04,-128.1171,51.6796,51.6796333,-128.1170667,4.36257589,,14.00763431,,9788897,d,2015-03-22 12:11:18.584,10.847,,1.001,33.33886,SVC: conductivity_manual_qc_flag,9.1929,SVC: temperature_manual_qc_flag,11,SVC: pressure_manual_qc_flag,,42.255,,1.4304,,,,0.587,,,,,,7.1791,SVC: dissolved_oxygen_ml_l_manual_qc_flag,,,,,,,30.8646,SVC: salinity_manual_qc_flag,,,,,,,,,,,,,,,,
