Cast PK,File PK,Hakai_ID,Filename,CTD model,CTD serial number,CTD firmware version,Cruise,Station,Station Longitude,Station Latitude,Distance from station,Location Flag,Drop number,Start time,Drop time (s),Drop depth (m),Target depth (m),Drop speed (m/s),Bottom time,Operators,Comments,Cast Type,Sensors Submerged,Water Depth (m),Soak Start,Soak End,Weather
4414,1706,018032_2015-06-13T21:12:00.667Z,018032_20150613_1626,XRX-620,18032,6.81,Macro2015,MACRO9,-128.4599,51.9204,3.70886134,,,2015-06-13 14:12:00.834,6,6.579505903,8,1.06706234,2015-06-13 14:12:07.000,"Nelson Roberts,Lawren McNab",,,,,Invalid date,Invalid date,
4513,1725,018032_2015-07-04T21:52:44.333Z,018032_20150704_1717,XRX-620,18032,6.81,Macro2015,MACRO9,-128.4599,51.9204,3.70886134,,,2015-07-04 14:52:44.833,6,6.710729702,8,1.088168445,2015-07-04 14:52:51.000,"Nelson Roberts,Bryn Fedje",,,,,Invalid date,Invalid date,
4604,1743,018032_2015-07-23T16:45:42.333Z,018032_20150723_1515,XRX-620,18032,6.81,Macro2015,MACRO9,-128.4599,51.9204,3.70886134,,,2015-07-23 09:45:42.500,7,7.346931323,8,1.130296261,2015-07-23 09:45:49.000,Lawren McNab,,,,,Invalid date,Invalid date,
4774,1768,018066_2015-04-25T21:35:24.833Z,018066_20150425_1741,XRX-620,18066,6.81,Macro2015,MACRO9,-128.4599,51.9204,3.70886134,,,2015-04-25 14:35:25.000,8,5.818763137,8,0.69819553,2015-04-25 14:35:33.334,"Nelson Roberts,Midoli Bresch",,,,,Invalid date,Invalid date,
4812,1780,018066_2015-07-01T17:21:44.500Z,018066_20150701_2128,XRX-620,18066,6.81,SEA2015,SEA7,-128.4645,51.9222,2.18028575,,,2015-07-01 10:21:44.333,8,6.158697023,6,0.786150244,2015-07-01 10:21:52.167,"Rhea Sanders,Laura Parfrey",,,,,Invalid date,Invalid date,
4998,1815,080217_2015-08-13T16:50:58.000Z,080217_20150813_1654,RBRmaestro,80217,12.03,Macro2015,MACRO9,-128.4599,51.9204,3.70886134,,,2015-08-13 09:50:56.000,6,6.154348126,8,1.025723373,2015-08-13 09:51:02.000,Lawren McNab,,,,,Invalid date,Invalid date,
5299,1888,018032_2016-07-10T17:41:07.667Z,018032_20160710_1720,XRX-620,18032,6.81,"MACRO_MGEO,OUTSHRS",SEA7,-128.4645,51.9222,170.7791027,,2,2016-07-10 10:41:07.667,6,4.903528149,5,0.840509385,2016-07-10 10:41:13.501,"Lucy,Midoli,Nelson","Niskin at site, CTD off site",,,,Invalid date,Invalid date,
9728,3586,01907467_2017-07-20T17:11:03Z,SBE19plus_01907467_2017_07_20_0003,SBE19plus,1907467,2.5.2,MACRO_MGEO,MACRO9,-128.4599,51.9204,104.9559139,,2,2017-07-20 10:11:03.000,217,,5,,2017-07-20 10:14:40.000,"brent.rayner,emma.myers,lawren.mcnab",,,,,Invalid date,Invalid date,
9730,3587,01907467_2017-07-20T16:56:25Z,SBE19plus_01907467_2017_07_20_0002,SBE19plus,1907467,2.5.2,MACRO_MGEO,SEA7,-128.4645,51.9222,89.23246956,,2,2017-07-20 09:56:25.000,140,,5,,2017-07-20 09:58:45.000,"brent.rayner,emma.myers,lawren.mcnab",,,,,Invalid date,Invalid date,
11659,4692,066061_2018-03-18T19:31:18.167Z,066061_20180318_1647,RBRconcerto,66061,1.400,NEARSHORE,SEA07,,,,,1,2018-03-18 12:31:18.167,12,6.246317893,5,0.506471694,2018-03-18 12:31:30.500,"ben.millardmartin,kyle.hall,zach.monteith",,,,,Invalid date,Invalid date,
12785,5130,018066_2018-08-08T16:49:50.000Z,018066_20180808_1748,XRX-620,18066,6.81,SEAG,SEA7,-128.4645,51.9222,84.21712368,,1,2018-08-08 09:49:50.000,6,5.122832617,4,0.830685343,2018-08-08 09:49:56.167,"angeleen.olson,krystal.bachen",,,,,Invalid date,Invalid date,
