Cast PK,File PK,Hakai_ID,Filename,CTD model,CTD serial number,CTD firmware version,Cruise,Station,Station Longitude,Station Latitude,Distance from station,Location Flag,Drop number,Start time,Drop time (s),Drop depth (m),Target depth (m),Drop speed (m/s),Bottom time,Operators,Comments,Cast Type,Sensors Submerged,Water Depth (m),Soak Start,Soak End,Weather
4313,1683,018032_2015-05-21T20:36:01.166Z,018032_20150521_1502,XRX-620,18032,6.81,Macro2015,MACRO1,-128.2545,51.8035,2.29927711,,,2015-05-21 13:36:01.000,11,6.334064505,8,0.584700706,2015-05-21 13:36:11.833,"Nelson Roberts,Lawren McNab",,,,,Invalid date,Invalid date,
4416,1706,018032_2015-06-13T22:05:36.667Z,018032_20150613_1626,XRX-620,18032,6.81,Macro2015,MACRO1,-128.2545,51.8035,2.29927711,,,2015-06-13 15:05:36.834,6,5.855070071,8,0.900918732,2015-06-13 15:05:43.333,"Nelson Roberts,Lawren McNab",,,,,Invalid date,Invalid date,
4505,1725,018032_2015-07-04T16:39:56.333Z,018032_20150704_1717,XRX-620,18032,6.81,Macro2015,MACRO1,-128.2545,51.8035,2.29927711,,,2015-07-04 09:39:56.834,7,6.847464637,8,0.978208917,2015-07-04 09:40:03.834,"Nelson Roberts,Bryn Fedje",,,,,Invalid date,Invalid date,
4602,1743,018032_2015-07-23T16:00:25.667Z,018032_20150723_1515,XRX-620,18032,6.81,Macro2015,MACRO1,-128.2545,51.8035,2.29927711,,,2015-07-23 09:00:25.834,6,6.808797392,8,1.075130328,2015-07-23 09:00:32.167,Lawren McNab,,,,,Invalid date,Invalid date,
4777,1768,018066_2015-04-25T23:00:09.499Z,018066_20150425_1741,XRX-620,18066,6.81,Macro2015,MACRO1,-128.2545,51.8035,2.29927711,,,2015-04-25 16:00:09.499,5,5.834261095,8,1.093785492,2015-04-25 16:00:14.833,"Nelson Roberts,Midoli Bresch",,,,,Invalid date,Invalid date,
4814,1780,018066_2015-07-01T21:50:19.000Z,018066_20150701_2128,XRX-620,18066,6.81,SEA2015,SEA11,-128.2476,51.8091,6.01950257,,,2015-07-01 14:50:19.666,13,6.632611124,4,0.503729957,2015-07-01 14:50:32.833,"Rhea Sanders,Laura Parfrey",,,,,Invalid date,Invalid date,
4997,1815,080217_2015-08-13T16:13:45.167Z,080217_20150813_1654,RBRmaestro,80217,12.03,Macro2015,MACRO1,-128.2545,51.8035,2.29927711,,,2015-08-13 09:13:45.333,7,7.214138081,8,1.030590821,2015-08-13 09:13:52.333,Lawren McNab,,,,,Invalid date,Invalid date,
5945,1984,018066_2016-06-16T19:28:36.167Z,018066_20160616_1538,XRX-620,18066,6.81,QCS_V2,MACRO1,-128.2545,51.8035,14.73790286,,1,2016-06-16 12:28:36.333,90,6.509483199,5,0.07219363,2016-06-16 12:30:06.500,"Bryn,Krystal,Nelson",1: niskin drop,,,,Invalid date,Invalid date,
5946,1984,018066_2016-06-16T19:34:44.167Z,018066_20160616_1538,XRX-620,18066,6.81,QCS_V2,MACRO1,-128.2545,51.8035,27.09875763,,2,2016-06-16 12:34:44.167,6,4.485475802,5,0.791647373,2016-06-16 12:34:49.833,"Bryn,Krystal,Nelson",,,,,Invalid date,Invalid date,
5947,1984,018066_2016-06-16T19:51:17.833Z,018066_20160616_1538,XRX-620,18066,6.81,QCS_V2,KFPC06,-128.233617,51.811267,24.66830415,,1,2016-06-16 12:51:18.000,193,20.63367768,20,0.107095581,2016-06-16 12:54:30.666,"Bryn,Krystal,Nelson",1: niskin drop,,,,Invalid date,Invalid date,
5948,1984,018066_2016-06-16T20:01:30.833Z,018066_20160616_1538,XRX-620,18066,6.81,QCS_V2,KFPC06,-128.233617,51.811267,37.66518942,,2,2016-06-16 13:01:30.833,17,15.05541867,17,0.885612951,2016-06-16 13:01:47.833,"Bryn,Krystal,Nelson",,,,,Invalid date,Invalid date,
6085,2008,018066_2016-07-10T17:41:43.167Z,018066_20160710_1542,XRX-620,18066,6.81,KWAK,MACRO1,-128.2545,51.8035,,,2,2016-07-10 10:41:43.333,13,6.177475661,5,0.49419795,2016-07-10 10:41:55.833,"Bryn,Emma,Zach",1: CTD done a little ways from the waypoint so that we could get a cast with a 5m buffer from the bottom,,,,Invalid date,Invalid date,
