Cast PK,Cruise,Station,Station Longitude,Station Latitude,Latitude,Longitude,Distance from station,Location Flag,Bottom depth (m),Raw Data PK,Data PK,Cast Direction Flag,Measurement time,Depth (m),Depth flag,Drop speed (m/s),Conductivity (mS/cm),Conductivity flag,Temperature (deg C),Temperature flag,Pressure (dbar),Pressure flag,Uncorrected Pressure (dbar),PAR (umol m-2 s-1),PAR flag,Fluorometry Chlorophyll (ug/L),Fluorometry Chlorophyll flag,CDOM (ppb),CDOM flag,Turbidity (FTU),Turbidity flag,pH,pH flag,Backscatter (Beta),Backscatter flag,Dissolved O2 (mL/L),Dissolved O2 (mL/L) flag,Dissolved O2 (%),Dissolved O2 (%) flag,Dissolved O2 (umol/L),Dissolved O2 (umol/L) flag,SB RINKO Dissolved O2 (mL/L),SB RINKO Dissolved O2 flag,Salinity (PSU),Salinity flag,Specific conductivity,Specific conductivity flag,Speed of sound (m/s),Speed of sound flag,C Star (volts),C Star (volts) flag,C Star (counts),C Star (counts) flag,Beam Attenuation 650nm (1/m),Beam Attenuation flag,SB RINKO DO (volts),SB RINKO temp (volts),Backscatter (counts),Fluorometry Chlorophyll (counts),CDOM (counts),Bin Statistics for Static Casts
4813,SEA2015,SEA6,-128.4501,51.9275,51.92748333,-128.4501333,2.94900074,,4.701855477,,9621393,d,2015-07-01 12:39:36.334,0.936,,0.524,38.94437,,14.9267,,1,,,582.385,,-0.4763,SVC: flc_qartod_gross_range_test,,,-0.166,SVD: turbidity_qartod_gross_range_test,,,,,7.2939,,,,,,,,31.4622,,,,,,,,,,,,,,,,,
4813,SEA2015,SEA6,-128.4501,51.9275,51.92748333,-128.4501333,2.94900074,,4.701855477,,9621394,d,2015-07-01 12:39:38.167,1.912,,0.546,38.89841,,14.8786,,2,,,260.325,,-0.0819,,,,0.269,,,,,,7.3176,,,,,,,,31.4592,,,,,,,,,,,,,,,,,
4813,SEA2015,SEA6,-128.4501,51.9275,51.92748333,-128.4501333,2.94900074,,4.701855477,,9621395,d,2015-07-01 12:39:40.084,3.009,,0.492,38.84586,,14.8179,,3,,,336.35,,0.504,,,,0.965,,,,,,7.4229,,,,,,,,31.4604,,,,,,,,,,,,,,,,,
4813,SEA2015,SEA6,-128.4501,51.9275,51.92748333,-128.4501333,2.94900074,,4.701855477,,9621396,d,2015-07-01 12:39:42.251,3.98,,0.434,38.85962,,14.8304,,4,,,399.361,,0.7078,,,,0.952,,,,,,7.5246,,,,,,,,31.4624,,,,,,,,,,,,,,,,,
4813,SEA2015,SEA6,-128.4501,51.9275,51.92748333,-128.4501333,2.94900074,,4.701855477,,9621397,d,2015-07-01 12:39:44.001,4.648,,0.485,38.8665,,14.8369,,5,,,375.296,,0.9963,,,,1.027,,,,,,7.5396,,,,,,,,31.4631,,,,,,,,,,,,,,,,,
5300,"MACRO_MGEO,OUTSHRS",SEA6,-128.4501,51.9275,51.923297,-128.453927,536.6627886,,5.564353107,,9291526,d,2016-07-10 10:58:25.417,0.981,,0.787,37.8079,,13.8732,,1,,,245.431,,1.332,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,6.6113,,,,,,,,31.2815,,,,,,,,,,,,,,,,,
5300,"MACRO_MGEO,OUTSHRS",SEA6,-128.4501,51.9275,51.923297,-128.453927,536.6627886,,5.564353107,,9291527,d,2016-07-10 10:58:26.500,2.017,,1.091,37.80408,,13.8677,,2,,,163.34,,1.5618,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,6.5089,,,,,,,,31.282,,,,,,,,,,,,,,,,,
5300,"MACRO_MGEO,OUTSHRS",SEA6,-128.4501,51.9275,51.923297,-128.453927,536.6627886,,5.564353107,,9291528,d,2016-07-10 10:58:27.333,2.964,,1.18,37.79855,,13.8579,,3,,,120.406,,1.6968,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,6.4488,,,,,,,,31.2846,,,,,,,,,,,,,,,,,
5300,"MACRO_MGEO,OUTSHRS",SEA6,-128.4501,51.9275,51.923297,-128.453927,536.6627886,,5.564353107,,9291529,d,2016-07-10 10:58:28.167,3.961,,1.214,37.78591,,13.8337,,4,,,90.362,,1.7307,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,6.4116,,,,,,,,31.2923,,,,,,,,,,,,,,,,,
5300,"MACRO_MGEO,OUTSHRS",SEA6,-128.4501,51.9275,51.923297,-128.453927,536.6627886,,5.564353107,,9291530,d,2016-07-10 10:58:29.000,4.996,,1.264,37.77702,,13.798,,5,,,73.284,,1.7445,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,6.4144,,,,,,,,31.3129,,,,,,,,,,,,,,,,,
11660,NEARSHORE,SEA06,,,51.925959,-128.452442,,,5.123504577,,10759382,s,2018-03-18 12:49:16.917,3.017412182,,-0.007623629,32.35864784,,7.713059103,,3.044050876,,,104.3732586,,0.043365306,,2.943583163,,0.160763675,,,,0.000438435,,,,,,,,,,31.14442558,,,,,,,,,,,,,,,,,
11660,NEARSHORE,SEA06,,,51.925959,-128.452442,,,5.123504577,,10759371,d,2018-03-18 12:49:41.750,1.006185437,,1.076344497,32.39422926,,7.747273194,,1,,,203.5948893,,0.033711275,,3.16635,,0.170433746,,,,0.00046075,,,,,,,,,,31.15265833,,,,,,,,,,,,,,,,,
