Cast PK,Cruise,Station,Station Longitude,Station Latitude,Latitude,Longitude,Distance from station,Location Flag,Bottom depth (m),Raw Data PK,Data PK,Cast Direction Flag,Measurement time,Depth (m),Depth flag,Drop speed (m/s),Conductivity (mS/cm),Conductivity flag,Temperature (deg C),Temperature flag,Pressure (dbar),Pressure flag,Uncorrected Pressure (dbar),PAR (umol m-2 s-1),PAR flag,Fluorometry Chlorophyll (ug/L),Fluorometry Chlorophyll flag,CDOM (ppb),CDOM flag,Turbidity (FTU),Turbidity flag,pH,pH flag,Backscatter (Beta),Backscatter flag,Dissolved O2 (mL/L),Dissolved O2 (mL/L) flag,Dissolved O2 (%),Dissolved O2 (%) flag,Dissolved O2 (umol/L),Dissolved O2 (umol/L) flag,SB RINKO Dissolved O2 (mL/L),SB RINKO Dissolved O2 flag,Salinity (PSU),Salinity flag,Specific conductivity,Specific conductivity flag,Speed of sound (m/s),Speed of sound flag,C Star (volts),C Star (volts) flag,C Star (counts),C Star (counts) flag,Beam Attenuation 650nm (1/m),Beam Attenuation flag,SB RINKO DO (volts),SB RINKO temp (volts),Backscatter (counts),Fluorometry Chlorophyll (counts),CDOM (counts),Bin Statistics for Static Casts
4807,SEA2015,SEA8,-128.4119,52.0626,52.062572,-128.411909,3.17607379,,5.959489872,,9629946,d,2015-06-27 16:31:53.917,0.95,,0.796,40.49219,,16.8987,,1,,,1391.231,,-0.3195,SVC: flc_qartod_gross_range_test,,,0.227,,,,,,7.8269,,,,,,,,31.2634,,,,,,,,,,,,,,,,,
4807,SEA2015,SEA8,-128.4119,52.0626,52.062572,-128.411909,3.17607379,,5.959489872,,9629947,d,2015-06-27 16:31:55.167,1.891,,0.842,40.01984,,16.3691,,2,,,1095.042,,-0.6012,SVD: flc_qartod_gross_range_test,,,0.323,,,,,,7.87,,,,,,,,31.2674,,,,,,,,,,,,,,,,,
4807,SEA2015,SEA8,-128.4119,52.0626,52.062572,-128.411909,3.17607379,,5.959489872,,9629948,d,2015-06-27 16:31:56.250,2.982,,1.063,39.77077,,16.1012,,3,,,805.26,,-0.4203,SVC: flc_qartod_gross_range_test,,,1.23,,,,,,8.0186,,,,,,,,31.2598,,,,,,,,,,,,,,,,,
4807,SEA2015,SEA8,-128.4119,52.0626,52.062572,-128.411909,3.17607379,,5.959489872,,9629949,d,2015-06-27 16:31:57.333,4.013,,0.766,39.62635,,15.9487,,4,,,579.254,,0.4388,,,,1.257,,,,,,8.2065,,,,,,,,31.2528,,,,,,,,,,,,,,,,,
4807,SEA2015,SEA8,-128.4119,52.0626,52.062572,-128.411909,3.17607379,,5.959489872,,9629950,d,2015-06-27 16:31:59.083,4.87,,0.588,39.43948,,15.7301,,5,,,425.699,,0.8618,,,,1.513,,,,,,8.5815,,,,,,,,31.2604,,,,,,,,,,,,,,,,,
4807,SEA2015,SEA8,-128.4119,52.0626,52.062572,-128.411909,3.17607379,,5.959489872,,9629951,d,2015-06-27 16:32:00.833,5.772,,0.654,39.26441,,15.5385,,6,,,357.216,,0.903,,,,1.498,,,,,,8.6627,,,,,,,,31.2572,,,,,,,,,,,,,,,,,
5309,"MACRO_MGEO,OUTSHRS",SEA8,-128.4119,52.0626,52.062499,-128.412056,15.51645589,,5.866753779,,9290698,d,2016-07-10 13:40:23.666,0.964,,0.906,37.30018,,13.2883,,1,,,227.141,,1.355,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,,,,,,,,,31.2895,,,,,,,,,,,,,,,,,
5309,"MACRO_MGEO,OUTSHRS",SEA8,-128.4119,52.0626,52.062499,-128.412056,15.51645589,,5.866753779,,9290699,d,2016-07-10 13:40:24.666,2.044,,1.228,37.204,,13.1526,,2,,,153.296,,1.6207,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,,,,,,,,,31.3109,,,,,,,,,,,,,,,,,
5309,"MACRO_MGEO,OUTSHRS",SEA8,-128.4119,52.0626,52.062499,-128.412056,15.51645589,,5.866753779,,9290700,d,2016-07-10 13:40:25.416,3.007,,1.34,37.09505,,13.0392,,3,,,110.093,,2.0356,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,,,,,,,,,31.302,,,,,,,,,,,,,,,,,
5309,"MACRO_MGEO,OUTSHRS",SEA8,-128.4119,52.0626,52.062499,-128.412056,15.51645589,,5.866753779,,9290701,d,2016-07-10 13:40:26.083,3.918,,1.369,37.05531,,12.9774,,4,,,84.361,,2.2842,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,,,,,,,,,31.3154,,,,,,,,,,,,,,,,,
5309,"MACRO_MGEO,OUTSHRS",SEA8,-128.4119,52.0626,52.062499,-128.412056,15.51645589,,5.866753779,,9290702,d,2016-07-10 13:40:26.833,4.948,,1.383,36.99731,,12.8806,,5,,,66.507,,2.1279,,,,-0.001,SVC: turbidity_qartod_gross_range_test,,,,,,,,,,,,,31.3406,,,,,,,,,,,,,,,,,
9741,MACRO_MGEO,SEA8,-128.4119,52.0626,52.06342116,-128.4111394,105.2106828,,,,6107670,d,2017-07-20 12:39:24.954,0.991,,0.183,37.908819,,14.67,,1,,,679.18,,0.68525,,,,2.561,,,,,,6.4822,,,,,,,,30.7342,,,,,,,,,,4.666,,,,,,,
9741,MACRO_MGEO,SEA8,-128.4119,52.0626,52.06342116,-128.4111394,105.2106828,,,,6107671,d,2017-07-20 12:39:26.429,1.983,,0.723,37.715416,,14.4165,,2,,,467.35,,0.92067,,,,1.857,,,,,,6.4377,,,,,,,,30.7597,,,,,,,,,,1.0559,,,,,,,
9741,MACRO_MGEO,SEA8,-128.4119,52.0626,52.06342116,-128.4111394,105.2106828,,,,6107672,d,2017-07-20 12:39:27.669,2.974,,0.846,37.566728,,14.1906,,3,,,346.44,,1.1422,,,,1.824,,,,,,6.4374,,,,,,,,30.8039,,,,,,,,,,0.6388,,,,,,,
9741,MACRO_MGEO,SEA8,-128.4119,52.0626,52.06342116,-128.4111394,105.2106828,,,,6107673,d,2017-07-20 12:39:28.829,3.965,,0.853,37.423259,,13.9933,,4,,,261.86,,1.4502,,,,1.803,,,,,,6.474,,,,,,,,30.8302,,,,,,,,,,0.584,,,,,,,
9741,MACRO_MGEO,SEA8,-128.4119,52.0626,52.06342116,-128.4111394,105.2106828,,,,6107674,d,2017-07-20 12:39:29.947,4.957,,0.921,37.32183,,13.8515,,5,,,209.82,,1.7567,,,,1.844,,,,,,6.4976,,,,,,,,30.8504,,,,,,,,,,0.5693,,,,,,,
9741,MACRO_MGEO,SEA8,-128.4119,52.0626,52.06342116,-128.4111394,105.2106828,,,,6107675,d,2017-07-20 12:39:31.122,5.948,,0.952,37.22599,,13.7288,,6,,,164.91,,2.088,,,,1.881,,,,,,6.5234,,,,,,,,30.8604,,,,,,,,,,0.5615,,,,,,,
9741,MACRO_MGEO,SEA8,-128.4119,52.0626,52.06342116,-128.4111394,105.2106828,,,,6107676,d,2017-07-20 12:39:33.816,6.94,,0.43,37.178615,,13.6561,,7,,,147.45,,2.0805,,,,1.875,,,,,,6.529,,,,,,,,30.875,,,,,,,,,,0.5607,,,,,,,
