date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2016-10-13,2016,Oct,2016-2017,1,MV:22 of 24 missing:1 of 24 flagged,3,10.614,10.614,10.614,10.614,10.614
2016-10-14,2016,Oct,2016-2017,1,,2,10.638,10.614,10.60809722,10.541,10.638
2016-10-15,2016,Oct,2016-2017,1,,2,10.712,10.6905,10.69051042,10.59,10.785
2016-10-16,2016,Oct,2016-2017,1,,2,10.785,10.785,10.7733941,10.712,10.858
2016-10-17,2016,Oct,2016-2017,1,,2,10.858,10.858,10.84963715,10.785,10.907
2016-10-18,2016,Oct,2016-2017,1,,2,10.858,10.858,10.85089583,10.785,10.956
2016-10-19,2016,Oct,2016-2017,1,,2,10.541,10.638,10.67843924,10.541,10.883
2016-10-20,2016,Oct,2016-2017,1,,2,10.541,10.599,10.58990278,10.516,10.736
2016-10-21,2016,Oct,2016-2017,1,,2,10.516,10.516125,10.51055729,10.443,10.541
2016-10-22,2016,Oct,2016-2017,1,,2,10.443,10.467,10.4568559,10.394,10.516
2016-10-23,2016,Oct,2016-2017,1,,2,10.638,10.605,10.56098785,10.394,10.687
2016-10-24,2016,Oct,2016-2017,1,,2,10.369,10.553,10.54284201,10.369,10.638
2016-10-25,2016,Oct,2016-2017,1,,2,10.32,10.409,10.39543924,10.271,10.541
2016-10-26,2016,Oct,2016-2017,1,,2,10.394,10.3815,10.37008681,10.222,10.516
2016-10-27,2016,Oct,2016-2017,1,,2,10.369,10.394,10.3959184,10.345,10.418
2016-10-28,2016,Oct,2016-2017,1,,2,10.394,10.348,10.34918576,10.222,10.394
2016-10-29,2016,Oct,2016-2017,1,,2,10.32,10.345,10.33476736,10.198,10.394
2016-10-30,2016,Oct,2016-2017,1,,2,10.296,10.299,10.30755556,10.271,10.345
2016-10-31,2016,Oct,2016-2017,1,,2,10.296,10.271,10.29447917,10.198,10.369
2016-11-01,2016,Nov,2016-2017,1,,2,9.903,10.078125,10.11220313,9.879,10.32
2016-11-02,2016,Nov,2016-2017,1,,2,10.001,9.955125,9.886559028,9.485,10.001
2016-11-03,2016,Nov,2016-2017,1,,2,10.369,10.3205,10.22750694,10.001,10.394
2016-11-04,2016,Nov,2016-2017,1,,2,10.345,10.296,10.28086806,10.198,10.369
2016-11-05,2016,Nov,2016-2017,1,,2,10.32,10.345,10.34721007,10.296,10.369
2016-11-06,2016,Nov,2016-2017,1,,2,10.271,10.3325,10.33870313,10.247,10.418
