date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-14,2015,Sep,2014-2015,1,AR:MV:24 of 24 missing:2 of 24 flagged,9,,,,,
2015-09-15,2015,Sep,2014-2015,1,AR:MV:7 of 24 missing:8 of 24 flagged,4,17.011,17.15925,16.72634804,15.175,18.485
2015-09-16,2015,Sep,2014-2015,1,AR:MV:6 of 24 missing:7 of 24 flagged,4,,15.8345,15.86748264,11.807,19.579
2015-09-17,2015,Sep,2014-2015,1,AR:MV:9 of 24 missing:13 of 24 flagged,4,12.992,13.04,14.02000317,12.896,19.579
2015-09-18,2015,Sep,2014-2015,1,,2,12.92,12.929,12.93560417,12.871,13.016
2015-09-19,2015,Sep,2014-2015,1,,2,12.606,12.642,12.68857292,12.582,12.92
2015-09-20,2015,Sep,2014-2015,1,,2,12.847,12.66925,12.72738021,12.558,13.088
2015-09-21,2015,Sep,2014-2015,1,,2,12.871,12.929,12.89557639,12.606,13.064
2015-09-22,2015,Sep,2014-2015,1,,2,12.678,12.703,12.73147396,12.678,12.92
2015-09-23,2015,Sep,2014-2015,1,,2,11.807,12.434,12.38128299,11.807,12.678
2015-09-24,2015,Sep,2014-2015,1,,2,11.977,12.107,12.09786458,11.807,12.268
2015-09-25,2015,Sep,2014-2015,1,,2,12.171,12.074,12.07373958,11.977,12.195
2015-09-26,2015,Sep,2014-2015,1,,2,11.953,12.053,12.03037847,11.759,12.219
2015-09-27,2015,Sep,2014-2015,1,,2,11.759,12.074,12.06952431,11.759,12.268
2015-09-28,2015,Sep,2014-2015,1,,2,11.904,12.013,12.03250521,11.759,12.485
2015-09-29,2015,Sep,2014-2015,1,,2,12.34,11.953,12.00425694,11.88,12.34
2015-09-30,2015,Sep,2014-2015,1,,2,12.219,12.219,12.22261285,12.05,12.316
2015-10-01,2015,Oct,2015-2016,1,,2,12.243,12.122,12.16092361,12.001,12.389
2015-10-02,2015,Oct,2015-2016,1,,2,12.098,12.086,12.06806424,11.832,12.231
2015-10-03,2015,Oct,2015-2016,1,,2,12.292,12.071,12.07169792,11.807,12.316
2015-10-04,2015,Oct,2015-2016,1,,2,11.734,11.76175,11.75060764,11.321,12.292
2015-10-05,2015,Oct,2015-2016,1,,2,11.734,11.822625,11.79218056,11.516,11.929
2015-10-06,2015,Oct,2015-2016,1,,2,11.467,11.686,11.64972049,11.37,11.783
2015-10-07,2015,Oct,2015-2016,1,,2,11.492,11.613,11.57828299,11.394,11.71
2015-10-08,2015,Oct,2015-2016,1,,2,11.662,11.637,11.60976736,11.467,11.662
2015-10-09,2015,Oct,2015-2016,1,,2,11.929,11.9165,11.89919618,11.662,12.098
2015-10-10,2015,Oct,2015-2016,1,,2,11.832,11.868,11.87368924,11.759,12.025
2015-10-11,2015,Oct,2015-2016,1,,2,11.637,11.686,11.70544965,11.637,11.8195
2015-10-12,2015,Oct,2015-2016,1,,2,11.662,11.662,11.65368576,11.565,11.759
2015-10-13,2015,Oct,2015-2016,1,,2,11.565,11.625,11.63036979,11.54,11.759
2015-10-14,2015,Oct,2015-2016,1,,2,11.637,11.534,11.54104861,11.443,11.662
2015-10-15,2015,Oct,2015-2016,1,,2,11.492,11.492,11.46790451,11.151,11.637
2015-10-16,2015,Oct,2015-2016,1,,2,11.102,11.145,11.15198958,10.858,11.4795
2015-10-17,2015,Oct,2015-2016,1,,2,11.37,11.2115,11.2425,11.102,11.419
2015-10-18,2015,Oct,2015-2016,1,,2,11.346,11.321,11.3208125,11.273,11.358
2015-10-19,2015,Oct,2015-2016,1,,2,11.686,11.446,11.51418056,11.297,12.122
2015-10-20,2015,Oct,2015-2016,1,,2,11.492,11.47325,11.52255208,11.37,11.71
2015-10-21,2015,Oct,2015-2016,1,,2,12.219,12.116,12.10707118,11.492,12.34
2015-10-22,2015,Oct,2015-2016,1,,2,12.34,12.343,12.34647049,12.147,12.509
2015-10-23,2015,Oct,2015-2016,1,,2,12.509,12.28,12.28352604,12.122,12.534
2015-10-24,2015,Oct,2015-2016,1,,2,12.268,12.31,12.2461059,11.807,12.509
2015-10-25,2015,Oct,2015-2016,1,,2,11.248,11.764875,11.76673611,11.248,12.2435
2015-10-26,2015,Oct,2015-2016,1,,2,11.224,11.163,11.15226389,10.932,11.419
2015-10-27,2015,Oct,2015-2016,1,,2,11.637,11.303,11.36681771,10.907,12.001
2015-10-28,2015,Oct,2015-2016,1,,2,11.759,11.394125,11.44121181,11.224,11.783
2015-10-29,2015,Oct,2015-2016,1,,2,11.856,11.759,11.77443576,11.613,11.977
2015-10-30,2015,Oct,2015-2016,1,,2,11.662,11.759,11.75248264,11.637,11.904
