date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-14,2015,Sep,2014-2015,1,AR:MV:24 of 24 missing:2 of 24 flagged,9,,,,,
2015-09-15,2015,Sep,2014-2015,1,AR:MV:8 of 24 missing:9 of 24 flagged,4,12.098,11.880125,12.26968403,11.589,18.485
2015-09-16,2015,Sep,2014-2015,1,,2,12.34,11.89825,11.91478125,11.613,12.34
2015-09-17,2015,Sep,2014-2015,1,,2,12.871,12.276625,12.33103646,11.734,12.968
2015-09-18,2015,Sep,2014-2015,1,,2,12.63,12.334,12.35289757,11.565,12.871
2015-09-19,2015,Sep,2014-2015,1,,2,12.63,12.621,12.59334028,12.34,12.775
2015-09-20,2015,Sep,2014-2015,1,,2,11.856,12.3975,12.38463542,11.807,12.871
2015-09-21,2015,Sep,2014-2015,1,,2,12.171,12.101375,12.14864063,11.832,12.678
2015-09-22,2015,Sep,2014-2015,1,,2,11.929,12.164875,12.15068403,11.832,12.34
2015-09-23,2015,Sep,2014-2015,1,,2,11.686,11.88,11.87379688,11.686,12.074
2015-09-24,2015,Sep,2014-2015,1,,2,11.662,11.722,11.76077083,11.637,11.929
2015-09-25,2015,Sep,2014-2015,1,,2,11.686,11.734125,11.71904167,11.589,11.807
2015-09-26,2015,Sep,2014-2015,1,,2,11.71,11.662,11.71636806,11.54,12.074
2015-09-27,2015,Sep,2014-2015,1,,2,11.71,11.71,11.68739583,11.394,11.807
2015-09-28,2015,Sep,2014-2015,1,,2,11.637,11.589,11.5887309,11.273,11.904
2015-09-29,2015,Sep,2014-2015,1,,2,11.54,11.467125,11.46274479,11.175,11.686
2015-09-30,2015,Sep,2014-2015,1,,2,11.662,11.503875,11.43458681,10.907,11.686
2015-10-01,2015,Oct,2015-2016,1,,2,11.565,11.470125,11.48336979,11.005,11.904
2015-10-02,2015,Oct,2015-2016,1,,2,11.151,11.3335,11.32809375,10.834,11.565
2015-10-03,2015,Oct,2015-2016,1,,2,11.102,11.05625,11.02814063,10.712,11.224
2015-10-04,2015,Oct,2015-2016,1,,2,11.346,11.25425,11.26366667,10.932,11.783
2015-10-05,2015,Oct,2015-2016,1,,2,11.078,11.345875,11.33792361,10.932,11.71
2015-10-06,2015,Oct,2015-2016,1,,2,11.175,11.248,11.25299826,11.053,11.492
2015-10-07,2015,Oct,2015-2016,1,,2,11.443,11.44,11.4835,11.1995,11.783
2015-10-08,2015,Oct,2015-2016,1,,2,11.759,11.755875,11.722125,11.37,11.929
2015-10-09,2015,Oct,2015-2016,1,,2,11.589,11.6375,11.60696181,11.419,11.783
2015-10-10,2015,Oct,2015-2016,1,,2,11.613,11.613,11.62431944,11.516,11.734
2015-10-11,2015,Oct,2015-2016,1,,2,11.151,11.364,11.27522569,10.98,11.613
