region,site,lat,long,"depth (m, chart datum)",bed_area_m2
choked,choked_inner,51.675,-128.119,4.6,354580
choked,choked_sandspit,51.678,-128.115,1.06,354580
choked,choked_wolf,51.668,-128.119,2.58,354580
triquet,triquet_north,51.808875,-128.247457,3.46,8900
triquet,triquet_south,51.80869,-128.235858,0.33,31074
pruth,pruth_pocket,51.395,-128.069,1,2943.5
pruth,pruth_bay,51.388,-128.071,-0.55,34982
mcmullins,mcmullins_north,52.061781,-128.412394,0.71,22778
mcmullins,mcmullins_south,52.053018,-128.403636,0.71,16900
goose,goose_south_west,51.922786,-128.464532,2.18,215570
goose,goose_south_east,51.926522,-128.45317,1.95,569520
